STUDY_ID,REVIEWERS,INCLUDE,label,author,year,title_upd,journal,source,start_page,abstract,doi_upd,url_upd,volume,num_authors,title_prv,doi_prv,url_prv
5,drew_08,MAYBE,Burger_et_al_2018_Biorxiv,"Burger, Joseph R. and Anderson, Robert P. and Balk, Meghan A. and Fristoe, Trevor S.",2018,A constraint-based model reveals hysteresis in island biogeography,Biorxiv,"pastsearch, biorxiv",251926,"Aim We present a Constraint-based Model of Dynamic Island Biogeography (C-DIB) that predicts how species functional traits interact with dynamic environments to determine the candidate species available for local community assembly on real and habitat islands through time.Location Real and habitat islands globally.Methods We develop the C-DIB model concept, synthesize the relevant literature, and present a toolkit for evaluating model predictions for a wide variety of “island” systems and taxa.Results The C-DIB model reveals that as islands cycle between phases of increasing or decreasing size and connectivity to a source pool, the dominant process driving species’ presence or absence switches between colonization and extinction. Both processes are mediated by interactions between organismal traits and environmental constraints. Colonization probability is predicted by a species’ ability to cross the intervening matrix between a population source and the island; population persistence (or extinction) is predicted by the minimum spatial requirements to sustain an isolated population. The non-random distributions of mammals on islands of the Sunda Shelf and Great Basin “sky islands” provide example study systems for evaluating the C-DIB model.Main conclusions Because different suites of traits impose constraints on the processes of colonization and extinction, similar environmental conditions can host different candidate species despite the same predicted richness. Thus, the model exemplifies the specific yet underappreciated role of hysteresis –the dependency of outcomes not only on the current system state –but also the historical contingency of environmental change in affecting populations and communities in insular systems.",10.1101/251926,http://biorxiv.org/content/early/2018/01/22/251926.abstract,NA,4,a constraint-based model reveals hysteresis in island biogeography,10.1101/251926,http://biorxiv.org/content/early/2018/01/22/251926.abstract
31,drew_08,MAYBE,Travassos-Britto_et_al_2022_Biorxiv,"Travassos-Britto, Bruno and Hohlenwerger, Camila and Miranda, José and Rocha, Pedro Luís Bernardo da",2022,Quantity and quality of suitable matrices matter in reducing the negative effect of fragmentation on populations extinction risk,Biorxiv,"pastsearch, biorxiv",2020.08.10.244178,"The negative effect of fragmentation is one of the main concerns in the study of biodiversity loss in landscape ecology. The use of the matrix has been considered an important factor because it can change the relationship of a population with the configuration of the landscape. A systematic way to assess the effect of matrix quality in fragmented landscapes could lead to a better understanding of how matrices can be used to suppress the negative effect of fragmentation. We built a computational individual-based model capable of simulating bi-dimensional landscapes with three types of land cover (habitat, suitable matrix and hostile matrix) and individuals that inhabit those landscapes. We explored in which situations changes in the proportion of the suitable matrix in the landscape and the degree of usability of this suitable matrix can mitigate the negative effect of fragmentation per se. We observed that (i) an increase in the matrix quality (increases in the suitable matrix proportion and/or usability) can suppress the fragmentation effect in 47% of the simulated scenarios; (ii) the less usable the matrix is the more of it is needed to suppress the fragmentation effect; (iii) there is a level of usability below which increasing the suitable matrix proportion does cause the fragmentation effect to cease. These results point toward a landscape management that considers the similarity of the matrix to the native habitat under management. We suggest that an index to measure the usability of elements of the matrix could be an important tool to further the use of computational models in landscape management.Competing Interest StatementThe authors have declared no competing interest.",10.1101/2020.08.10.244178,http://biorxiv.org/content/early/2022/04/05/2020.08.10.244178.abstract,NA,4,quantity and quality of suitable matrices matter in reducing the negative effect of fragmentation on populations extinction risk,10.1101/2020.08.10.244178,http://biorxiv.org/content/early/2022/04/05/2020.08.10.244178.abstract
57,drew_08,MAYBE,Dennis_et_al_2019_Biorxiv,"Dennis, Matthew and Scaletta, Katherine L. and James, Philip",2019,Evaluating environmental and ecological landscape characteristics relevant to urban resilience across gradients of land-sharing-sparing and urbanity,Biorxiv,"pastsearch, biorxiv",605105,"Within urban landscape planning, debate continues around the relative merits of land-sparing (compaction) and land-sharing (sprawl) scenarios. Using part of Greater Manchester (UK) as a case-study, we present a landscape approach to mapping green infrastructure and variation in social-ecological-environmental conditions as a function of land sparing and sharing. We do so for the landscape as a whole as well as for areas of high and low urbanity. Results imply potential trade-offs between land-sparing-sharing scenarios relevant to characteristics critical to urban resilience such as landscape connectivity and diversity, air quality, surface temperature, and access to green space. These trade-offs may be particularly complex due to the parallel influence of patch attributes such as land-cover and size and imply that both ecological restoration and spatial planning have a role to play in reconciling tensions between land-sparing and sharing strategies.",10.1101/605105,http://biorxiv.org/content/early/2019/04/10/605105.abstract,NA,3,evaluating environmental and ecological landscape characteristics relevant to urban resilience across gradients of land-sharing-sparing and urbanity,10.1101/605105,http://biorxiv.org/content/early/2019/04/10/605105.abstract
76,drew_08,MAYBE,Branoff_2018_Biorxiv,"Branoff, Benjamin and Martinuzzi, Sebastián",2018,Mangrove forest structure and composition along urban gradients in Puerto Rico,Biorxiv,"pastsearch, biorxiv",504928,"Urban forests are repeatedly characterized as distinct in composition and structure in comparison with their non-urban counterparts. This holds true for mangroves, although previous studies lack quantified representations of urbanness as well as any inclusion of hydrology or water chemistry, which are important influences on mangrove forest structure, composition, and function. This study uses LiDAR and ground-based measurements of mangroves within well quantified urban gradients in Puerto Rico to test for the relative importance of urbanization alongside flooding metrics and surface water chemistry in explaining observed patterns of forest structure and composition. In simple regression, urban metrics were the most powerful predictors of forest composition but not structure. Results show higher tree diversity but lower mangrove diversity in the most urban forests. Structural measurements, however, were best explained by flooding, surface water chemistry, and non-urban land cover metrics. Nitrogen concentrations best explained stem density and tree size, while flooding metrics best explained stand biomass and basal area, and surrounding vegetation cover best explained canopy cover and height metrics. In multiple regression, land cover and surface water chemistry were more important than flooding, with population density again being the most important variable in explaining mangrove forest diversity. Results show that urbanization is an important influence on mangrove composition and basal area, leading to higher tree diversity and lower basal area, consistent with patterns in terrestrial forests. But urban mangrove forests are also lower in mangrove diversity and tend to have representation only by Laguncularia racemosa. Nitrogen concentrations and surrounding vegetation cover, both of which are indirectly influenced by urbanization, were positively related to tree size and canopy cover and height, respectively. These tests suggest urbanization is an important influence on mangrove forest structure and composition, but that flooding and water chemistry must also be considered when managing these forests.",10.1101/504928,http://biorxiv.org/content/early/2018/12/21/504928.abstract,NA,2,mangrove forest structure and composition along urban gradients in puerto rico,10.1101/504928,http://biorxiv.org/content/early/2018/12/21/504928.abstract
85,drew_08,MAYBE,Rigal_et_al_2021_Biorxiv,"Rigal, Stanislas and Devictor, Vincent and Gaüzère, Pierre and Kéfi, Sonia and Forsman, Jukka T and Kajanus, MIra H and Mönkkönen, Mikko and Dakos, Vasilis",2021,Biotic homogenisation in bird communities leads to large-scale changes in species associations,Biorxiv,"pastsearch, biorxiv",2020.11.13.380956,"Aim The impact of global change on biodiversity is commonly assessed in terms of changes in species distributions, community richness and community composition. Whether and how much associations between species, i.e. the degree of correlation in their spatial co-occurrence, are also changing is much less documented and mostly limited to local studies of ecological networks. In this study, we quantify changes in large-scale patterns of species associations in bird communities in relation to changes in species composition.Location France.Time period 2001-2017.Major taxa studied Common breeding birds.Methods We use network approaches to build three community-aggregated indices reflecting complementary aspects of species association networks. We characterise the spatio-temporal dynamics of these indices using a large-scale and high-resolution dataset of bird co-abundances of 109 species monitored for 17 years (2001-2017) from 1,969 sites across France. We finally test whether spatial and temporal changes in species association networks are related to species homogenisation estimated as the spatio-temporal dynamics of β-diversity and the proportion of habitat generalists. The consistency of these relationships is tested across three main habitats, namely woodland, grassland and human settlements.Results We document a directional change in association-based indices in response to modifications in β-diversity and in the proportion of generalists in space and time. Weaker associations and sparser networks were related to lower β-diversity and a higher proportion of generalists, suggesting an overlooked aspect of biotic homogenisation affecting species associations. We report that this overall pattern is not constant across habitats, with opposite relationships between biotic homogenisation and change in species association networks in urban versus forest communities suggesting distinct homogenisation processes.Main Conclusions Although species association contain only partial signatures of species interactions, our study highlights that biotic homogenisation translates to finer changes in community structure by affecting the number, strength and type of species associations.Competing Interest StatementThe authors have declared no competing interest.",10.1101/2020.11.13.380956,http://biorxiv.org/content/early/2021/06/10/2020.11.13.380956.abstract,NA,8,biotic homogenisation in bird communities leads to large-scale changes in species associations,10.1101/2020.11.13.380956,http://biorxiv.org/content/early/2021/06/10/2020.11.13.380956.abstract
92,drew_08,MAYBE,Weisser_2017_Biorxiv,"Weisser, Wolfgang W. and Hauck, Thomas E.",2017,ANIMAL-AIDED DESIGN – using a species’ life-cycle to improve open space planning and conservation in cities and elsewhere,Biorxiv,"pastsearch, keyrevfwd, biorxiv",150359,"Biodiversity underlies many of the ecosystem services demanded by humans. For cities, the design of ‘green infrastructures’ or ‘nature-based solutions’ has been proposed to maintain the provisioning of these services and the preservation of biodiversity. It is unclear, however, how such green infrastructure can be implemented, given existing planning practices that generally ignore biodiversity. Urban open spaces are normally designed by landscape architects with a primary focus on plants, aesthetic design and functionality for human users. As a consequence, conservation of species only plays a minor role, in fact, protected animals are often considered detrimental to the design, e.g. when the need to conserve a protected species demands modifications of a building project. Conversely, conservationists are often in favor of protected areas, also in cities, with little access for humans and no human design.We propose ‘Animal-Aided Design’ (AAD) as a methodology for the design of urban open spaces, to integrate conservation into open space planning. The basic idea of AAD is to include the presence of animals in the planning process, such that they are an integral part of the design. For AAD, the desired species are chosen at the beginning of a project. The requirements of the target species then not only set boundary conditions for the design, but also serve as an inspiration for the design itself. The aim of AAD is to establish a stable population at the project site, or contribute to population growth of species with larger habitats. AAD thus allows a combination of good urban design with species conservation. We illustrate our approach with designs for urban spaces in Munich.",10.1101/150359,http://biorxiv.org/content/early/2017/06/15/150359.abstract,NA,2,animal-aided design – using a species’ life-cycle to improve open space planning and conservation in cities and elsewhere,10.1101/150359,http://biorxiv.org/content/early/2017/06/15/150359.abstract
107,drew_08,MAYBE,Gabites_2020_Biorxiv,"Gabites, Harriet and Spencer, Ricky-John",2020,Quantifying Costs of Urbanisation: Wetland Loss and Impacts in a Rapidly Developing Global City,Biorxiv,"pastsearch, biorxiv",2020.06.22.127365,"As cities grow, natural ecosystems decline through conversion to urban environments. Cities are often viewed as biodiversity wastelands, but they can be hotspots of global biodiversity. Urban biodiversity emphasises two fundamentals. First, people living in cities enjoy wildlife and second, there is virtually no planning for species that co-inhabit our cities. If urban biodiversity was a significant part of planning, then we would be far better at integrating green infrastructure into expanding urban environments.Wetlands are among the most important and productive ecosystems in the world. They are the main suppliers of fresh water for human use and provide habitat to critical fauna and flora. In urban areas they are a vital link to nature and social cohesion. Currently, there is an absence of wetland inventory quantifying loss and changes overtime. Hence the broad impacts of urbanisation on wetland loss are difficult to assess.We explored wetland loss and created a wetland inventory for Western Sydney, Australia, one of the world’s fastest growing urban regions. We used satellite imagery to determine wetland number and type, and calculated changes in wetland surface area from 2010-2017. Broad changes to land use were also quantified. We developed species distribution models of a common urban wetland turtle (Chelodina longicollis) that people interact with regularly or have as pets. Chelodina longicollis utilises both aquatic and terrestrial environments, and we determined if changes in distribution were associated with changes in the wetland inventory and urbanisation.Most local government areas (LGA) experienced a decrease in wetland surface area from 2010-2017, ranging from -1% (Cumberland) to -21% (Blacktown). Majority of LGAs experienced a decrease in wetland density, with wetland densities declining by 25% (Blacktown). All LGAs experienced an increase in urban land use, ranging from 3-12%, which was associated with high rates of wetland loss.Changes in turtle distribution over the decade reflects a southern distribution shift away from where wetland losses were concentrated. We estimated that ∼40,000 individual turtles were displaced or killed due to wetland loss and urbanisation.Urbanisation was the leading cause of wetland loss and degradation in Western Sydney between 2010 and 2017. Wetlands provide critical green infrastructure and significant green space for social cohesion in urban areas. Integration of current wetlands, or the creation of functional wetlands, is key for sustainable development of urban landscapes. Urban wetlands (natural and constructed) may provide “biodiversity arks” for endangered species and facilitate community led conservation programs.Competing Interest StatementThe authors have declared no competing interest.",10.1101/2020.06.22.127365,http://biorxiv.org/content/early/2020/06/23/2020.06.22.127365.abstract,NA,2,quantifying costs of urbanisation: wetland loss and impacts in a rapidly developing global city,10.1101/2020.06.22.127365,http://biorxiv.org/content/early/2020/06/23/2020.06.22.127365.abstract
109,drew_08,MAYBE,Maraci_et_al_2021_Biorxiv,"Maraci, Öncü and Corsini, Michela and Antonatou-Papaioannou, Anna and Jünemann, Sebastian and Sudyka, Joanna and Lecce, Irene Di and Caspers, Barbara A. and Szulkin, Marta",2021,Alterations to the Gut Microbiota of a Wild Juvenile Passerine in an Urban Mosaic,Biorxiv,"pastsearch, biorxiv",2021.04.15.439940,"Urbanisation is a major anthropogenic perturbation that progressively alters multiple environmental parameters, thereby presenting novel evolutionary challenges to wild populations. Symbiotic microorganisms residing in the gastrointestinal tracts (gut) of vertebrates have well-established mutual connections with the physiology of their hosts and respond quickly to environmental alterations. However, the impacts of anthropogenic changes and urbanisation on gut microbiota remain poorly understood, especially in early development. To address this knowledge gap, we investigated the gut microbiota in juvenile great tits (Parus major) in an urban mosaic. First, we compared the microbiota of nestlings reared in artificial nest boxes or natural cavities. Next, we analysed microbiota variations employing two distinct urbanisation frameworks, (i) the classical urban/rural dichotomy and (ii) gradual changes in the amount of impervious surface area (ISA) in the urban space and identified the environmental variables that predicted the changes in the microbial communities. Alpha diversity was influenced by cavity type and by the amount of impervious surface surrounding the breeding location. Alpha diversity was also positively correlated with the tree cover density. Beta diversity differed between urban and rural sites, and these alterations covaried with sound pollution, the distance to the city centre and the distance to the closest road. Overall, the microbial communities reflect and are possibly influenced by the heterogeneous environmental modifications that are typical of the urban space. Strikingly, the choice of framework used to define the urban space can influence the outcomes of studies investigating animal-microbe symbiosis. Our results open new perspectives from which the potential function of microbial symbionts in the adaptation of their hosts to anthropogenic stress can be investigated.Competing Interest StatementThe authors have declared no competing interest.",10.1101/2021.04.15.439940,http://biorxiv.org/content/early/2021/04/23/2021.04.15.439940.abstract,NA,8,alterations to the gut microbiota of a wild juvenile passerine in an urban mosaic,10.1101/2021.04.15.439940,http://biorxiv.org/content/early/2021/04/23/2021.04.15.439940.abstract
119,drew_08,MAYBE,Ascensão_et_al_2022_Biorxiv,"Ascensão, Fernando and D’Amico, Marcello and Revilla, Eloy and Pereira, Henrique M.",2022,"Road encroachment mediates species occupancy, trait filtering and dissimilarity of songbird communities",Biorxiv,"pastsearch, biorxiv",2022.01.14.476305,"Assessing the road effects on biodiversity is challenging because impacts may depend on both wildlife responses to roads and on the spatial arrangement of roads. We questioned whether an increase in road encroachment i.e., the advancement of roads into non-urban areas, leads to significant changes (positive and negative) in species occurrence, and if so, whether those changes are linked to specific traits related to perturbation sensitiveness, therefore acting as filters that increase the community compositional dissimilarity. Using a large citizen-science dataset of point-counts performed throughout Iberian Peninsula (4,459 unique survey sites), we modelled the effect of road density on the occurrence of common songbirds (n=58), while accounting for potential confounding effects of environment and survey effort. We then tested if species’ occurrence patterns would be linked to specific traits related to the ability to cope with human presence. Finally, we assessed how road density affect the community compositional dissimilarity. We estimated 24 (41%) and 12 (21%) species to be negatively and positively affected by roads, respectively. Increased road encroachment was positively related with a higher prevalence of urban dwellers and negatively related with the occurrence of species nesting and foraging on the ground. Furthermore, increasing road density translated into an increasing community compositional dissimilarity, mostly due to species turnover. Our study support previous research showing that roads have different effects on the occurrence of different species, but we revealed that at least three species' traits have a clear relation with such road responses. Such trait filtering is probably causing a high species turnover between songbird communities occurring in roaded and nearby roadless areas. Overall, we found that different species-specific responses to roads translates into changes at the community level. Landscape and road-network management should be conceived acknowledging that roads are contributing to biodiversity changes. As so, building upon the concepts of Land Sharing / Land Sparing, conservation actions should be tailored according to the different species responses e.g., road verge management targeting species having a positive relation with road density; and compensation actions targeting species showing a negative response toward roads.Competing Interest StatementThe authors have declared no competing interest.",10.1101/2022.01.14.476305,http://biorxiv.org/content/early/2022/01/17/2022.01.14.476305.abstract,NA,4,"road encroachment mediates species occupancy, trait filtering and dissimilarity of songbird communities",10.1101/2022.01.14.476305,http://biorxiv.org/content/early/2022/01/17/2022.01.14.476305.abstract
124,drew_08,MAYBE,Muderere_et_al_2018_Biorxiv,"Muderere, Trymore and Murwira, Amon and Tagwireyi, Paradzayi and Chiweshe, Ngoni",2018,Landscape structure influences avian species diversity in tropical urban mosaics,Biorxiv,"pastsearch, biorxiv",388702,"In this study, we tested whether urban landscape structure influences avian species diversity using data for Harare, Zimbabwe. Initially, we quantified landscape structure using fragmentation indices derived from a 5m resolution SPOT 5 imagery. We collected bird species data through field-based observations of birds at 35 locations occurring in five land use/land cover types. We quantified avian species diversity using Barger-Parker, Menhinick and Simpson’s Indices. Regression analysis was used to determine the nature and strength of the relationships between avian species diversity and fragmentation indices. Results indicated that woodland specialist avian species are negatively associated with landscape fragmentation, while grassland specialist and generalist avian species positively responded to patch edge density, habitat patch size and shape complexity. Overall, our results suggest that changes in landscape structure due to expansion of built-up areas in tropical urban areas may influence avian species diversity.",10.1101/388702,http://biorxiv.org/content/early/2018/08/09/388702.abstract,NA,4,landscape structure influences avian species diversity in tropical urban mosaics,10.1101/388702,http://biorxiv.org/content/early/2018/08/09/388702.abstract
