STUDY_ID,REVIEWERS,INCLUDE,label,author,year,title_upd,journal,source,start_page,abstract,doi_upd,url_upd,volume,num_authors,title_prv,doi_prv,url_prv
7,drew_08,REVIEW,Arghius_et_al_2020_Biorxiv,"Arghius, Viorel and Malos, Cristian and Macicasan, Vlad and Hartel, Tibor",2020,Holistic assessment of large old trees: a framework and its application for Romania,Biorxiv,"pastsearch, biorxiv",2020.03.24.004812,"Large old trees are keystone ecological structures and have exceptional sociocultural values. Still, holistic approaches to national assessments of large old trees are scarse in the scientific literature. Here we propose and apply a holistic framework to understand the distribution of large old trees, the formal regulations targeting the conservation of large old trees and the ways large old trees are present in the popular news in Romania. There were 4032 large old tree records in Romania most of the records being concentrated in the Central and North-Western part of Romania. The number of tree records decreases with the decreasing terrain accessibility. Almost 50% of the large old tree records are in areas not covered by nature conservation regulations and 2/3 of the terrestrial protected areas have no open access large old tree records, so far. We identified five formal regulations which could be relevant for large old tree conservation in Romania, however, only two of these explicitly targets large old trees. The lack of knowledge and interest, the lack of expertize, institutional capacity, vested interests (corruption) and inconsistencies within the regulations are the major barriers in the formal protection of large old trees. We also identified several opportunities for the local initiatives to protect large old trees, based on the current legislative frameworks. We identified 259 internet news targeting large old trees in Romania which reveals a wide range of values and concerns associated to large old trees at the level of the local communities. While discussing our results we highlight the benefits of a wider adoption of our approach for science, decision making and local initiatives to save large old trees.",10.1101/2020.03.24.004812,http://biorxiv.org/content/early/2020/03/25/2020.03.24.004812.abstract,NA,4,holistic assessment of large old trees: a framework and its application for romania,10.1101/2020.03.24.004812,http://biorxiv.org/content/early/2020/03/25/2020.03.24.004812.abstract
26,drew_08,REVIEW,Koch_et_al_2022_Biorxiv,"Koch, Thomas Lund and Torres, Joshua P. and Baskin, Robert P. and Salcedo, Paula Flórez and Chase, Kevin and Olivera, Baldomero M. and Safavi-Hemami, Helena",2022,Discovery of Novel Bilaterian Signaling Peptides Using Cone Snail Toxins,Biorxiv,"pastsearch, biorxiv",2022.08.05.502922,"Peptide hormones and neuropeptides form a diverse class of signaling molecules that control essential processes in animals. Despite several breakthroughs in peptide discovery, many signaling peptides remain undiscovered. Recently, we demonstrated the use of somatostatin-like toxins from cone snail venom to identify homologous signaling peptides in prey. Here, we demonstrate that this toxin-based approach can be systematically applied to the discovery of other unknown bilaterian signaling peptides. Using large sequencing datasets, we searched for homologies between cone snail toxins and putative peptides from several important model organisms representing the snails’ prey. We identified five toxin families that share strong similarities with previously unknown signaling peptides from mollusks and annelids. One of the peptides was also identified in rotifers, brachiopods, platyhelminths, and arthropods, and another was found to be structurally related to crustacean hyperglycemic hormone, a peptide not previously known to exist in Spiralia. Based on several lines of evidence we propose that these signaling peptides not only exist but serve important physiological functions. Finally, we propose that the discovery pipeline developed here can be more broadly applied to other systems in which one organism has evolved molecules to manipulate the physiology of another.Competing Interest StatementThe authors have declared no competing interest.",10.1101/2022.08.05.502922,http://biorxiv.org/content/early/2022/08/05/2022.08.05.502922.abstract,NA,7,clavis: an open and versatile identification key format,10.1101/2022.05.26.493630,http://biorxiv.org/content/early/2022/10/17/2022.05.26.493630.abstract
39,drew_08,REVIEW,Park_et_al_2021_Biorxiv,"Park, Daniel S. and Feng, Xiao and Akiyama, Shinobu and Ardiyani, Marlina and Avendaño, Neida and Barina, Zoltan and Bärtschi, Blandine and Belgrano, Manuel and Betancur, Julio and Bijmoer, Roxali and Bogaerts, Ann and Cano, Asunción and Danihelka, Jirí and Garg, Arti and Giblin, David E. and Gogoi, Rajib and Guggisberg, Alessia and Hyvärinen, Marko and James, Shelley A. and Sebola, Ramagwai J. and Katagiri, Tomoyuki and Kennedy, Jonathan A. and Komil, Tojibaev Sh. and Lee, Byoungyoon and Lee, Serena M.L. and Magri, Donatella and Marcucci, Rossella and Masinde, Siro and Melnikov, Denis and Mráz, Patrik and Mulenko, Wieslaw and Musili, Paul and Mwachala, Geoffrey and Nelson, Burrell E. and Niezgoda, Christine and Sepúlveda, Carla Novoa and Orli, Sylvia and Paton, Alan and Payette, Serge and Perkins, Kent D. and Ponce, Maria Jimena and Rainer, Heimo and Rasingam, L. and Rustiami, Himmah and Shiyan, Natalia M. and Bjorå, Charlotte S. and Solomon, James and Stauffer, Fred and Sumadijaya, Alex and Thiébaut, Mélanie and Thiers, Barbara M. and Tsubota, Hiromi and Vaughan, Alison and Virtanen, Risto and Whitfeld, Timothy J. S. and Zhang, Dianxiang and Zuloaga, Fernando O. and Davis, Charles C.",2021,The colonial legacy of herbaria,Biorxiv,"pastsearch, biorxiv",2021.10.27.466174,"Herbarium collections shape our understanding of the world’s flora and are crucial for addressing global change and biodiversity conservation. The formation of such natural history collections, however, are not free from sociopolitical issues of immediate relevance. Despite increasing efforts addressing issues of representation and colonialism in natural history collections, herbaria have received comparatively less attention. While it has been noted that the majority of plant specimens are housed in the global North, the extent of this disparity has not been rigorously quantified to date. Here, by analyzing over 85 million specimen records and surveying herbaria across the globe, we assess the colonial legacy of botanical collections and how we may move towards a more inclusive future. We demonstrate that colonial exploitation has contributed to an inverse relationship between where plant biodiversity exists in nature and where it is housed in herbaria. Such disparities persist in herbaria across physical and digital realms despite overt colonialism having ended over half a century ago, suggesting ongoing digitization and decolonization efforts have yet to alleviate colonial-era discrepancies. We emphasize the need for acknowledging the inconvenient history of herbarium collections and the implementation of a more equitable, global paradigm for their collection, curation, and use.Competing Interest StatementThe authors have declared no competing interest.",10.1101/2021.10.27.466174,http://biorxiv.org/content/early/2021/11/02/2021.10.27.466174.abstract,NA,58,the colonial legacy of herbaria,10.1101/2021.10.27.466174,http://biorxiv.org/content/early/2021/11/02/2021.10.27.466174.abstract
43,drew_08,REVIEW,Bowler_et_al_2019_Biorxiv,"Bowler, D.E. and Bjorkman, A.D. and Dornelas, M. and Myers-Smith, I.H. and Navarro, L. M. and Niamir, A. and Supp, S.R. and Waldock, C. and Vellend, M. and Blowes, S. A. and Böhning-Gaese, K. and Bruelheide, H. and Elahi, R. and Antão, L.H. and Hines, J. and Isbell, F. and Jones, H.P. and Magurran, A.E. and Cabral, J. S. and Winter, M. and Bates, A.E.",2019,Mapping human pressures across the planet uncovers anthropogenic threat complexes,Biorxiv,"pastsearch, biorxiv",432880,"Climate change and other anthropogenic drivers of biodiversity change are unequally distributed across the world. Overlap in the distributions of different drivers have important implications for biodiversity change attribution and the potential for interactive effects. However, the spatial relationships among different drivers, and whether they differ between the terrestrial and marine realm has yet to be examined.We compiled global gridded datasets on climate change, land-use, resource exploitation, pollution, alien species potential, and human population density. We used multivariate statistics to examine the spatial relationships amongst the drivers and to characterize the typical combinations of drivers experienced by different regions of the world.We found stronger positive correlations among drivers in the terrestrial than in the marine realm, leading to areas with high intensities of multiple drivers on land. Climate change tended to be negatively correlated with other drivers in the terrestrial realm (e.g., in the tundra and boreal forest with high climate change but low human use and pollution), whereas the opposite was true in the marine realm (e.g., in the Indo-Pacific with high climate change and high fishing).We show that different regions of the world can be defined by anthropogenic threat complexes (ATCs), distinguished by different sets of drivers with varying intensities. The ATCs can be used to test hypotheses about patterns of biodiversity change, especially in response to the joint effects of multiple drivers. More generally, our global analysis highlights the broad conservation priorities needed to mitigate the impacts of anthropogenic change, with different priorities emerging on land and in the ocean, and in different parts of the world.",10.1101/432880,http://biorxiv.org/content/early/2019/07/09/432880.abstract,NA,21,mapping human pressures across the planet uncovers anthropogenic threat complexes,10.1101/432880,http://biorxiv.org/content/early/2019/07/09/432880.abstract
60,drew_08,REVIEW,Rocchini_et_al_2020_Biorxiv,"Rocchini, Duccio and Salvatori, Nicole and Beierkuhnlein, Carl and Chiarucci, Alessandro and de Boissieu, Florian and Förster, Michael and Garzon-Lopez, Carol X. and Gillespie, Thomas W. and Hauffe, Heidi C. and He, Kate S. and Kleinschmit, Birgit and Lenoir, Jonathan and Malavasi, Marco and Moudrý, Vítězslav and Nagendra, Harini and Payne, Davnah and Šímová, Petra and Torresani, Michele and Wegmann, Martin and Féret, Jean-Baptiste",2020,From local spectral species to global spectral communities: a benchmark for ecosystem diversity estimate by remote sensing,Biorxiv,"pastsearch, biorxiv",2020.11.04.367995,"In the light of unprecedented change in global biodiversity, real-time and accurate ecosystem and biodiversity assessments are becoming increasingly essential. Nevertheless, estimation of biodiversity using ecological field data can be difficult for several reasons. For instance, for very large areas, it is challenging to collect data that provide reliable information. Some of these restrictions in Earth observation can be avoided through the use of remote sensing approaches. Various studies have estimated biodiversity on the basis of the Spectral Variation Hypothesis (SVH). According to this hypothesis, spectral heterogeneity over the different pixel units of a spatial grid reflects a higher niche heterogeneity, allowing more organisms to coexist. Recently, the spectral species concept has been derived, following the consideration that spectral heterogeneity at a landscape scale corresponds to a combination of subspaces sharing a similar spectral signature. With the use of high resolution remote sensing data, on a local scale, these subspaces can be identified as separate spectral entities, the so called “spectral species”. Our approach extends this concept over wide spatial extents and to a higher level of biological organization. We applied this method to MODIS imagery data across Europe. Obviously, in this case, a spectral species identified by MODIS is not associated to a single plant species in the field but rather to a species assemblage, habitat, or ecosystem. Based on such spectral information, we propose a straightforward method to derive α- (local relative abundance and richness of spectral species) and β-diversity (turnover of spectral species) maps over wide geographical areas.Competing Interest StatementThe authors have declared no competing interest.",10.1101/2020.11.04.367995,http://biorxiv.org/content/early/2020/11/05/2020.11.04.367995.abstract,NA,20,from local spectral species to global spectral communities: a benchmark for ecosystem diversity estimate by remote sensing,10.1101/2020.11.04.367995,http://biorxiv.org/content/early/2020/11/05/2020.11.04.367995.abstract
70,drew_08,REVIEW,Florence_et_al_2020_Biorxiv,"Florence, Matutini and Jacques, Baudry and Guillaume, Pain and Morgane, Sineau and Joséphine, Pithon",2020,How citizen science could improve Species Distribution Models and their independent assessment,Biorxiv,"pastsearch, biorxiv",2020.06.02.129536,"Species distribution models (SDM) have been increasingly developed in recent years but their validity is questioned. Their assessment can be improved by the use of independent data but this can be difficult to obtain and prohibitive to collect. Standardized data from citizen science may be used to establish external evaluation datasets and to improve SDM validation and applicability. We used opportunistic presence-only data along with presence-absence data from a standardized citizen science program to establish and assess habitat suitability maps for 9 species of amphibian in western France. We assessed Generalized Additive and Random Forest Models’ performance by (1) cross-validation using 30% of the opportunistic dataset used to calibrate the model or (2) external validation using different independent data sets derived from citizen science monitoring. We tested the effects of applying different combinations of filters to the citizen data and of complementing it with additional standardized fieldwork. Cross-validation with an internal evaluation dataset resulted in higher AUC (Area Under the receiver operating Curve) than external evaluation causing overestimation of model accuracy and did not select the same models; models integrating sampling effort performed better with external validation. AUC, specificity and sensitivity of models calculated with different filtered external datasets differed for some species. However, for most species, complementary fieldwork was not necessary to obtain coherent results, as long as the citizen science data was strongly filtered. Since external validation methods using independent data are considered more robust, filtering data from citizen sciences may make a valuable contribution to the assessment of SDM. Limited complementary fieldwork with volunteer’s participation to complete ecological gradients may also possibly enhance citizen involvement and lead to better use of SDM in decision processes for nature conservation.Competing Interest StatementThe authors have declared no competing interest.",10.1101/2020.06.02.129536,http://biorxiv.org/content/early/2020/09/22/2020.06.02.129536.abstract,NA,5,how citizen science could improve species distribution models and their independent assessment,10.1101/2020.06.02.129536,http://biorxiv.org/content/early/2020/09/22/2020.06.02.129536.abstract
79,drew_08,REVIEW,Fairbrass_et_al_2018_Biorxiv,"Fairbrass, A. J. and Firman, M. and Williams, C. and Brostow, G. J. and Titheridge, H. and Jones, K. E.",2018,CityNet - Deep Learning Tools for Urban Ecoacoustic Assessment,Biorxiv,"pastsearch, keyrevfwd, biorxiv",248708,"Cities support unique and valuable ecological communities, but understanding urban wildlife is limited due to the difficulties of assessing biodiversity. Ecoacoustic surveying is a useful way of assessing habitats, where biotic sound measured from audio recordings is used as a proxy for biodiversity. However, existing algorithms for measuring biotic sound have been shown to be biased by non-biotic sounds in recordings, typical of urban environments.We develop CityNet, a deep learning system using convolutional neural networks (CNNs), to measure audible biotic (CityBioNet) and anthropogenic (CityAnthroNet) acoustic activity in cities. The CNNs were trained on a large dataset of annotated audio recordings collected across Greater London, UK. Using a held-out test dataset, we compare the precision and recall of CityBioNet and CityAnthroNet separately to the best available alternative algorithms: four acoustic indices (AIs): Acoustic Complexity Index, Acoustic Diversity Index, Bioacoustic Index, and Normalised Difference Soundscape Index, and a state-of-the-art bird call detection CNN (bulbul). We also compare the effect of non-biotic sounds on the predictions of CityBioNet and bulbul. Finally we apply CityNet to describe acoustic patterns of the urban soundscape in two sites along an urbanisation gradient.CityBioNet was the best performing algorithm for measuring biotic activity in terms of precision and recall, followed by bulbul, while the AIs performed worst. CityAnthroNet outperformed the Normalised Difference Soundscape Index, but by a smaller margin than CityBioNet achieved against the competing algorithms. The CityBioNet predictions were impacted by mechanical sounds, whereas air traffic and wind sounds influenced the bulbul predictions. Across an urbanisation gradient, we show that CityNet produced realistic daily patterns of biotic and anthropogenic acoustic activity from real-world urban audio data.Using CityNet, it is possible to automatically measure biotic and anthropogenic acoustic activity in cities from audio recordings. If embedded within an autonomous sensing system, CityNet could produce environmental data for cites at large-scales and facilitate investigation of the impacts of anthropogenic activities on wildlife. The algorithms, code and pre-trained models are made freely available in combination with two expert-annotated urban audio datasets to facilitate automated environmental surveillance in cities.",10.1101/248708,http://biorxiv.org/content/early/2018/01/16/248708.abstract,NA,6,citynet - deep learning tools for urban ecoacoustic assessment,10.1101/248708,http://biorxiv.org/content/early/2018/01/16/248708.abstract
93,drew_08,REVIEW,Kougioumoutzis_et_al_2020_Biorxiv,"Kougioumoutzis, Konstantinos and Kokkoris, Ioannis P. and Panitsa, Maria and Trigas, Panayiotis and Strid, Arne and Dimopoulos, Panayotis",2020,Management implications based on diversity patterns under climate change scenarios in a continental island biodiversity hotspot,Biorxiv,"pastsearch, biorxiv",2020.03.01.971143,"In the Anthropocene era, climate change poses a great challenge in environmental management and decision-making for species and habitat conservation. To support decision-making, many studies exist regarding the expected vegetation changes and the impacts of climate change on European plants, yet none has investigated how climate change will affect the extinction risk of the entire endemic flora of an island biodiversity hotspot, with intense human disturbance. Our aim is to assess, in an integrated manner, the impact of climate change on the biodiversity and biogeographical patterns of Crete and to provide a case-study upon which a cost-effective and climate-smart conservation planning strategy might be set. We employed a variety of macroecological analyses and estimated the current and future biodiversity, conservation and extinction hotspots in Crete, as well as the factors that may have shaped these distribution patterns. We also evaluated the effectiveness of climate refugia and the NATURA 2000 network (PAs) on protecting the most vulnerable species and identified the taxa that should be of conservation priority based on the Evolutionary Distinct and Globally Endangered (EDGE) index, during any environmental management process. The highlands of Cretan mountain massifs have served as both diversity cradles and museums, due to their stable climate and high topographical heterogeneity. They are also identified as biodiversity hotspots, as well as areas of high conservation and evolutionary value, due their high EDGE scores. Due to the ‘escalator to extinction’ phenomenon and the subsequent biotic homogenization, these areas are projected to become diversity ‘death-zones’ in the near future and should thus be prioritized in terms of conservation efforts and by decision makers. In-situ conservation focusing at micro-reserves and ex-situ conservation practices should be considered as an insurance policy against such biodiversity losses, which constitute cost-effective conservation measures. Scientists and authorities should aim the conservation effort at areas with overlaps among PAs and climate refugia, characterized by high diversity and EDGE scores. These areas may constitute Anthropocene refugia. Thus, this climate-smart, cost-effective conservation-prioritization planning will allow the preservation of evolutionary heritage, trait diversity and future services for human well-being and acts as a pilot for similar regions worldwide.",10.1101/2020.03.01.971143,http://biorxiv.org/content/early/2020/03/03/2020.03.01.971143.abstract,NA,6,management implications based on diversity patterns under climate change scenarios in a continental island biodiversity hotspot,10.1101/2020.03.01.971143,http://biorxiv.org/content/early/2020/03/03/2020.03.01.971143.abstract
148,drew_08,REVIEW,Bellew_et_al_2023_Biorxiv,"Bellew, Sean and Flint, Ian and Wang, Yan",2023,Determining Best Practice for the Spatial Poisson Process in Species Distribution Modelling,Biorxiv,"pastsearch, biorxiv",2023.01.10.523499,"Poisson processes have become a prominent tool in species distribution modelling when analysing citizen science data based on presence records. This study examines four distinct statistical approaches, each of which utilises a different approximation to fit a Poisson point process. These include two Poisson regressions with either uniform weights or the more elaborate Berman-Turner device, as well as two logistic regressions, namely the infinitely weighted logistic regression method and Baddeley’s logistic regression developed in the context of spatial Gibbs processes. This last method has not been considered in depth in the context of Poisson point processes in the previous literature. A comprehensive comparison has been conducted on the performance of these four approaches using both simulated and actual presence data sets. When the number of dummy points is sufficiently large, all approaches converge, with the Berman-Turner device demonstrating the most consistent performance. A Poisson process model was developed to accurately predict the distribution of Arctotheca calendula, an invasive weed in Australia that does not appear to have been the subject of any species niche modelling analysis in the existing literature. Our findings are valuable for ecologists and other non-statistical experts who wish to implement the best practices for predicting species’ distribution using Poisson point processes.Competing Interest StatementOne of the authors, Ian Flint, has been supported by the ARC DP grant.",10.1101/2023.01.10.523499,http://biorxiv.org/content/early/2023/01/12/2023.01.10.523499.abstract,NA,3,determining best practice for the spatial poisson process in species distribution modelling,10.1101/2023.01.10.523499,http://biorxiv.org/content/early/2023/01/12/2023.01.10.523499.abstract
166,drew_08,REVIEW,Zaman_2022_Biorxiv,"Zaman, Asaduz and Dorin, Alan",2022,A Framework for Better Sensor-Based Beehive Health Monitoring,Biorxiv,"pastsearch, biorxiv",2022.11.15.516676,"Hive bees provide essential pollination services to human agriculture. Managed honey bees in particular pollinate many crops, but also create honey and other bee products that are now of global economic importance. Key aspects of honey bee behaviour can be understood by observing hives. Hence, the limitations of manual observation are increasingly being addressed by new technologies that automate and extend the reach of hive monitoring.Here we propose a framework to classify and clarify the potential for sensor-assisted hive monitoring to inform apiculture and, ultimately, improve hive bee management. This framework considers hive monitoring approaches across three newly proposed categories: Operational monitoring, Investigative monitoring, and Predictive monitoring. These categories constitute a new “OIP Framework” of hive monitoring. Each category has its own requirements for underlying technology that includes sensors and ICT resources we outline. Each category is associated with particular outcomes and benefits for apiculture and hive health monitoring detailed here. Application of these three classes of sensor-assisted hive monitoring can simplify understanding and improve best-practice management of hive bees.Our survey and classification of hive monitoring to date show that it is seldom practiced beyond honey bees, despite the need to understand bumble bees and stingless bees also. Perhaps unsurprisingly, sensor-based hive monitoring is shown to remain primarily a practice of developed nations. Yet we show how all countries, especially developing nations, stand to gain substantially from the benefits improved sensor-based hive monitoring offers. These include a better understanding of environmental change, an increased ability to manage pollination, an ability to respond rapidly to hive health issues such as pests and pathogens, and even an ability to react quickly to the danger posed to insects and humans alike by extreme events such as floods and fires. Finally, we anticipate that the future of hive monitoring lies in the application of Predictive monitoring, such that a hive’s anticipated future state can be preemptively managed by beekeepers working iteratively with novel hive monitoring technologies.Competing Interest StatementThe authors have declared no competing interest.",10.1101/2022.11.15.516676,http://biorxiv.org/content/early/2022/11/17/2022.11.15.516676.abstract,NA,2,a framework for better sensor-based beehive health monitoring,10.1101/2022.11.15.516676,http://biorxiv.org/content/early/2022/11/17/2022.11.15.516676.abstract
