STUDY_ID,REVIEWERS,INCLUDE,label,author,year,title_upd,journal,source,start_page,abstract,doi_upd,url_upd,volume,num_authors,title_prv,doi_prv,url_prv
11,drew_08,YES,Shimazaki_et_al_2016_UrbanForestryandUrbanGreening,"Shimazaki, Atsushi; Yamaura, Yuichi; Senzaki, Masayuki; Yabuhara, Yuki; Akasaka, Takumi; Nakamura, Futoshi",2016,Urban permeability for birds: An approach combining mobbing-call experiments and circuit theory,Urban Forestry and Urban Greening,"benchmark, wos, scopus, keyrevbwd, lookingbillrefs, pastsearch",167,"Abstract The urban matrix was recently shown to be a mosaic of heterogeneous dispersal habitats. We conducted a playback experiment of mobbing calls to examine the probabilities of forest birds to cross a distance of 50 m over urban matrix with different land-cover types in an urban area. We treated the reciprocal of the crossing probabilities as a movement resistance for forest birds. We drew resistance surfaces based on the land-cover maps of urban Sapporo. We applied a circuit theory to examine the relative role of a detour route consisting of a riparian corridor and urban matrix for dispersing forest bird individuals from continuous forest to an isolated green space in the midst of an urban area. Our results showed that wood cover had the highest crossing probability, while open land (grassland and pavement) had the lowest probabilities. Buildings and water surface displayed an intermediate probability. Resistance surfaces and flow maps at 25- and 50-m resolutions were very similar and suggested that dispersing individuals are likely to use the intervening building areas that dominate the urban matrix rather than detour through riparian corridors. Our results showed the useful combination of experimental approaches and circuit theory, and the importance of the spatial configuration of corridors, as well as the composition and management of dispersal habitats, to landscape connectivity.",10.1016/j.ufug.2016.06.024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978998628&doi=10.1016%2fj.ufug.2016.06.024&partnerID=40&md5=50ebdd8c7513ea006e07ef10be00d1df,19,6,urban permeability for birds: an approach combining mobbing-call experiments and circuit theory,10.1016/j.ufug.2016.06.024,https://pubag.nal.usda.gov/catalog/5247302; https://eprints.lib.hokudai.ac.jp/dspace/bitstream/2115/71426/1/Urban%20For.%20Urban%20Green.19_167-175.pdf; http://www.sciencedirect.com/science/article/pii/S1618866715301291; https://eprints.lib.hokudai.ac.jp/dspace/handle/2115/71426; https://www.sciencedirect.com/science/article/pii/S1618866715301291; https://ci.nii.ac.jp/naid/120006502482
22,drew_08,YES,Turrini_2015_GlobalChangeBiology,"Turrini, Tabea; Knop, Eva",2015,A landscape ecology approach identifies important drivers of urban biodiversity,Global Change Biology,"benchmark, wos, scopus, pastsearch",1652,"Cities are growing rapidly worldwide, yet a mechanistic understanding of the impact of urbanization on biodiversity is lacking. We assessed the impact of urbanization on arthropod diversity (species richness and evenness) and abundance in a study of six cities and nearby intensively managed agricultural areas. Within the urban ecosystem, we disentangled the relative importance of two key landscape factors affecting biodiversity, namely the amount of vegetated area and patch isolation. To do so, we a priori selected sites that independently varied in the amount of vegetated area in the surrounding landscape at the 500-m scale and patch isolation at the 100-m scale, and we hold local patch characteristics constant. As indicator groups, we used bugs, beetles, leafhoppers, and spiders. Compared to intensively managed agricultural ecosystems, urban ecosystems supported a higher abundance of most indicator groups, a higher number of bug species, and a lower evenness of bug and beetle species. Within cities, a high amount of vegetated area increased species richness and abundance of most arthropod groups, whereas evenness showed no clear pattern. Patch isolation played only a limited role in urban ecosystems, which contrasts findings from agro-ecological studies. Our results show that urban areas can harbor a similar arthropod diversity and abundance compared to intensively managed agricultural ecosystems. Further, negative consequences of urbanization on arthropod diversity can be mitigated by providing sufficient vegetated space in the urban area, while patch connectivity is less important in an urban context. This highlights the need for applying a landscape ecological approach to understand the mechanisms shaping urban biodiversity and underlines the potential of appropriate urban planning for mitigating biodiversity loss.",10.1111/gcb.12825,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924626442&doi=10.1111%2fgcb.12825&partnerID=40&md5=e6d1410a99be56abd68bf2d2b2bed2ae,21,2,a landscape ecology approach identifies important drivers of urban biodiversity,10.1111/gcb.12825,https://europepmc.org/article/MED/25620599; http://onlinelibrary.wiley.com/doi/10.1111/gcb.12825/abstract; https://ui.adsabs.harvard.edu/abs/2015GCBio..21.1652T/abstract; https://www.onlinelibrary.wiley.com/doi/abs/10.1111/gcb.12825; https://pubmed.ncbi.nlm.nih.gov/25620599/
53,drew_08,YES,Munshi-South_et_al_2015_Biorxiv,"Munshi-South, Jason and Zolnik, Christine P. and Harris, Stephen E.",2015,Population genomics of the Anthropocene: urbanization is negatively associated with genome-wide variation in white-footed mouse populations,Biorxiv,"pastsearch, biorxiv",025007,"Urbanization results in pervasive habitat fragmentation and reduces standing genetic variation through bottlenecks and drift. Loss of genome-wide variation may ultimately reduce the evolutionary potential of animal populations experiencing rapidly changing conditions. In this study, we examined genome-wide variation among 23 white-footed mouse (Peromyscus leucopus) populations sampled along an urbanization gradient in the New York City metropolitan area. Genome-wide variation was estimated as a proxy for evolutionary potential using more than 10,000 SNP markers generated by ddRAD-Seq. We found that genome-wide variation is inversely related to urbanization as measured by percent impervious surface cover, and to a lesser extent, human population density. We also report that urbanization results in enhanced genome-wide differentiation between populations in cities. There was no pattern of isolation by distance among these populations, but an isolation by resistance model based on impervious surface significantly explained patterns of genetic differentiation. Isolation by environment modeling also indicated that urban populations deviate much more strongly from global allele frequencies than suburban or rural populations. This study is the first to examine loss of genome-wide SNP variation along an urban-to-rural gradient and quantify urbanization as a driver of population genomic patterns.",10.1101/025007,http://biorxiv.org/content/early/2015/11/26/025007.abstract,NA,3,population genomics of the anthropocene: urbanization is negatively associated with genome-wide variation in white-footed mouse populations,10.1101/025007,http://biorxiv.org/content/early/2015/11/26/025007.abstract
55,drew_08,YES,Kim_et_al_2020_Sustainability,"Kim, Dohee; Shin, Wonhyeop; Choi, Heejoon; Kim, Jihwan; Song, Youngkeun",2020,Estimation of Ecological Connectivity in a City Based on Land Cover and Urban Habitat Maps,Sustainability,"benchmark, wos, keyrevfwd, pastsearch",9529,"Anthropogenic land use has led to the loss and fragmentation of native habitats and disruption to ecosystem processes, resulting in a decline in landscape connectivity and biodiversity. Here, in order to find the potentials of improvements in ecological connectivity, we provide a spatial analysis to present differences in ecological connectivity based on land cover maps and urban habitat maps in Suwon city, Republic of Korea. We generated two permeability maps for use in a network analysis, one being land cover and the other urban habitat, including a 5-km buffer area from the city boundary. We then determined the current-flow betweenness centrality (CFBC) for each map. Our results indicate that forests are typically the most highly connected areas in both maps. However, in the land cover map results, nearly all high-priority areas were in the mountainous region (CFBC value: 0.0100 ± 0.0028), but the urban habitat indicated that grasslands and rivers within the city also significantly contribute to connectivity (CFBC value: 0.0071 ± 0.0022). The CFBC maps developed here could be used as a reference when introducing green infrastructure in cities. Before establishing ecological networks for urban areas, future work should integrate the land use and ecological data of different administrative districts with continuous ecological connection.",10.3390/su12229529,https://ideas.repec.org/a/gam/jsusta/v12y2020i22p9529-d445808.html; https://www.mdpi.com/2071-1050/12/22/9529/pdf; https://www.mdpi.com/2071-1050/12/22/9529,12,5,estimation of ecological connectivity in a city based on land cover and urban habitat maps,10.3390/su12229529,https://ideas.repec.org/a/gam/jsusta/v12y2020i22p9529-d445808.html; https://www.mdpi.com/2071-1050/12/22/9529/pdf; https://www.mdpi.com/2071-1050/12/22/9529
66,drew_08,YES,Kang_et_al_2015_UrbanEcosystems,"Kang, Wanmo; Minor, Emily S.; Park, Chan Ryul; Lee, Dowon",2015,"Effects of habitat structure, human disturbance, and habitat connectivity on urban forest bird communities",Urban Ecosystems,"benchmark, wos, scopus, pastsearch",857,"As urbanization accelerates, urban biodiversity conservation is becoming a great concern for the maintenance of urban ecosystem functions. In particular, forest bird communities in urban areas have been recognized as a conservation target because of their functions in food webs and ecosystem services. But our understanding of which local- and landscape-scale factors influence native bird communities within urban green spaces is still insufficient to provide managers with information for effectively planning biodiversity management programs. Here we examine how local habitat characteristics, human disturbance, and habitat connectivity influence the diversity of forest bird communities in 44 small forest patches (0.5–20.0 ha) embedded in an urbanized landscape. Patch size exerted a positive influence on the diversity of most bird functional groups, and it had the greatest effects on total abundance and species richness. The second most important factor was human disturbance. Remnant patches with lower levels of human disturbance had higher diversity than newly established patches where intense human activities occurred more frequently. In addition, vegetation complexity and habitat connectivity were positively related to total species richness and abundance, respectively, but they were less important. Management strategies for the conservation of urban forest birds, therefore, should consider not only local improvements in habitat structure – through increased patch size, reduced human disturbance, and increased vegetation complexity – but also the maintenance of habitat connectivity.",10.1007/s11252-014-0433-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939654773&doi=10.1007%2fs11252-014-0433-5&partnerID=40&md5=94c858a2649f36465070ee069971c5c9,18,4,"effects of habitat structure, human disturbance, and habitat connectivity on urban forest bird communities",10.1007/s11252-014-0433-5,https://pubag.nal.usda.gov/catalog/4400128; https://link.springer.com/article/10.1007/s11252-014-0433-5; https://www.researchgate.net/profile/Chan_Ryul_Park/publication/271843506_Effects_of_habitat_structure_human_disturbance_and_habitat_connectivity_on_urban_forest_bird_communities/links/5540b4570cf2718618da81bd.pdf
67,drew_08,YES,Mimet_et_al_2019_Biorxiv,"Mimet, Anne and Kerbiriou, Christian and Simon, Laurent and Julien, Jean-François and Raymond, Richard",2019,"Contribution of private gardens to habitat availability, connectivity and conservation of the common pipistrelle in Paris",Biorxiv,"pastsearch, biorxiv",579227,"Urban sprawl is one of the greatest global changes with major negative impacts on biodiversity and human well-being. Recent policies have acknowledged the value of urban green areas in counterbalancing such impacts. These policies aim to increase the ecological value of green areas, making cities more permeable to natural populations. However, they are largely focused on the role and management of public green areas, ignoring the role and potential of private green areas for urban ecological value.This study aims to evaluate the benefits of considering private green areas for conservation efforts in cities. Using data on bat activity and information on vegetation and building height, we quantify the respective role of public and private green areas in habitat availability and connectivity for the common pipistrelle in the city of Paris, France. Our results show that despite the low proportion of private green areas in Paris (36% of the total green areas), they still contributed up to 47.9% of bat habitat availability and decrease the resistance of the city matrix by 88%. The distribution in the city matrix and vegetation composition of those areas appeared especially beneficial for bat habitat availability and connectivity. The study demonstrates the importance of private green areas in the ecological value of cities in complementing the role of public green areas. Our results confirm the need to develop more inclusive urban conservation strategies that include both public and private stakeholders.HighlightsThe urban ecological value of private gardens outweighs that of public gardensThis is true for both habitat availability and connectivityBiodiversity policies in cities should also focus on private green areasInclusive conservation strategies are also needed in cities",10.1101/579227,http://biorxiv.org/content/early/2019/03/16/579227.abstract,NA,5,"contribution of private gardens to habitat availability, connectivity and conservation of the common pipistrelle in paris",10.1101/579227,http://biorxiv.org/content/early/2019/03/16/579227.abstract
77,drew_08,YES,Cox_et_al_2016_ScientificReports,"Cox, Daniel T. C.; Inger, Richard; Hancock, Steven; Anderson, Karen; Gaston, Kevin J.",2016,Movement of feeder-using songbirds: the influence of urban features,Scientific Reports,"benchmark, wos, scopus, pastsearch",37669,"Private gardens provide vital opportunities for people to interact with nature. The most popular form of interaction is through garden bird feeding. Understanding how landscape features and seasons determine patterns of movement of feeder-using songbirds is key to maximising the well-being benefits they provide. To determine these patterns we established three networks of automated data loggers along a gradient of greenspace fragmentation. Over a 12-month period we tracked 452 tagged blue tits Cyantistes caeruleus and great tits Parus major moving between feeder pairs 9,848 times, to address two questions: (i) Do urban features within different forms, and season, influence structural (presence-absence of connections between feeders by birds) and functional (frequency of these connections) connectivity? (ii) Are there general patterns of structural and functional connectivity across forms? Vegetation cover increased connectivity in all three networks, whereas the presence of road gaps negatively affected functional but not structural connectivity. Across networks structural connectivity was lowest in the summer when birds maintain breeding territories, however patterns of functional connectivity appeared to vary with habitat fragmentation. Using empirical data this study shows how key urban features and season influence movement of feeder-using songbirds, and we provide evidence that this is related to greenspace fragmentation.",10.1038/srep37669,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84996554644&doi=10.1038%2fsrep37669&partnerID=40&md5=cc165670c2bf70ae64082165785f7a7d,6,5,movement of feeder-using songbirds: the influence of urban features,10.1038/srep37669,http://doi.org/10.1038/srep37669; https://nature.com/articles/srep37669; https://ore.exeter.ac.uk/repository/handle/10871/24205; https://www.ncbi.nlm.nih.gov/pubmed/27876884; https://www.nature.com/articles/srep37669.pdf; https://research.monash.edu/en/publications/movement-of-feeder-using-songbirds-the-influence-of-urban-feature; https://doi.org/10.1038/srep37669; https://core.ac.uk/display/77032376; http://ui.adsabs.harvard.edu/abs/2016NatSR...637669C/abstract; http://europepmc.org/articles/PMC5120271; https://core.ac.uk/download/77032376.pdf
88,drew_08,YES,Braaker_et_al_2014_Ecology,"Braaker, Sonja; Ghazoul, Jaboury; Obrist, Martin K.; Moretti, Marco",2014,Habitat connectivity shapes urban arthropod communities: the key role of green roofs,Ecology,"benchmark, wos, scopus, pastsearch",1010,"The installation of green roofs, defined here as rooftops with a shallow soil cover and extensive vegetation, has been proposed as a possible measure to mitigate the loss of green space caused by the steady growth of cities. However, the effectiveness of green roofs in supporting arthropod communities, and the extent to which they facilitate connectivity of these communities within the urban environment is currently largely unknown. We investigated the variation of species community composition (beta diversity) of four arthropod groups with contrasting mobility (Carabidae, Araneae, Curculionidae, and Apidae) on 40 green roofs and 40 extensively managed green sites on the ground in the city of Zurich, Switzerland. With redundancy analysis and variation partitioning, we (1) disentangled the relative importance of local environmental conditions, the surrounding land cover composition, and habitat connectivity on species community composition, (2) searched for specific spatial scales of habitat connectivity for the different arthropod groups, and (3) discussed the ecological and functional value of green roofs in cities. Our study revealed that on green roofs community composition of high-mobility arthropod groups (bees and weevils) were mainly shaped by habitat connectivity, while low-mobility arthropod groups (carabids and spiders) were more influenced by local environmental conditions. A similar but less pronounced pattern was found for ground communities. The high importance of habitat connectivity in shaping high-mobility species community composition indicates that these green roof communities are substantially connected by the frequent exchange of individuals among surrounding green roofs. On the other hand, low-mobility species communities on green roofs are more likely connected to ground sites than to other green roofs. The integration of green roofs in urban spatial planning strategies has great potential to enable higher connectivity among green spaces, so that eventually even communities of low-mobility species become connected. Furthermore, improving the design of green roofs (composition and configuration of vegetation and soil types) could enhance the ecological value, particularly for low-mobility species.",10.1890/13-0705.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904093237&doi=10.1890%2f13-0705.1&partnerID=40&md5=9ad6a6c0ac1df4a2388fa3752daff538,95,4,habitat connectivity shapes urban arthropod communities: the key role of green roofs,10.1890/13-0705.1,https://www.research-collection.ethz.ch/mapping/view/pub:132026; https://europepmc.org/article/MED/24933819; http://onlinelibrary.wiley.com/doi/10.1890/13-0705.1/abstract; http://doi.wiley.com/10.1890/13-0705.1; https://onlinelibrary.wiley.com/doi/10.1890/13-0705.1/abstract; https://pubmed.ncbi.nlm.nih.gov/24933819/; https://www.dora.lib4ri.ch/wsl/islandora/object/wsl:4891; https://besjournals.onlinelibrary.wiley.com/doi/10.1890/13-0705.1; http://onlinelibrary.wiley.com/doi/10.1890/13-0705.1/full; https://esajournals.onlinelibrary.wiley.com/doi/full/10.1890/13-0705.1; http://www.wsl.ch/wsl/info/mitarbeitende/obrist/pdf/13628.pdf; https://www.ncbi.nlm.nih.gov/pubmed/24933819; https://www.dora.lib4ri.ch/wsl/islandora/object/wsl%3A4891/datastream/PDF/view; http://www.esajournals.org/doi/abs/10.1890/13-0705.1?af=R
97,drew_08,YES,Kirk_et_al_2022_Biorxiv,"Kirk, Holly and Soanes, Kylie and Amati, Marco and Bekessy, Sarah and Harrison, Lee and Parris, Kirsten and Ramalho, Cristina and van der Ree, Rodney and Threlfall, Caragh",2022,Urban ecological connectivity as a planning tool for different animal species,Biorxiv,"pastsearch, keyrevfwd, biorxiv",2022.11.06.515356,"The application of ecological theory to urban planning is becoming more important as land managers focus on increasing urban biodiversity as a way to improve human welfare. City authorities must decide not only what types of biodiversity-focused infrastructure should be prioritized, but also where new resources should be positioned and existing resources protected or enhanced. Careful spatial planning can contribute to the successful return and conservation of urban nature by maximizing the contribution of green infrastructure to landscape connectivity. By using ecological connectivity theory as a planning tool, governments can quantify the effect of different interventions on the ease with which wildlife can move across the landscape. Here we outline an approach to a) quantify ecological connectivity for different urban wildlife species and b) use this to test different urban planning scenarios using QGIS. We demonstrate four extensions to the work by Deslaurier et al. (2018) and Spanowicz &amp; Jaeger (2019) which improve the application of this method as a planning tool for local government:A step-by-step method for calculating effective mesh size using the open-source software QGIS.Conversion of the effective mesh size value (meff) to a “probability of connectedness” (Pc, for easier interpretation by local government and comparisons between planning scenarios).Guidance for measuring species-specific connectivity, including how to decide what spatial information should be included and which types of species might be most responsive to connectivity planning.Advice for using the method to measure the outcome of different urban planning scenarios on ecological connectivity.Competing Interest StatementThe authors have declared no competing interest.",10.1101/2022.11.06.515356,http://biorxiv.org/content/early/2022/11/08/2022.11.06.515356.abstract,NA,9,urban ecological connectivity as a planning tool for different animal species,10.1101/2022.11.06.515356,http://biorxiv.org/content/early/2022/11/08/2022.11.06.515356.abstract
99,drew_08,YES,Evans_et_al_2017_FrontiersinEcologyandEvolution,"Evans, Brian S.; Kilpatrick, A. Marm; Hurlbert, Allen H.; Marra, Peter P.",2017,Dispersal in the Urban Matrix: Assessing the Influence of Landscape Permeability on the Settlement Patterns of Breeding Songbirds,Frontiers in Ecology and Evolution,"benchmark, wos, scopus, keyrevfwd, pastsearch",NA,"The ability of organisms to disperse across urban landscapes is theorized to be constrained by habitat fragmentation. While previous research has shown the distribution of forest patches is a determinant of dispersal patterns among forest-obligate bird species, the impacts of habitat distribution on the dispersal of “urban-adapted” species, has yet to be examined. Here, we use capture-reencounter data of birds banded over a 9-year period at six banding stations in greater Washington, DC to assess dispersal in four species of songbirds and a translocation experiment to examine the influence of land cover on movement. Point count and land cover data were used to construct habitat suitability and landscape permeability surfaces, with the latter representing potential travels costs from the capture location to the surrounding landscape. To assess how dispersal processes are affected by urban land cover, we searched for previously banded birds at sampling locations within 1.5 km of each banding station and compared the distribution of sampling locations with and without observations of previously-banded birds. We found evidence that settlement of two of four focal species, the Northern Cardinal (Cardinalis cardinalis) and Gray Catbird (Dumetella carolinensis), was more likely in sites with high relative permeability. To experimentally explore the consequences of the urban matrix habitat on movement, we attached radio transmitters to male Cardinals, translocated individuals 1.5 km across high-intensity urban, suburban, and forested landscapes, and recorded the time to return to their territory. Return time was dependent on land cover with Cardinals translocated across suburban habitats returning significantly faster than those moved across the other two land use classes. Combined, our findings suggest that, even among some “urban-adapted” species, dispersal within urban environments may be influenced by landscape structure and composition.",10.3389/fevo.2017.00063,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031696236&doi=10.3389%2ffevo.2017.00063&partnerID=40&md5=53e401a3cb2f1afbd69c0ab284844551,5,4,dispersal in the urban matrix: assessing the influence of landscape permeability on the settlement patterns of breeding songbirds,10.3389/fevo.2017.00063,http://journal.frontiersin.org/article/10.3389/fevo.2017.00063/full; https://www.frontiersin.org/articles/10.3389/fevo.2017.00063/pdf; https://repository.si.edu/handle/10088/35389; https://www.frontiersin.org/articles/10.3389/fevo.2017.00063/full; https://core.ac.uk/display/87833797
