studyID,Study_no,ES_no,Title,FirstAuth,Pub_year,Pub_type,Pub_name,DOI,City,Country,Study_year,Study_class,Study_order,Study_spec,Study_effect,Conn_type,Conn_metric,Conn_buffer,Conn_feat,Conn_lcclass,Conn_tool,r_metric,r_method,corr_type,mi,ri,ti,fi,pi,bi,var_sdi,var_type,R2i,ni,n_type,NOTES,yi,vi,rcorr_type
Lizée_2012_5,5,11,Matrix configuration and patch isolation influences override the species–area relationship for urban butterfly communities,Lizée,2012,journalarticle,Landscape Ecology,10.1007/s10980-011-9651-x,Marseille,France,2008,insecta,lepidoptera,NA,associative,structural,distance to natural area,1,distance,green,fragstats,species richness,transect survey,pearson,NA,-0.65,NA,NA,NA,NA,NA,NA,NA,24,sites - parks,Results presented as log(). Table2,-0.7752987062055836,0.047619047619047616,full
Lizée_2012_5,5,12,Matrix configuration and patch isolation influences override the species–area relationship for urban butterfly communities,Lizée,2012,journalarticle,Landscape Ecology,10.1007/s10980-011-9651-x,Marseille,France,2008,insecta,lepidoptera,NA,associative,structural,distance to natural area,1,distance,green,fragstats,abundance,transect survey,pearson,NA,-0.4,NA,NA,NA,NA,NA,NA,NA,24,sites - parks,Results presented as log(). Table2,-0.42364893019360184,0.047619047619047616,full
Lizée_2012_5,5,13,Matrix configuration and patch isolation influences override the species–area relationship for urban butterfly communities,Lizée,2012,journalarticle,Landscape Ecology,10.1007/s10980-011-9651-x,Marseille,France,2008,insecta,lepidoptera,NA,associative,structural,aggregation index of greenspace,1,adjacency,green,fragstats,species richness,transect survey,pearson,NA,0.69,NA,NA,NA,NA,NA,NA,NA,24,sites - parks,Results presented as log(). Table2,0.8479557552189635,0.047619047619047616,full
Lizée_2012_5,5,14,Matrix configuration and patch isolation influences override the species–area relationship for urban butterfly communities,Lizée,2012,journalarticle,Landscape Ecology,10.1007/s10980-011-9651-x,Marseille,France,2008,insecta,lepidoptera,NA,associative,structural,aggregation index of greenspace,1,adjacency,green,fragstats,abundance,transect survey,pearson,NA,0.5,NA,NA,NA,NA,NA,NA,NA,24,sites - parks,Results presented as log(). Table2,0.5493061443340549,0.047619047619047616,full
Lizée_2012_5,5,15,Matrix configuration and patch isolation influences override the species–area relationship for urban butterfly communities,Lizée,2012,journalarticle,Landscape Ecology,10.1007/s10980-011-9651-x,Marseille,France,2008,insecta,lepidoptera,NA,associative,structural,aggregation index of builtup,1,adjacency,grey,fragstats,species richness,transect survey,pearson,NA,-0.67,NA,NA,NA,NA,NA,NA,NA,24,sites - parks,Results presented as log(). Table2,-0.8107431254751375,0.047619047619047616,full
Lizée_2012_5,5,16,Matrix configuration and patch isolation influences override the species–area relationship for urban butterfly communities,Lizée,2012,journalarticle,Landscape Ecology,10.1007/s10980-011-9651-x,Marseille,France,2008,insecta,lepidoptera,NA,associative,structural,aggregation index of builtup,1,adjacency,grey,fragstats,abundance,transect survey,pearson,NA,-0.67,NA,NA,NA,NA,NA,NA,NA,24,sites - parks,Results presented as log(). Table2,-0.8107431254751375,0.047619047619047616,full
Lizée_2012_5,5,17,Matrix configuration and patch isolation influences override the species–area relationship for urban butterfly communities,Lizée,2012,journalarticle,Landscape Ecology,10.1007/s10980-011-9651-x,Marseille,France,2008,insecta,lepidoptera,NA,associative,structural,proportion developed in buffer,1,area,grey,fragstats,species richness,transect survey,pearson,NA,-0.75,NA,NA,NA,NA,NA,NA,NA,24,sites - parks,Results presented as log(). Table2,-0.9729550745276566,0.047619047619047616,full
Lizée_2012_5,5,18,Matrix configuration and patch isolation influences override the species–area relationship for urban butterfly communities,Lizée,2012,journalarticle,Landscape Ecology,10.1007/s10980-011-9651-x,Marseille,France,2008,insecta,lepidoptera,NA,associative,structural,proportion developed in buffer,1,area,grey,fragstats,abundance,transect survey,pearson,NA,-0.65,NA,NA,NA,NA,NA,NA,NA,24,sites - parks,Results presented as log(). Table2,-0.7752987062055836,0.047619047619047616,full
Lizée_2012_5,5,19,Matrix configuration and patch isolation influences override the species–area relationship for urban butterfly communities,Lizée,2012,journalarticle,Landscape Ecology,10.1007/s10980-011-9651-x,Marseille,France,2008,insecta,lepidoptera,NA,associative,structural,proportion greenspace in buffer,1,area,green,fragstats,species richness,transect survey,pearson,NA,0.71,NA,NA,NA,NA,NA,NA,NA,24,sites - parks,Results presented as log(). Table2,0.8871838632580928,0.047619047619047616,full
Lizée_2012_5,5,20,Matrix configuration and patch isolation influences override the species–area relationship for urban butterfly communities,Lizée,2012,journalarticle,Landscape Ecology,10.1007/s10980-011-9651-x,Marseille,France,2008,insecta,lepidoptera,NA,associative,structural,proportion greenspace in buffer,1,area,green,fragstats,abundance,transect survey,pearson,NA,0.56,NA,NA,NA,NA,NA,NA,NA,24,sites - parks,Results presented as log(). Table2,0.632833186665638,0.047619047619047616,full
