doi,updated,url,url_for_pdf,url_for_landing_page,evidence,license,version,host_type,is_best,pmh_id,endpoint_id,repository_institution,oa_date,data_standard,is_oa,is_paratext,genre,oa_status,has_repository_copy,journal_is_oa,journal_is_in_doaj,journal_issns,journal_issn_l,journal_name,publisher,published_date,year,title,updated_resource,decision
10.1017/s0030605315001246,2020-09-30T13:12:09.834057,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/4C43E703569F63FEA771EB61D327F4F2/S0030605315001246a.pdf/div-class-title-taking-the-elephant-out-of-the-room-and-into-the-corridor-can-urban-corridors-work-div.pdf,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/4C43E703569F63FEA771EB61D327F4F2/S0030605315001246a.pdf/div-class-title-taking-the-elephant-out-of-the-room-and-into-the-corridor-can-urban-corridors-work-div.pdf,https://doi.org/10.1017/s0030605315001246,open (via page says license),cc-by,publishedVersion,publisher,TRUE,NA,NA,NA,2016-05-06,2,TRUE,FALSE,journal-article,hybrid,FALSE,FALSE,FALSE,"0030-6053,1365-3008",0030-6053,Oryx,Cambridge University Press (CUP),2016-05-06,2016,Taking the elephant out of the room and into the corridor: can urban corridors work?,2021-01-14T21:59:55.323610,YES
10.1890/13-0705.1,2022-12-01T17:55:01.177840,https://www.dora.lib4ri.ch/wsl/islandora/object/wsl%3A4891/datastream/PDF/Braaker-2014-Habitat_connectivity_shapes_urban_arthropod_communities-%28published_version%29.pdf,https://www.dora.lib4ri.ch/wsl/islandora/object/wsl%3A4891/datastream/PDF/Braaker-2014-Habitat_connectivity_shapes_urban_arthropod_communities-%28published_version%29.pdf,https://www.dora.lib4ri.ch/wsl/islandora/object/wsl%3A4891,oa repository (via OAI-PMH doi match),NA,acceptedVersion,repository,TRUE,oai:dora:wsl_4891,97aa526343b06bea6c9,"Swiss Federal Institute for Forest, Snow and Landscape Research - DORA WSL",NA,2,TRUE,FALSE,journal-article,green,TRUE,FALSE,FALSE,0012-9658,0012-9658,Ecology,Wiley,2014-04-01,2014,Habitat connectivity shapes urban arthropod communities: the key role of green roofs,2021-01-20T17:10:18.988057,YES
10.1111/geb.12760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,"1466-822X,1466-8238",1466-822X,Global Ecology and Biogeography,Wiley,2018-07-04,2018,Nativity and seed dispersal mode influence species’ responses to habitat connectivity and urban environments,2022-10-13T11:53:04.425581,YES
10.1186/s40462-022-00318-5,2023-03-23T20:40:24.778866,https://movementecologyjournal.biomedcentral.com/track/pdf/10.1186/s40462-022-00318-5,https://movementecologyjournal.biomedcentral.com/track/pdf/10.1186/s40462-022-00318-5,https://doi.org/10.1186/s40462-022-00318-5,oa journal (via doaj),cc-by,publishedVersion,publisher,TRUE,NA,NA,NA,2022-04-08,2,TRUE,FALSE,journal-article,gold,TRUE,TRUE,TRUE,2051-3933,2051-3933,Movement Ecology,Springer Science and Business Media LLC,2022-04-08,2022,"Towns and trails drive carnivore movement behaviour, resource selection, and connectivity",2023-03-17T13:30:46.326048,YES
10.1186/s40462-022-00318-5,2023-03-23T20:40:24.778961,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8994267,NA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8994267,oa repository (via pmcid lookup),NA,publishedVersion,repository,FALSE,NA,NA,NA,NA,2,TRUE,FALSE,journal-article,gold,TRUE,TRUE,TRUE,2051-3933,2051-3933,Movement Ecology,Springer Science and Business Media LLC,2022-04-08,2022,"Towns and trails drive carnivore movement behaviour, resource selection, and connectivity",2023-03-17T13:30:46.326048,YES
10.1186/s40462-022-00318-5,2022-05-23T08:55:56.996056,https://www.researchsquare.com/article/rs-1258541/latest.pdf,https://www.researchsquare.com/article/rs-1258541/latest.pdf,https://doi.org/10.21203/rs.3.rs-1258541/v1,oa repository (via free pdf),cc-by,submittedVersion,repository,FALSE,NA,NA,NA,2022-01-31,2,TRUE,FALSE,journal-article,gold,TRUE,TRUE,TRUE,2051-3933,2051-3933,Movement Ecology,Springer Science and Business Media LLC,2022-04-08,2022,"Towns and trails drive carnivore movement behaviour, resource selection, and connectivity",2023-03-17T13:30:46.326048,YES
10.1111/ecog.01297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,0906-7590,0906-7590,Ecography,Wiley,2015-04-23,2015,Urbanisation versus agriculture: a comparison of local genetic diversity and gene flow between wood mouse<i>Apodemus sylvaticus</i>populations in human-modified landscapes,2022-08-03T02:21:15.732588,YES
10.1007/s11252-017-0671-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,"1083-8155,1573-1642",1083-8155,Urban Ecosystems,Springer Science and Business Media LLC,2017-04-17,2017,Does demolition improve biodiversity? Linking urban green space and socioeconomic characteristics to avian richness in a shrinking city,2021-07-07T22:35:31.815855,YES
10.1007/s00267-016-0698-y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,"0364-152X,1432-1009",0364-152X,Environmental Management,Springer Science and Business Media LLC,2016-04-19,2016,Coupling Satellite Data with Species Distribution and Connectivity Models as a Tool for Environmental Management and Planning in Matrix-Sensitive Species,2021-01-16T20:02:48.588723,YES
10.1111/cobi.12337,2022-12-10T08:12:40.103056,http://ir.unimas.my/8422/1/NO%2048%20Evaluating%20multispecies%20landscape%20connectivity%20in%20a%20threatened%20tropical%20mammal%20community%20-%20abstrak.pdf,http://ir.unimas.my/8422/1/NO%2048%20Evaluating%20multispecies%20landscape%20connectivity%20in%20a%20threatened%20tropical%20mammal%20community%20-%20abstrak.pdf,http://ir.unimas.my/8422/1/NO%2048%20Evaluating%20multispecies%20landscape%20connectivity%20in%20a%20threatened%20tropical%20mammal%20community%20-%20abstrak.pdf,oa repository (via OAI-PMH title and first author match),NA,submittedVersion,repository,TRUE,oai:ir.unimas.my:8422,325dee0480a48ba60bf,Universiti Malaysia Sarawak - Unimas Institutional Repository,NA,2,TRUE,FALSE,journal-article,green,TRUE,FALSE,FALSE,0888-8892,0888-8892,Conservation Biology,Wiley,2014-07-25,2014,Evaluating multispecies landscape connectivity in a threatened tropical mammal community,2021-04-21T06:01:37.232640,YES
