,x,group
1,forest fragments,other
2,functional connectivity,connectivity
3,functional diversity,outcome
4,genetic diversity,outcome
5,patch connectivity,connectivity
6,plant diversity,outcome
7,remote sensing,connectivity
8,spatially explicit,other
9,structural connectivity,connectivity
10,urban biodiversity,biodiversity
11,urban environments,urban
12,urban forest,urban
13,urban forests,urban
14,urban greenspace,urban
15,urban greenspaces,urban
16,urban parks,urban
17,urban vegetation,urban
18,urban wildlife,biodiversity
19,animal movement,outcome
20,canopy cover,other
21,dispersal abilities,other
22,dispersal distance,outcome
23,dispersal distances,outcome
24,forest cover,other
25,forest patches,other
26,generalized linear,other
27,genetic differentiation,outcome
28,genetic variation,outcome
29,impervious surface,urban
30,native plant,other
31,native vegetation,other
32,resistance surface,connectivity
33,resistance surfaces,connectivity
34,urban expansion,other
35,urban matrix,connectivity
36,vegetation cover,other
37,ecological connectivity,connectivity
38,genetic structure,outcome
39,green infrastructure,urban
40,habitat connectivity,connectivity
41,landscape connectivity,connectivity
42,urban green,urban
43,urban landscape,urban
