STUDY_ID,REVIEWERS,INCLUDE,source_type,label,author,year,title,journal,source,volume,start_page,abstract,doi_upd,url_upd,jour_s,num_authors,doi_prv,url_prv
4,drew2,MAYBE,JOUR,Wu_et_al_2003_Jour,"Wu, Z. and Wu, W. and Gao, J. and Zhang, S.",2003,Analysis of urban forest landscape pattern in Hefei,JOUR,NA,14,2117,"Based on the theory and methodology of landscape ecology, the landscape pattern of the study area (17.6 km2) in the downtown of Hefei was analyzed by using the techniques of RS, GPS and GIS. The object was to provide a comprehensive method to study urban forest structure and its function in environmental improvement. The results showed that there were 5 major landscape elements, i.e., building and hard pavement surface, water, road, urban forest, and general green land in the area. The landscape matrix was building and pavement surface, occupied 73.13 % of total land. Road was the typical corridor element in the city and occupied 6.89%. Green land occupied 11.44 %, in which, urban forest patch occupied 9.18 %. There were 408 urban forest patches, with an area of 161.16 hm2. The average area of the patch was 0.396 hm2, and the maximum area was 12 hm2, 48 % of urban forest patch was identified as small scale patches with &lt; 500 m2 of area, and only 8.6 % of them was larger than 1 hm2. The number of general green land patch was 255, with an area of 39.74 hm2, which accounted for 2.26 % of land area, and its average and maximum area was 0.1558 hm2 and 3.86 hm2, respectively. There were 147 water patches, with an area of 149.93 hm2, and occupied 8.54 % of land, and the average and maximum area of the patch was 1.02 hm2 and 16 hm2, respectively. In the study area, both of the Shannon-Weiner landscape diversity index and evenness were low, only 0.928 and 0.576, respectively. In addition, the dominance of urban forest patch and general green land was 0.39, showing that the two landscape elements had a certain influence on the environment of the study area. The concept of interior habitat for forest was introduced in this paper, which was employed to make a scale class system of urban forest patch. The threshold area with interior habitat for urban forest patch was 9800m2, and there was 31.69hm2 of interior habitat of urban forest in total, which occupied 19.7 % of the total area of urban forest patch. This situation was not favorable for providing more habitats to support species diversity. It's suggested that the concept of interior habitat could be employed to identify urban forest patch, and a scale system of small scale patch of urban forest-middle patch-large patch-extra large patch was build in the paper. Based on this system, the ratio of different scales of urban forest patch in the study area should be 2:2:2:3. The authors also suggested that larger pieces (1.5-3.0 hm2) of urban forest patch should be built, and more urban forests should be established in the northeastern part of the city in the future.",NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-1642505391&partnerID=40&md5=c2936f29af36f80f305e7edb1f3e4c7f,Jour,4,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-1642505391&partnerID=40&md5=c2936f29af36f80f305e7edb1f3e4c7f
9,drew2,MAYBE,JOUR,James_et_al_2010_UrbanEcosystems,"James, P. and Norman, D. and Clarke, J.J.",2010,Avian population dynamics and human induced change in an urban environment,Urban Ecosystems,Urban Ecosystems,13,499,"The predominantly urban boroughs of Warrington and Halton straddle the river Mersey in northwest England. Since the 1970s there has been a major change in land-use associated with both innovative town design and the decline of manufacturing and chemical industries in the boroughs. Also, co-ordinated programmes have directly addressed air and water pollution. The breeding birds of the two boroughs were surveyed in 1978-84 and 2004-06 as part of the bird atlases of Cheshire and Wirral, based on tetrads (2 × 2 km squares). We divided the breeding species into eight guilds based on broad ecological characteristics of habitat or food, omitting the generalists and colonial species, and compared the change between our two atlases in the number of occupied tetrads in Halton and Warrington and in the rest of the county. Four of our eight guilds have fared significantly better within our study area: waterbirds (24 species), those feeding on invertebrates (16 species), woodland specialists (21 species) and the two species that decorate their nests with lichens. The remaining four guilds showed no difference between Halton and Warrington and the rest of Cheshire and Wirral: raptors (5 species) have increased throughout, while breeding waders (7 species), farmland seedeaters (7 species) and aerial insectivores (5 species) have declined throughout. We interpret these results in relation to improved quality of water and air and changing patterns of land-use in the urban greenspace, especially an increase in woodland cover and connectivity. © 2010 Springer Science+Business Media, LLC.",10.1007/s11252-010-0132-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957812091&doi=10.1007%2fs11252-010-0132-9&partnerID=40&md5=2ac2e894f1c2e28031e7ffb71353c702,Urban Ecosystems,3,10.1007/s11252-010-0132-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957812091&doi=10.1007%2fs11252-010-0132-9&partnerID=40&md5=2ac2e894f1c2e28031e7ffb71353c702
14,drew2,MAYBE,JOUR,Merckx_et_al_2018_GlobalChangeBiology,"Merckx, T. and Kaiser, A. and Van Dyck, H.",2018,Increased body size along urbanization gradients at both community and intraspecific level in macro-moths,Global Change Biology,Global Change Biology,24,3837,"Urbanization involves a cocktail of human-induced rapid environmental changes and is forecasted to gain further importance. Urban-heat-island effects result in increased metabolic costs expected to drive shifts towards smaller body sizes. However, urban environments are also characterized by strong habitat fragmentation, often selecting for dispersal phenotypes. Here, we investigate to what extent, and at which spatial scale(s), urbanization drives body size shifts in macro-moths-an insect group characterized by positive size-dispersal links-at both the community and intraspecific level. Using light and bait trapping as part of a replicated, spatially nested sampling design, we show that despite the observed urban warming of their woodland habitat, macro-moth communities display considerable increases in community-weighted mean body size because of stronger filtering against small species along urbanization gradients. Urbanization drives intraspecific shifts towards increased body size too, at least for a third of species analysed. These results indicate that urbanization drives shifts towards larger, and hence, more mobile species and individuals in order to mitigate low connectivity of ecological resources in urban settings. Macro-moths are a key group within terrestrial ecosystems, and since body size is central to species interactions, such urbanization-driven phenotypic change may impact urban ecosystem functioning, especially in terms of nocturnal pollination and food web dynamics. Although we show that urbanization's size-biased filtering happens simultaneously and coherently at both the inter- and intraspecific level, we demonstrate that the impact at the community level is most pronounced at the 800 m radius scale, whereas species-specific size increases happen at local and landscape scales (50-3,200 m radius), depending on the species. Hence, measures-such as creating and improving urban green infrastructure-to mitigate the effects of urbanization on body size will have to be implemented at multiple spatial scales in order to be most effective.",10.1111/gcb.14151,https://ui.adsabs.harvard.edu/abs/2018GCBio..24.3837M/abstract; https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.14151; https://europepmc.org/article/MED/29791767; https://pubmed.ncbi.nlm.nih.gov/29791767/; https://www.ncbi.nlm.nih.gov/pubmed/29791767,Global Change Biology,3,10.1111/gcb.14151,https://ui.adsabs.harvard.edu/abs/2018GCBio..24.3837M/abstract; https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.14151; https://europepmc.org/article/MED/29791767; https://pubmed.ncbi.nlm.nih.gov/29791767/; https://www.ncbi.nlm.nih.gov/pubmed/29791767
17,drew2,MAYBE,JOUR,Escobar_et_al_2015_BiologicalConservation,"Escobar, L.E. and Awan, M.N. and Qiao, H.",2015,Anthropogenic disturbance and habitat loss for the red-listed Asiatic black bear (Ursus thibetanus): Using ecological niche modeling and nighttime light satellite imagery,Biological Conservation,Biological Conservation,191,400,"Habitat loss is a critical factor driving extinction of biodiversity worldwide, with models of future land use anticipating increases in rates of destruction of native habitats worldwide. The Asian black bear (Ursus thibetanus) is a red-listed species with a broad geographic range that has been fragmented dramatically by land use change. Remaining populations of U. thibetanus occupy diverse habitats, ranging from highlands to coastal regions. We integrated ecological niche models (ENMs) with nighttime satellite imagery to identify areas suitable for U. thibetanus after anthropogenic alteration. We found that at least 10% of the potential distributional area for the species is not suitable owing to urban or suburban encroachment. U. thibetanus seems to persist in highland areas, characterized by low temperature and high precipitation, whereas humans concentrate in lowlands and less-extreme climatic conditions. ENMs based solely on climate frequently overestimate suitable areas available for species; nighttime light imagery offers a robust alternative to refining estimates of species' ranges, designing protected areas and corridors, prioritizing threatened species, and determining areas of human-wildlife conflict across broad areas. Our approach is transferable to other taxa and contexts, and should be considered in conservation planning and policy implementation. (C) 2015 Elsevier Ltd. All rights reserved.",10.1016/j.biocon.2015.06.040,http://www.sciencedirect.com/science/article/pii/S0006320715300021; https://experts.umn.edu/en/publications/anthropogenic-disturbance-and-habitat-loss-for-the-red-listed-asi; https://www.sciencedirect.com/science/article/abs/pii/S0006320715300021,Biological Conservation,3,10.1016/j.biocon.2015.06.040,http://www.sciencedirect.com/science/article/pii/S0006320715300021; https://experts.umn.edu/en/publications/anthropogenic-disturbance-and-habitat-loss-for-the-red-listed-asi; https://www.sciencedirect.com/science/article/abs/pii/S0006320715300021
26,drew2,MAYBE,JOUR,Das_et_al_2022_RemoteSensing,"Das, Tanmoy and < and Mohd Waseem Naikoo and Talukdar, Swapan and Parvez, Ayesha and Rahman, Atiqur and Pal, Swades and Md Sarfaraz Asgher and Abu Reza Md Towfiqul Islam and Mosavi, Amir and Mosavi, Amir",2022,"Analysing Process and Probability of Built-Up Expansion Using Machine Learning and Fuzzy Logic in English Bazar, West Bengal",Remote Sensing,Remote Sensing,14,2349,"<jats:p>The study sought to investigate the process of built-up expansion and the probability of built-up expansion in the English Bazar Block of West Bengal, India, using multitemporal Landsat satellite images and an integrated machine learning algorithm and fuzzy logic model. The land use and land cover (LULC) classification were prepared using a support vector machine (SVM) classifier for 2001, 2011, and 2021. The landscape fragmentation technique using the landscape fragmentation tool (extension for ArcGIS software) and frequency approach were proposed to model the process of built-up expansion. To create the built-up expansion probability model, the dominance, diversity, and connectivity index of the built-up areas for each year were created and then integrated with fuzzy logic. The results showed that, during 2001–2021, the built-up areas increased by 21.67%, while vegetation and water bodies decreased by 9.28 and 4.63%, respectively. The accuracy of the LULC maps for 2001, 2011, and 2021 was 90.05, 93.67, and 96.24%, respectively. According to the built-up expansion model, 9.62% of the new built-up areas was created in recent decades. The built-up expansion probability model predicted that 21.46% of regions would be converted into built-up areas. This study will assist decision-makers in proposing management strategies for systematic urban growth that do not damage the environment.</jats:p>",10.3390/rs14102349,https://proxy.library.carleton.ca/login?qurl=https://www.proquest.com/docview/2670383226?accountid=9894&bdid=29285&_bd=gfSIqSyCXppGyGbyr5YBSg5I%2B4Y%3D,Remote Sensing,11,10.3390/rs14102349,https://proxy.library.carleton.ca/login?qurl=https://www.proquest.com/docview/2670383226?accountid=9894&bdid=29285&_bd=gfSIqSyCXppGyGbyr5YBSg5I%2B4Y%3D
38,drew2,MAYBE,JOUR,Wei_et_al_2022_EcologicalIndicators,"Wei, JQ and Zhang, Y and Liu, Y and Li, C and Tian, YS and Qian, J and Gao, Y and Hong, YS and Liu, YF",2022,"The impact of different road grades on ecological networks in a mega-city Wuhan City, China",Ecological Indicators,Ecological Indicators,137,108784,"The development of road networks over the years has caused serious damage to biodiversity. However, few studies have explored the impact of different road grades on ecological network connectivity, especially at multiple levels and at different dispersal distances. Here, we propose an analytical framework based on the integrated graph theory and the circuit theory method, in order to model the ecological network of virtual species, to evaluate connectivity at the landscape, patch, and corridor levels, and to identify the key patches and key corridors that contribute the most to the maintenance of connectivity. The empirical analysis in this study was performed on six scenarios, which were designed by successively integrating different road grades into the landscape. On this basis, the impact of different road grades on the connectivity, key patches, and key corridors in Wuhan, China, were explored. The results showed that: (1) High-grade roads have a significant impact on landscape-patch-corridor connectivity, while medium-grade roads have a similar degree of impact on patch-level connectivity as high-grade roads do. (2) Species with long dispersal ability (25 km) are susceptible to roads at the landscape and corridor levels; species with low and medium dispersal abilities (10, 15 and 20 km) are vulnerable to roads at the patch levels. (3) The importance of key patches and the resistance of key corridors are signifi-cantly increased by the influence of roads, while their spatial distribution changes slightly. This integrated framework contributes to an evaluation of the impacts of different grades road on ecological processes, so as to better provide targeted suggestions for biodiversity conservation and transportation planning.",10.1016/j.ecolind.2022.108784,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126568595&doi=10.1016%2fj.ecolind.2022.108784&partnerID=40&md5=20cccb3cffb4c5c3151be1930f575e4f,Ecological Indicators,9,10.1016/j.ecolind.2022.108784,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126568595&doi=10.1016%2fj.ecolind.2022.108784&partnerID=40&md5=20cccb3cffb4c5c3151be1930f575e4f
41,drew2,MAYBE,JOUR,SOULÉ_et_al_1988_ConservationBiology,"SOULÉ, M.E. and BOLGER, D.T. and ALBERTS, A.C. and WRIGHTS, J. and SORICE, M. and HILL, S.",1988,Reconstructed Dynamics of Rapid Extinctions of Chaparral‐Requiring Birds in Urban Habitat Islands,Conservation Biology,Conservation Biology,2,75,"The distribution of native, chaparral-requiring bird species was determined for 37 isolated fragments of canyon habitat ranging in size from 0.4 to 104 hectares in coasta4 urban San Diego County, California The area of chaparral habitat and canyon age (time since isolation of the habitat fragment) explains most of the variation in the number of chaparral-requiring bird species. In additiolz, the distribution of native predators may influence species num- ber. There is statistical evidence that coyotes control thepop- ulations of smallerpredators such as foxes and domestic cats. The absence of coyotes may lead to higher levels of predation by a process of mesopredator release. The distance of canyons from otherpatches of chaparral habitat does not add significantly to the explained variance in chaparral- requiring species number-probably because of the virtual inability of most chaparral-requiring species to disperse through developed areas and nonscrub habitats. These re- sults and other lines of evidence suggest that chaparral- requiring birds in isolated canyons have very high rates of extinction, in part because of their low vagility. The best predictors of vulnerability of the individual species are their abundances (densities) in undisturbed habitat and their",10.1111/j.1523-1739.1988.tb00337.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645810458&doi=10.1111%2fj.1523-1739.1988.tb00337.x&partnerID=40&md5=fab976abe4154f61fc8f8153d32b4c2e,Conservation Biology,6,10.1111/j.1523-1739.1988.tb00337.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645810458&doi=10.1111%2fj.1523-1739.1988.tb00337.x&partnerID=40&md5=fab976abe4154f61fc8f8153d32b4c2e
48,drew2,MAYBE,JOUR,Clauzel_et_al_2018_LandscapeandUrbanPlanning,"Clauzel, C and Jeliazkov, A and Mimet, A",2018,Coupling a landscape-based approach and graph theory to maximize multispecific connectivity in bird communities,Landscape and Urban Planning,Landscape and Urban Planning,179,1,"Environmental policies have highlighted the importance of preserving ecological networks to limit the fragmentation of natural habitats and biodiversity loss. A crucial issue for landscape managers is how to reconcile conservation measures that benefit all species and the maintenance of human activities. This study aimed to promote landscape multifunctionality, i.e., improving connectivity for several species without significantly modifying human activities. The objectives were to identify the most strategic natural landscape types to prioritize for preservation and to propose landscape management actions in highly anthropized areas that would benefit a majority of species. The analysis combined landscape types and bird species observation data to model landscape suitability for six species profiles defined by their affinity for wetlands, agricultural areas, urban areas and three types of forested landscapes. By graph modelling, we analysed the functional connectivity of the ecological networks of these species profiles. The results revealed that only ten landscape types out of 72 were core habitats for three species profiles simultaneously. These were primarily forested landscape types - either strict or associated with open areas (wasteland, forest clearing). Conversely, some anthropogenic landscapes dominated by built areas and sometimes shared with agriculture were completely unfavourable for all species profiles. The graph modelling analysis showed that the transformation of some landscape types could potentially improve connectivity for four species profiles presenting different ecological requirements. This coupling approach thus provided guidance to propose some landscape management actions that benefit the majority of species while preserving land uses.",10.1016/j.landurbplan.2018.07.002,https://hal.archives-ouvertes.fr/hal-01844636; https://www.sciencedirect.com/science/article/pii/S0169204618305760; https://www.cabdirect.org/cabdirect/abstract/20193382400,Landscape and Urban Planning,3,10.1016/j.landurbplan.2018.07.002,https://hal.archives-ouvertes.fr/hal-01844636; https://www.sciencedirect.com/science/article/pii/S0169204618305760; https://www.cabdirect.org/cabdirect/abstract/20193382400
50,drew2,MAYBE,JOUR,Pirnat_2016_LandscapeandUrbanPlanning,"Pirnat, J and Hladnik, D",2016,Connectivity as a tool in the prioritization and protection of sub-urban forest patches in landscape conservation planning,Landscape and Urban Planning,Landscape and Urban Planning,153,129,"Urbanisation development influences surrounding landscape processes, which are reflected by landscape structural patterns. Forest areas are often regarded as a spatial reserve for present and future urbanisation needs, while at the same time they often represent the last remnant of natural environment. In the present research we analysed (1) the change in forest cover in the area of suburban forests of Ljubljana between 1975 and 2012, (2) the connectivity and conservation buffers as one of the foundations for the assessment of biodiversity functions. Between 1975 and 2012, all the forests with important cores were subject to clearings for settlement- and agricultural purposes, but clearing usually did not extend beyond forest edges. The real fragmentation occurred during the construction of the highway beltline. In the area of Ljubljana, connectivity changes and connectivity loss in two different time periods are presented by a spatial model based on the Graph Theory which can also be used in spatial planning. Due to the high percentage of forest cover and the favourable distribution of forest patches and cores around the city of Ljubljana, no connection is currently in danger; the weakest link is stretching from the centre of Ljubljana towards the southeast. In the process of evaluating the biodiversity of urban forests, it will be necessary to add connectivity among forest cores as an important index while evaluating the favourable conditions of different habitat types. (C) 2016 Elsevier B.V. All rights reserved.",10.1016/j.landurbplan.2016.05.013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971247489&doi=10.1016%2fj.landurbplan.2016.05.013&partnerID=40&md5=8376ccbf5afe57cc62ad48202cf0b014,Landscape and Urban Planning,2,10.1016/j.landurbplan.2016.05.013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971247489&doi=10.1016%2fj.landurbplan.2016.05.013&partnerID=40&md5=8376ccbf5afe57cc62ad48202cf0b014
51,drew2,MAYBE,JOUR,Rigal_et_al_2022_Biorxiv,"Rigal, Stanislas and Devictor, Vincent and Gaüzère, Pierre and Kéfi, Sonia and Forsman, Jukka T and Kajanus, MIra H and Mönkkönen, Mikko and Dakos, Vasilis",2022,Biotic homogenisation in bird communities leads to large-scale changes in species associations,Biorxiv,Biorxiv,2022,2020.11.13.380956,"Aim The impact of global change on biodiversity is commonly assessed in terms of changes in species distributions, community richness and community composition. Whether and how much associations between species, i.e. the degree of correlation in their spatial co-occurrence, are also changing is much less documented and mostly limited to local studies of ecological networks. In this study, we quantify changes in large-scale patterns of species associations in bird communities in relation to changes in species composition.Location France.Time period 2001-2017.Major taxa studied Common breeding birds.Methods We use network approaches to build three community-aggregated indices reflecting complementary aspects of species association networks. We characterise the spatio-temporal dynamics of these indices using a large-scale and high-resolution dataset of bird co-abundances of 109 species monitored for 17 years (2001-2017) from 1,969 sites across France. We finally test whether spatial and temporal changes in species association networks are related to species homogenisation estimated as the spatio-temporal dynamics of β-diversity and the proportion of habitat generalists. The consistency of these relationships is tested across three main habitats, namely woodland, grassland and human settlements.Results We document a directional change in association-based indices in response to modifications in β-diversity and in the proportion of generalists in space and time. Weaker associations and sparser networks were related to lower β-diversity and a higher proportion of generalists, suggesting an overlooked aspect of biotic homogenisation affecting species associations. We report that this overall pattern is not constant across habitats, with opposite relationships between biotic homogenisation and change in species association networks in urban versus forest communities suggesting distinct homogenisation processes.Main Conclusions Although species association contain only partial signatures of species interactions, our study highlights that biotic homogenisation translates to finer changes in community structure by affecting the number, strength and type of species associations.Competing Interest StatementThe authors have declared no competing interest.",10.1101/2020.11.13.380956,http://biorxiv.org/content/early/2021/06/10/2020.11.13.380956.abstract,Biorxiv,8,10.1101/2020.11.13.380956,http://biorxiv.org/content/early/2021/06/10/2020.11.13.380956.abstract
