"STUDY_ID","REVIEWERS","INCLUDE","source_type","label","author","year","title","journal","source","volume","start_page","abstract","doi_upd","url_upd","jour_s","num_authors","doi_prv","url_prv"
"1","drew2","Framework","JOUR","Silva_et_al_2017_EcologicalEngineering","Silva, A.M.D. and Bortoleto, L.A. and Castelli, K.R. and Silva, R.A.E. and Mendes, P.B.","2017","Prospecting the potential of ecosystem restoration: A proposed framework and a case study","Ecological Engineering","Ecological Engineering","108","505","Abstract Projects focusing on the restoration of degraded ecosystems have to be financially appealing, spatially multi-scaled, and ecologically efficient. Considering such premises, a model was elaborated to assess the locals in relation to the kind of management to be adopted (conservation or restoration) and, for locals indicated for restoration, the kind of restoration to be adopted (assisted or passive). Furthermore, we propose a set of ecologically-based alternatives at medium- and local-scale to assist the restoration of areas considered unsuitable for passive restoration. Such techniques are: install artificial connectors among forest fragments near each other, or, for areas where forest fragments are far each other, install nucleation techniques, revitalization of concrete-lined urban rivers, and the control of erosion and invasive plant species. We tested the potential of our model through a case study carried out in Sorocaba, Sao Paulo State, Brazil. The study area is predominantly occupied by pasture lands, but urbanization also is an important land cover category. There are 661 forest fragments, being 25 of them larger than 50 ha. From the area considered “non-habitat”, i.e., modified due to human usage, 35.5% of the total study area and 45.5% of the study area classified as non-habitat is suitable for passive restoration, and the rest of the area needs is suitable only for assisted restoration techniques. We verified that the facility and low cost of installation are advantageous features of such techniques and the results obtained by mean of application of the assisted techniques indicate that the alternatives tend to accelerate the process of establishing connectivity of the landscape in locals devoid of connections.","10.1016/j.ecoleng.2017.07.024","http://www.sciencedirect.com/science/article/pii/S0925857417304408; https://repositorio.unesp.br/handle/11449/163783; https://www.sciencedirect.com/science/article/pii/S0925857417304408; https://bv.fapesp.br/pt/publicacao/141440/prospecting-the-potential-of-ecosystem-restoration-a-propos/","Ecological Engineering","5","10.1016/j.ecoleng.2017.07.024","http://www.sciencedirect.com/science/article/pii/S0925857417304408; https://repositorio.unesp.br/handle/11449/163783; https://www.sciencedirect.com/science/article/pii/S0925857417304408; https://bv.fapesp.br/pt/publicacao/141440/prospecting-the-potential-of-ecosystem-restoration-a-propos/"
"3","drew2","TopicReview","JOUR","Sankar Cheela_et_al_2021_Buildings","Sankar Cheela, V.R. and John, M. and Biswas, W. and Sarker, P.","2021","Combating Urban Heat Island Effect—A Review of Reflective Pavements and Tree Shading Strategies","Buildings","Buildings","11","93","Pavements occupy about 40% of urban land cover, with 75–80% black top roads, playing a critical role in urban connectivity and mobility. Solar energy is absorbed and stored in pavements leading to an increase in surface temperatures. Decreasing green cover is further contributing to rise in regional temperatures. Due to this activity, the city experiences urban heat island (UHI). This study presents a critical review of the literature on mitigation measures to combat UHI using reflective pavements with an emphasis on durability properties and impacts of tree canopy. The strategies with a focus on application of chip seals, white toppings, and coatings were discussed. Role of surface reflectance, including those from asphalt and concrete pavements, albedo improvements, and technological trends, application of waste materials, and industrial by-products are presented. Also, urban tree shading systems’ contribution to pavement temperature and microclimate systems is presented. The review shows that the development of mitigation measures using tree shading systems can reduce the pavement temperature during daytime and increase human thermal comfort. The outcomes of this review provide a scope for future studies to develop sustainable and state-of-the-art engineering solutions in the field of reflective coatings and urban forest systems.","10.3390/buildings11030093","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102706377&doi=10.3390%2fbuildings11030093&partnerID=40&md5=b4537d8c9fe0b51698a88e24ce74bb8f","Buildings","4","10.3390/buildings11030093","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102706377&doi=10.3390%2fbuildings11030093&partnerID=40&md5=b4537d8c9fe0b51698a88e24ce74bb8f"
"35","drew2","TopicReview","CHAP","Sartogo_2012_BioclimaticHousingInnovativeDesignsfo","Sartogo, F.","2012","The mediterranean: A cool temperate climate","Bioclimatic Housing Innovative Designs for Warm Climates","Bioclimatic Housing Innovative Designs for Warm Climates","9781849770569","117","At the urban level, different site characteristics (natural river and agricultural park; ex-industrial renewal; existing workmen's village and ancient 13th-century Borgo Minore; new railway connections; and new residential development) were coordinated within a unique, organic, energy-ecological holistic urban planning design. The urban comfort, microclimate, and site qualities are responsive to the urban design. Improving ventilation within the public open space has been carried out according to the direction of the prevailing wind during the various seasons (wind corridors); protection from winter wind (through rows of trees) and promotion of summer wind penetration have also been achieved, with a consequent reduction in building energy demand. At the building level, microclimates have been created that are responsive to urban texture and building typologies. Optimization of the architectural form and functions of exterior and interior open and closed building spaces has occurred through Fluent simulations (fluid dynamic software simulations). The building typology interventions utilize a cooling system for ventilation through a stack effect, integrated with the convective loop system and combined with the use of a chimney to achieve a cooling and ventilation system that is able to produce, in summertime, a good microclimate and adequate indoor conditions. The installation of obstruction/reflection elements outside the passive systems of the windows permits sun radiation to be screened during the hot period and reflects the direct solar radiation on the ceiling in winter time, thus using the ceiling as a thermal storage element and reflecting the remaining solar radiation in order to obtain uniform natural lighting system without glare. © Richard Hyde, 2008. All rights reserved.","10.4324/9781849770569","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925708348&doi=10.4324%2f9781849770569&partnerID=40&md5=24f8f1fa3859c2dce1c84648dbeea6ac","Bioclimatic Housing Innovative Designs for Warm Climates","1","10.4324/9781849770569","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925708348&doi=10.4324%2f9781849770569&partnerID=40&md5=24f8f1fa3859c2dce1c84648dbeea6ac"
"42","drew2","TopicReview","JOUR","Morgott_2015_Chemico-BiologicalInteractions","Morgott, D.A.","2015","Anthropogenic and biogenic sources of Ethylene and the potential for human exposure: A literature review","Chemico-Biological Interactions","Chemico-Biological Interactions","241","10","This review examines available published information on ethylene emission sources, emission magnitudes, and inhalation exposures in order to assess those factors and circumstances that can affect human contact with this omnipresent gas. The results reveal that airborne ethylene concentrations at the ppb levels are commonplace and can arise in the vicinity of traffic corridors, forest fires, indoor kitchens, horticultural areas, oil fields, house fires, and petrochemical sites. The primary biogenic sources of ethylene derive from microbial activity in most soil and marine environments as well as its biological formation in wide variety of plant species. Sizable amounts of ethylene can also result from the burning of fossil fuels, forest and savanna fires, and crop residue combustion. Motor vehicle exhaust is the largest contributor to urban ethylene levels under most circumstances, but industrial flare releases and fugitive emissions may also be of relevance. Occupational exposures generally range up to about 50-100 ppm and have been documented for those working in the horticultural, petrochemical, and fire and rescue industries. Continuous personal monitoring at the community level has documented exposures of 3-4 ppb. These levels are more closely associated with the ethylene concentrations found indoors rather than outdoors indicating the importance of exposure sources found within the home. Indoor air sources of ethylene are associated with environmental tobacco smoke, wood or propane fuel use, fruit and vegetable storage, and cooking. Ethylene is not found in any consumer or commercial products and does not off-gas from building products to any appreciable extent. The review indicates that outdoor sources located some distance from the home do not make an appreciable contribution to personal exposures given the strength and variety of sources found in the immediate living environment. (C) 2015 Elsevier Ireland Ltd. All rights reserved.","10.1016/j.cbi.2015.08.012","https://www.ncbi.nlm.nih.gov/pubmed/26296759; https://www.sciencedirect.com/science/article/abs/pii/S0009279715002835; https://pubmed.ncbi.nlm.nih.gov/26296759/","Chemico-Biological Interactions","1","10.1016/j.cbi.2015.08.012","https://www.ncbi.nlm.nih.gov/pubmed/26296759; https://www.sciencedirect.com/science/article/abs/pii/S0009279715002835; https://pubmed.ncbi.nlm.nih.gov/26296759/"
"75","drew2","Framework","JOUR","Davies_et_al_2011_Jour","Davies, PJ and Ives, CD and Findlay, SJ and Taylor, MP","2011","Urban rivers and riparian systems - directions and recommendations for legislators, policy makers, developers and community users","JOUR",NA,"28",NA,"This article examines the evolution of the current legal and planning system influencing urban rivers in New South Wales. A future direction for legislators and policy makers is presented as a means to improve the condition of urban waterways. Ensuring water management professionals appropriately value river systems is a key element. Waterways occupy a tenuous position in the urban landscape despite their ecological significance, often providing the last refuges for biodiversity. Smaller waterways are often piped to improve stormwater drainage, while larger systems are chemically, physically and biologically degraded as a result of development within the catchment. Legal, planning and policy arrangements have historically provided limited protection for urban waterways and riparian environments. This is due to four main factors: rivers are traditionally valued for their utility as conduits for stormwater to manage flooding; the biodiversity value of riparian areas is not widely understood and acknowledged; the cumulative impacts of development on river health are not recognised; and an inadequate legal definition for river in legislation and at common law. The fate of many urban riparian environments is often determined due to death by a thousand pipes.",NA,NA,"Jour","4",NA,NA
"84","drew2","TopicReview","CPAPER","Zalkauskas_et_al_2017_8thInternationalScientificCo","Zalkauskas, R and Bartkevicius, E and Linkevicius, E and Backaitis, J and Godvod, K","2017","DO WE NEED PROTECTIVE PLANTATIONS ALONG RAILWAYS (LITHUANIAN CASE STUDY)?","8th International Scientific Conference Rural Development 2017: Bioeconomy Challenges","8th International Scientific Conference Rural Development 2017: Bioeconomy Challenges",NA,"844","Differently to other European countries Lithuania has inherited from Soviet time period quite width protection zones of state importance with wooden plantations along railways. Those protection zones vary from 20 m (in cities) up to 45-70 m (in rural areas) in one side. The planted or spontaneous wooden plantations within those zones occupy over 2 thous. ha. The status of protective plantations serve for multifunctional purposes by ensuring railway traffic safety, mitigating negative impact of railway traffic, exhibiting Lithuanian landscape for travellers, improving landscape connectivity, living and working environment quality. At the same time there is a challenge for proper management of those plantations and profitability. In the middle of XX century planted pioneer species reach or is going to reach mature age. There is the threat of increasing number of dangerous trees, challenge for ensuring continuous cover of protective plantations, their services and structure match for predominating function. This study presents the challenges for future development and society preferences to services of protective lineside plantations along railways. The results of analysis of present condition of railway lineside vegetation, as well the results of social survey showed, what it is not enough just to manage the dangerous trees for railway safeness but it is essential complex means for protective plantations development, services succession.","10.15544/RD.2017.181",NA,"8th International Scientific Conference Rural Development 2017: Bioeconomy Challenges","5","10.15544/RD.2017.181",NA
"94","drew2","Framework","JOUR","Kilbane_et_al_2019_LandscapeandUrbanPlanning","Kilbane, S and Weller, R and Hobbs, R","2019","Beyond ecological modelling: ground-truthing connectivity conservation networks through a design charrette in Western Australia","Landscape and Urban Planning","Landscape and Urban Planning","191","103122","Globally, connectivity conservation projects exist across all inhabited continents. Typically created through Geographical Information Systems and modelling processes at regional and even continental scales, these projects are seldom evaluated or 'ground-truthed' for their potential application at the local level where land use is fully allocated and replete with human occupation. This article reviews the accuracy of one such continental-scale connectivity conservation network, the National Green Network, through assessment and redesign by a design charrette at the local scale in York, Western Australia. Breaking with traditional process, this research considered the National Green Network model not as a final plan, but as point of departure for an iterative adjustment and redesign process through the charrette and an additional detailed design stage. Commonplace in architecture and urban planning disciplines, the application of charrettes to connectivity conservation design offers the benefits of improving design accuracy and enhancing their potential for implementation through providing valuable feedback and iterative design adjustment. The fine-tuning conducted by this research enabled the design to factor in human land-uses and influences across complex landscapes, while considering in a critical manner cultural factors that could also influence the system's design and its success. The framing of the network as green infrastructure rather than as connectivity conservation in addition to further illustration by the landscape architect provided a spectrum of both ecological and cultural outcomes across the case study landscape, demonstrating potential impacts and opportunities offered through a series of spatially accurate and ground-truthed plans.","10.1016/j.landurbplan.2017.05.001","https://research-repository.uwa.edu.au/en/publications/beyond-ecological-modelling-ground-truthing-connectivity-conserva; https://opus.lib.uts.edu.au/bitstream/10453/99728/1/pagination_LAND_3122.pdf; https://opus.lib.uts.edu.au/handle/10453/99728; http://dro.deakin.edu.au/view/DU:30135346; https://www.sciencedirect.com/science/article/pii/S016920461730097X; http://www.sciencedirect.com/science/article/pii/S016920461730097X; http://hdl.handle.net/10536/DRO/DU:30135346","Landscape and Urban Planning","3","10.1016/j.landurbplan.2017.05.001","https://research-repository.uwa.edu.au/en/publications/beyond-ecological-modelling-ground-truthing-connectivity-conserva; https://opus.lib.uts.edu.au/bitstream/10453/99728/1/pagination_LAND_3122.pdf; https://opus.lib.uts.edu.au/handle/10453/99728; http://dro.deakin.edu.au/view/DU:30135346; https://www.sciencedirect.com/science/article/pii/S016920461730097X; http://www.sciencedirect.com/science/article/pii/S016920461730097X; http://hdl.handle.net/10536/DRO/DU:30135346"
"95","drew2","TopicReview","JOUR","New_2018_AustralEntomology","New, TR","2018","Promoting and developing insect conservation in Australia's urban environments","Austral Entomology","Austral Entomology","57","182","Accelerating pressures to accommodate rapidly increasing human populations in Australia pose major problems for insect conservation in urban and periurban regions from loss of natural habitats, alien species impacts and a variety of other causes. Several urban insects have become notable flagships for promoting wider conservation interests, leading to wider appreciation of environmental benefits of 'open spaces', urban forests, connectivity, 'green architecture' and other landscape features as relevant planning considerations in urban development. Their conservation, under a range of ecological contexts and threats, occurs in conjunction with energetic advocacy and educational programs that can emphasise the roles and diversity of Australia's unique insect fauna. Approaches to conserving native insects amidst urban intensification are discussed from selected case studies and citizen science projects that illustrate principles and complexities of single-species conservation, the values of indicator and diversity surrogate taxa and the implications of alien species on native insect diversity and its losses in urban environments. Important lessons and implications include the following: (1) recognition that taxonomic and ecological diversity of insects can be high in urban areas; (2) acknowledgment that insect diversity in urban environments is vulnerable to changes and a variety of threatening processes; (3) mitigation responses that involve reducing threats, preserving open spaces with natural vegetation, creating new open areas and promoting connectivity; (4) establishment of partnerships that enhance conservation values and prospects through individual people, local authorities and government agencies; and (5) increasing awareness of insects as integral components of ecological sustainability contributing to the wider values of urban environments.","10.1111/aen.12332","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044478714&doi=10.1111%2faen.12332&partnerID=40&md5=bd702cfc211ac2433a7cda440fff11a5","Austral Entomology","1","10.1111/aen.12332","https://onlinelibrary.wiley.com/doi/10.1111/aen.12332; https://besjournals.onlinelibrary.wiley.com/doi/10.1111/aen.12332; https://esajournals.onlinelibrary.wiley.com/doi/10.1111/aen.12332"
"114","drew2","TopicReview","JOUR","von Haaren_2006_LandscapeandUrbanPlanning","von Haaren, C and Reich, M","2006","The German way to greenways and habitat networks","Landscape and Urban Planning","Landscape and Urban Planning","76","7","A prospective strategy is necessary to mitigate the negative impacts of habitat fragmentation in Germany. The traditional concept of protecting isolated remnants of endangered habitats as nature reserves could not stop the continuing decline of endangered species and the regional losses in biodiversity sufficiently. During the last century, different approaches to protect open space, species, and habitats have been developed. Based on a literature review, an analysis of the legal framework and a representative case study, this paper tries to characterise the development of greenways and habitat networks in Germany and to discuss the general possibilities and limitations in an European context. In Germany, greenways were first established to prevent urban sprawl, to separate settlements, to provide recreational opportunities and to improve air quality in industrialised urban areas. The increased relevance of nature conservation has led to the development of new types of habitat networks in addition to the greenway concept since 1980. Species-oriented habitat networks focus on the specific requirements of target species, while multifunctional habitat networks try to address many landscape functions when reconnecting the remnant habitats. The Kronsberg Project is an example of a local, multifunctional habitat network. It illustrates some of the implementation difficulties resulting from conflicting interests of the various user groups. In addition, the need became obvious to plan multifunctional networks which allow for spatial separation of conflicting site related objectives. The legal framework for habitat networks in Germany is, in principle, a sound legislation which requires that habitat networks cover a minimum of 10% of the total land area of the German states. The conceptualisation of the networks must not be restricted to the boundaries of the individual German states because the networks should have an interstate character and also contribute to the European network of Natura 2000. However, this national and European network cannot be presently implemented by the German national authorities. Instead, the framework legislation must be passed as nature conservation laws at the state level, while concrete implementation takes place at the regional and local levels. There the implementation is hampered primarily by property ownership considerations or conflicting interests of landowners. This situation hinders the implementation of national and European objectives for habitat networks. In order to create a forward looking network strategy for Germany, more authority should be transferred to the national level. In addition, a stronger link between the scientific and conceptual basis of habitat networks is needed. Prioritising landscape functions and the selection of target species require better coordination. Economic incentives could be used to reduce the conflicts with landowners. Hopefully, a change in the EU-agricultural policy will facilitate this development. (c) 2004, Elsevier B.V. All rights reserved.","10.1016/j.landurbplan.2004.09.041","NA; html","Landscape and Urban Planning","2","10.1016/j.landurbplan.2004.09.041","NA; html"
"117","drew2","Methodology","JOUR","Fumagalli_2012_InternationalJournalofEnvironmental","Fumagalli, N and Toccolini, A","2012","Relationship Between Greenways and Ecological Network: A Case Study in Italy","International Journal of Environmental Research","International Journal of Environmental Research","6","903","Linear green infrastructures along rivers and canals serve different functions: Green corridors, or ecological network, maintain biological diversity, improve water quality, and provide areas for fauna and flora to grow and thrive. Greenways connect people with landscape resources and serve as recreational areas that are easy to use and accessible to the greatest number of potential human users. Both ecological networks and greenways are linear structures crossing the landscape, both perform a connecting function in that they are elements created for migration and movement (in one case of flora and fauna and in the other of humans), and both generally contain vegetation. Greenways can be divided into three major categories: ecological greenways, recreational greenways, and greenways with historical/cultural value. When an ecological greenway is planned and designed, human-wildlife conflicts must be minimised.",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868339600&partnerID=40&md5=2d3128c5909628fc1da8aae602fb3062","International Journal of Environmental Research","2",NA,NA
