"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"I7G7FN3C","journalArticle","2018","Clauzel, Céline; Jeliazkov, Alienor; Mimet, Anne","Coupling a landscape-based approach and graph theory to maximize multispecific connectivity in bird communities","Landscape and Urban Planning","","01692046","10.1016/j.landurbplan.2018.07.002","https://linkinghub.elsevier.com/retrieve/pii/S0169204618305760","Environmental policies have highlighted the importance of preserving ecological networks to limit the fragmentation of natural habitats and biodiversity loss. A crucial issue for landscape managers is how to reconcile conservation measures that beneﬁt all species and the maintenance of human activities. This study aimed to promote landscape multifunctionality, i.e., improving connectivity for several species without signiﬁcantly modifying human activities. The objectives were to identify the most strategic natural landscape types to prioritize for preservation and to propose landscape management actions in highly anthropized areas that would beneﬁt a majority of species. The analysis combined landscape types and bird species observation data to model landscape suitability for six species proﬁles deﬁned by their aﬃnity for wetlands, agricultural areas, urban areas and three types of forested landscapes. By graph modelling, we analysed the functional connectivity of the ecological networks of these species proﬁles. The results revealed that only ten landscape types out of 72 were core habitats for three species proﬁles simultaneously. These were primarily forested landscape types — either strict or associated with open areas (wasteland, forest clearing). Conversely, some anthropogenic landscapes dominated by built areas and sometimes shared with agriculture were completely unfavourable for all species proﬁles. The graph modelling analysis showed that the transformation of some landscape types could potentially improve connectivity for four species proﬁles presenting diﬀerent ecological requirements. This coupling approach thus provided guidance to propose some landscape management actions that beneﬁt the majority of species while preserving land uses.","2018-11","2022-06-07 22:31:21","2023-05-11 22:12:22","2023-05-02 20:12:19","1-16","","","179","","Landscape and Urban Planning","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Clauzel_etal_2018_Landscape and Urban Planning.pdf","","REVIEW; MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2YVABDRS","journalArticle","2017","Xun, Bin; Yu, Deyong; Wang, Xue","Prioritizing habitat conservation outside protected areas in rapidly urbanizing landscapes: A patch network approach","Landscape and Urban Planning","","01692046","10.1016/j.landurbplan.2016.09.013","https://linkinghub.elsevier.com/retrieve/pii/S016920461630202X","","2017-01","2023-05-02 20:12:19","2023-05-08 15:17:35","2023-05-02 20:12:19","532-541","","","157","","Landscape and Urban Planning","Prioritizing habitat conservation outside protected areas in rapidly urbanizing landscapes","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Xun_etal_2017_Landscape and Urban Planning.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T6GVTF6B","journalArticle","2021","Konopiński, Maciej K; Baś, Grzegorz; Bojarska, Katarzyna","Can attitude toward humans cause isolation? Marked genetic distinction of urban wild boar population","Hystrix the Italian Journal of Mammalogy","","18255272","10.4404/hystrix-00459-2021","https://doi.org/10.4404/hystrix-00459-2021","","2021-12","2023-05-02 20:12:20","2023-05-08 15:17:35","2023-05-02 20:12:19","0","","2","32","","Hystrix","Can attitude toward humans cause isolation?","","","","","","","eng","","","","","DOI.org (CSL JSON)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Konopinski_etal_2021_Hystrix.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UTQCG26J","journalArticle","1988","Soule, Michael E.; Bolger, Douglas T.; Alberts, Allison C.; Wrights, John; Sorice, Marina; Hill, Scott","Reconstructed Dynamics of Rapid Extinctions of Chaparral-Requiring Birds in Urban Habitat Islands","Conservation Biology","","0888-8892, 1523-1739","10.1111/j.1523-1739.1988.tb00337.x","https://onlinelibrary.wiley.com/doi/10.1111/j.1523-1739.1988.tb00337.x","","1988-03","2023-05-02 20:12:20","2023-05-08 15:17:35","2023-05-02 20:12:19","75-92","","1","2","","Conservation Biology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Soule_etal_1988_Conservation Biology.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AXJN6IYQ","journalArticle","2021","Su, Xueping; Zhou, Yong; Li, Qing","Designing Ecological Security Patterns Based on the Framework of Ecological Quality and Ecological Sensitivity: A Case Study of Jianghan Plain, China","International Journal of Environmental Research and Public Health","","1660-4601","10.3390/ijerph18168383","https://www.mdpi.com/1660-4601/18/16/8383","Researchers and managers of natural resource conservation have increasingly emphasized the importance of maintaining a connected network of important ecological patches to mitigate landscape fragmentation, reduce the decline of biodiversity, and sustain ecological services. This research aimed to guide landscape management and decision-making by developing an evaluation framework to construct ecological security patterns. Taking the Jianghan Plain as the study area, we identified key ecological sources by overlaying the spatial patterns of ecological quality (biodiversity, carbon storage, and water yield) and ecological sensitivity (habitat sensitivity, soil erosion sensitivity, and water sensitivity) using the Integrated Valuation of Environmental Services and Tradeoffs (InVEST) model and the Chinese Soil Loss Equation Function. Ecological corridors were obtained by the least-cost path analysis method and circuit theory. A total of 48 ecological sources (3812.95 km2), primarily consisting of water area, forestland, and cropland, were identified. Ninety-one ecological corridors were derived, with a total length of 2036.28 km. Forty barriers and 40 pinch points with the highest improvement coefficient scores or priority scores were selected. There were 11 priority corridors with very high levels of connectivity improvement potential and conservation priority, occupying 16.15% of the total length of corridors. The overall potential for ecological connectivity is high on the Jianghan Plain. Our framework offers a valuable reference for constructing ecological security patterns and identifying sites for ecological restoration at the regional scale.","2021-08-08","2023-05-02 20:12:20","2023-05-08 15:17:35","2023-05-02 20:12:19","8383","","16","18","","IJERPH","Designing Ecological Security Patterns Based on the Framework of Ecological Quality and Ecological Sensitivity","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Su_etal_2021_IJERPH.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H5TIUDFN","journalArticle","2018","Merckx, Thomas; Kaiser, Aurélien; Van Dyck, Hans","Increased body size along urbanization gradients at both community and intraspecific level in macro-moths","Global Change Biology","","13541013","10.1111/gcb.14151","https://onlinelibrary.wiley.com/doi/10.1111/gcb.14151","","2018-08","2023-05-02 20:12:21","2023-05-10 17:19:46","2023-05-02 20:12:19","3837-3848","","8","24","","Glob Change Biol","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Merckx_etal_2018_Glob Change Biol.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XXKWJAXY","journalArticle","2022","Ma, Jun; Yu, Qiang; Wang, Huiyuan; Yang, Linzhe; Wang, Ruirui; Fang, Minzhe","Construction and Optimization of Wetland Landscape Ecological Network in Dongying City, China","Land","","2073-445X","10.3390/land11081226","https://www.mdpi.com/2073-445X/11/8/1226","Rapid urbanization has led to deteriorated wetland water quality, reduced biodiversity, and fragmented wetland landscapes, which seriously threaten the sustainable development of regional ecology. Based on land use data of Dongying City, Shandong Province, in 2020, this study selected the landscape disturbance degree and landscape fragility index to construct a landscape ecological risk evaluation model and to analyze the spatial distribution characteristics of landscape ecological risk in Dongying City in 2020. The MSPA-Conefor-MCR model was used to extract the ecological network of wetlands in Dongying City, and the topological structure indices were quantitatively analyzed. Combined with the actual situation within the study area, the source sites to be optimized were identified by risk zoning and source importance; the ecological resistance surface was modified using landscape ecological risk, and the ecological network was optimized by simulating edge increase in order to evaluate the robustness of the ecological network before and after optimization and to verify the edge increase effect. The results show that the ecological risk in Dongying is high, mainly distributed in the central region and extending to the northeast, southeast, southwest, and northwest. A total of 131 ecological source sites (6 core and 125 resting-stone source sites) and 180 ecological corridors were extracted, and the whole ecological network was found to be less stable and to have stronger network heterogeneity using a topological analysis. By simulating 11 additional edges, the robustness of the optimized ecological network was significantly improved. Optimizing the simulated-edge increase can enhance the smoothness of ecological energy flow, which can provide a scientific basis for the construction of the ecological security pattern of wetlands in Dongying City.","2022-08-03","2023-05-02 20:12:21","2023-05-08 15:17:36","2023-05-02 20:12:19","1226","","8","11","","Land","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Ma_etal_2022_Land.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9J59S35K","journalArticle","2019","Kang, Wanmo; Song, Youngkeun; Lee, Dongkun; Kim, GoWoon; Chae, Heemyung","Identifying habitats and corridors of an invasive plant, Ageratina altissima, in an urban forest","Landscape and Ecological Engineering","","1860-1871, 1860-188X","10.1007/s11355-019-00381-y","http://link.springer.com/10.1007/s11355-019-00381-y","","2019-07","2023-05-02 20:12:21","2023-05-08 15:17:36","2023-05-02 20:12:19","277-287","","3","15","","Landscape Ecol Eng","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Kang_etal_2019_Landscape Ecol Eng.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9S89KAUX","journalArticle","2019","Heintzman, Lucas J.; McIntyre, Nancy E.","Quantifying the effects of projected urban growth on connectivity among wetlands in the Great Plains (USA)","Landscape and Urban Planning","","01692046","10.1016/j.landurbplan.2019.02.007","https://linkinghub.elsevier.com/retrieve/pii/S0169204619302038","","2019-06","2023-05-02 20:12:21","2023-05-08 15:17:37","2023-05-02 20:12:20","1-12","","","186","","Landscape and Urban Planning","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Heintzman_McIntyre_2019_Landscape and Urban Planning.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73HQ7NSY","journalArticle","2018","Tee, Sze Ling; Samantha, Liza D.; Kamarudin, Norizah; Akbar, Zubaid; Lechner, Alex M.; Ashton-Butt, Adham; Azhar, Badrul","Urban forest fragmentation impoverishes native mammalian biodiversity in the tropics","Ecology and Evolution","","20457758","10.1002/ece3.4632","https://onlinelibrary.wiley.com/doi/10.1002/ece3.4632","","2018-12","2023-05-02 20:12:22","2023-05-08 15:17:37","2023-05-02 20:12:20","12506-12521","","24","8","","Ecol Evol","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Tee_etal_2018_Ecol Evol.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X9NFCRDC","journalArticle","2016","De Montis, Andrea; Caschili, Simone; Mulas, Maurizio; Modica, Giuseppe; Ganciu, Amedeo; Bardi, Antonietta; Ledda, Antonio; Dessena, Leonarda; Laudari, Luigi; Fichera, Carmelo Riccardo","Urban–rural ecological networks for landscape planning","Land Use Policy","","02648377","10.1016/j.landusepol.2015.10.004","https://linkinghub.elsevier.com/retrieve/pii/S0264837715003014","","2016-01","2023-05-02 20:12:22","2023-05-08 15:17:37","2023-05-02 20:12:20","312-327","","","50","","Land Use Policy","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\De Montis_etal_2016_Land Use Policy.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4THPV3B3","journalArticle","2023","Mendonça-Santos, Renata Grasiele; Antoniazzi, Reuber; Camarota, Flávio; Dos Reis, Yana Teixeira; Viana-Junior, Arleu Barbosa","Scattered trees as crucial elements in maintaining urban diversity: A case study with canopy ants in a biodiversity hotspot","Acta Oecologica","","1146609X","10.1016/j.actao.2023.103894","https://linkinghub.elsevier.com/retrieve/pii/S1146609X23000061","","2023-05","2023-05-02 20:12:22","2023-05-08 15:17:37","2023-05-02 20:12:20","103894","","","118","","Acta Oecologica","Scattered trees as crucial elements in maintaining urban diversity","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Mendonca-Santos_etal_2023_Acta Oecologica.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CZUJBDRA","journalArticle","2011","Yu, Deyong; Jiang, Yuan; Kang, Muyi; Tian, Yuhong; Duan, Jin","Integrated Urban Land-Use Planning Based on Improving Ecosystem Service: Panyu Case, in a Typical Developed Area of China","Journal of Urban Planning and Development","","0733-9488, 1943-5444","10.1061/(ASCE)UP.1943-5444.0000074","https://ascelibrary.org/doi/10.1061/%28ASCE%29UP.1943-5444.0000074","","2011-12","2023-05-02 20:12:23","2023-05-10 17:19:46","2023-05-02 20:12:20","448-458","","4","137","","J. Urban Plann. Dev.","Integrated Urban Land-Use Planning Based on Improving Ecosystem Service","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Yu_etal_2011_J. Urban Plann. Dev..pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
