Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
TV54LMSB,journalArticle,2016,"Beninde, Joscha; Feldmeier, Stephan; Werner, Maike; Peroverde, Daniel; Schulte, Ulrich; Hochkirch, Axel; Veith, Michael",Cityscape genetics: structural vs. functional connectivity of an urban lizard population,Molecular Ecology,,9621083,10.1111/mec.13810,https://onlinelibrary.wiley.com/doi/10.1111/mec.13810,"Functional connectivity is essential for the long-term persistence of populations. However, many studies assess connectivity with a focus on structural connectivity only. Cityscapes, namely urban landscapes, are particularly dynamic and include numerous potential anthropogenic barriers to animal movements, such as roads, trafﬁc or buildings. To assess and compare structural connectivity of habitats and functional connectivity of gene ﬂow of an urban lizard, we here combined species distribution models (SDMs) with an individual-based landscape genetic optimization procedure. The most important environmental factors of the SDMs are structural diversity and substrate type, with high and medium levels of structural diversity as well as open and rocky/ gravel substrates contributing most to structural connectivity. By contrast, water cover was the best model of all environmental factors following landscape genetic optimization. The river is thus a major barrier to gene ﬂow, while of the typical anthropogenic factors only buildings showed an effect. Nonetheless, using SDMs as a basis for landscape genetic optimization provided the highest ranked model for functional connectivity. Optimizing SDMs in this way can provide a sound basis for models of gene ﬂow of the cityscape, and elsewhere, while presence-only and presence–absence modelling approaches showed differences in performance. Additionally, interpretation of results based on SDM factor importance can be misleading, dictating more thorough analyses following optimization of SDMs. Such approaches can be adopted for management strategies, for example aiming to connect native common wall lizard populations or disconnect them from non-native introduced populations, which are currently spreading in many cities in Central Europe.",2016-10,13-06-2022 19:45,15-05-2023 19:01,13-06-2022 19:45,4984-5000,,20,25,,Mol. Ecol.,Cityscape genetics,,,,,,,en-US,,,,,DOI.org (Crossref),,40 citations (Crossref) [2022-09-28] QID: Q36108454,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Beninde_etal_2016_Mol Ecol.pdf,,YES,BENCHMARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAYNMH4S,journalArticle,2017,"Grafius, Darren R.; Corstanje, Ron; Siriwardena, Gavin M.; Plummer, Kate E.; Harris, Jim A.",A bird’s eye view: using circuit theory to study urban landscape connectivity for birds,Landscape Ecology,,"0921-2973, 1572-9761",10.1007/s10980-017-0548-1,http://link.springer.com/10.1007/s10980-017-0548-1,"Context Connectivity is fundamental to understanding how landscape form inﬂuences ecological function. However, uncertainties persist due to the difﬁculty and expense of gathering empirical data to drive or to validate connectivity models, especially in urban areas, where relationships are multifaceted and the habitat matrix cannot be considered to be binary.",2017-09,17-01-2023 00:10,15-05-2023 19:00,17-01-2023 00:10,1771-1787,,9,32,,Landscape Ecol.,A bird’s eye view,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Grafius_etal_2017_Landscape Ecol..pdf,,YES,BENCHMARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKY6JY4I,journalArticle,2022,"Louis-lucas, Tanguy; Clauzel, Céline; Mayrand, Flavie; Clergeau, Philippe; Machon, Nathalie","Role of green roofs in urban connectivity, an exploratory approach using landscape graphs in the city of Paris, France",Urban Forestry & Urban Greening,,16188667,10.1016/j.ufug.2022.127765,https://linkinghub.elsevier.com/retrieve/pii/S1618866722003089,,2022-12,02-05-2023 20:04,10-05-2023 16:37,02-05-2023 20:04,127765,,,78,,Urban For. Urban Gree.,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Louis-lucas_etal_2022_Urban For. Urban Gree..pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTWRCXCH,book,2022,"Wang, Guifang; Cushman, Samuel A.; Wan, Ho Yi","Comparison of Least-cost Path and UNICOR Cumulative Resistant Kernel Analyses in Mapping Ecological Connectivity Networks in Luohe Region, China",,,,,https://doi.org/10.14627/537724018,,09-06-2022,02-05-2023 20:04,11-05-2023 19:49,02-05-2023 20:04,,,,,,,,,,,,Wichmann Verlag,DE,eng,,,,,DOI.org (CSL JSON),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Wang_etal_2022_.pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V9QUXLD8,journalArticle,2017,"Albert, Cécile H.; Rayfield, Bronwyn; Dumitru, Maria; Gonzalez, Andrew",Applying network theory to prioritize multispecies habitat networks that are robust to climate and land-use change: Prioritizing a network for biodiversity,Conservation Biology,,8888892,10.1111/cobi.12943,https://onlinelibrary.wiley.com/doi/10.1111/cobi.12943,,2017-12,02-05-2023 20:04,10-05-2023 16:32,02-05-2023 20:04,1383-1396,,6,31,,Conserv. Biol.,Applying network theory to prioritize multispecies habitat networks that are robust to climate and land-use change,,,,,,,en-US,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Albert_etal_2017_Conserv. Biol..pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JHQ53QSA,journalArticle,2022,"Pla-Narbona, Clàudia; Stefanescu, Constantí; Pino, Joan; Cabrero-Sañudo, Francisco J.; García-Barros, Enrique; Munguira, Miguel L.; Melero, Yolanda",Butterfly biodiversity in the city is driven by the interaction of the urban landscape and species traits: a call for contextualised management,Landscape Ecology,,"0921-2973, 1572-9761",10.1007/s10980-021-01347-y,https://link.springer.com/10.1007/s10980-021-01347-y,"Abstract                            Context               Urbanisation is an environmental filter for many species that leads to community homogenisation, with a few species inhabiting isolated patches (e.g. public and private gardens and parks) embedded within the urban landscape. Promoting biodiversity in urban areas requires understanding which species traits allow species to survive the urban landscape.                                         Objectives               The objective of this study was to assess how species traits and landscape factors combine to allow species functional groups to live in the city.                                         Methods               We used butterfly count data collected by volunteers in 24 gardens of Barcelona city, during 2018 and 2019. Species were clustered in functional groups according to their traits. We applied a multinomial choice model to test for the effect of the landscape on the different functional groups.                                         Results               Three functional groups became prevalent in the city while a fourth, containing most sedentary specialist species, was filtered out. Although the observed groups had similar species richness, abundances varied depending on urban landscape characteristics. Specialist sedentary specialists and medium mobile species were all favoured by patch connectivity; while the presence of mobile generalist species was only enhanced by habitat quality. Our results indicate that butterfly communities are more diverse in highly connected gardens.                                         Conclusions               Our study highlights the need of contextualised management with actions accounting for the species functional groups, rather than a management focused on general species richness. It demonstrates that urban landscape planning must focus on improving connectivity inside the city in order to diversify the community composition.",01-01-2022,11-09-2022 18:43,11-05-2023 22:13,02-05-2023 20:04,81-92,,1,37,,Landscape Ecol.,Butterfly biodiversity in the city is driven by the interaction of the urban landscape and species traits,,,,,,,en,,,,,DOI.org (Crossref),,QID: Q113189167,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Pla-Narbona_etal_2022_Landscape Ecol..pdf,,YES,Species traits; Citizen science; Butterfly metapopulations; Urban biodiversity; Urban landscape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4C4R8U8K,journalArticle,2022,"Lu, Yanchi; Liu, Yaolin; Huang, Dan; Liu, Yanfang","Evolution Analysis of Ecological Networks Based on Spatial Distribution Data of Land Use Types Monitored by Remote Sensing in Wuhan Urban Agglomeration, China, from 2000 to 2020",Remote Sensing,,2072-4292,10.3390/rs14112618,https://www.mdpi.com/2072-4292/14/11/2618,"Construction and protection of ecological networks (ENs) is considered to be an effective means to curb habitat fragmentation and strengthen landscape connectivity. In this study, a complete evaluation framework of ENs based on “quality–function–structure” was proposed to support the formulation of protection strategies for ENs. First, we built the ENs of Wuhan urban agglomeration (WUA) from 2000 to 2020 based on the advantages of circuit theory and remote sensing data of land use monitoring. The results showed that land development activities are an important driving force for the temporal and spatial evolution of global ENs. Forest fragmentation, transitional urban expansion, and agricultural reclamation were important inducements for the shrinkage of ecological sources. They may also increase the resistance of species migration, which will lead to qualitative change and even fracture of ecological corridors. Second, circuit theory, centrality index, and complex network theory were applied to evaluate the quality defects, functional connectivity, and topology characteristics of ENs in WUA, respectively, from 2000 to 2020. The results showed that the antagonism between ecological corridors and land development activities led to ecological quality defects (ecological barriers and pinchpoints). Different land development models had differential effects on centrality indexes. Moreover, the main trunk in the northern Dabie Mountains and the southern Mufu mountains was developed, while the secondary trunks were abundant in the middle of WUA. Finally, we proposed protection strategies for ENs based on the coupling of the “quality–function–structure” of WUA in 2020. It is suggested that all ecological sources must be included in nature reserves to prevent natural or manmade erosion. The key areas to be repaired were determined through the quality evaluation of ecological corridors. The priority of construction and protection of ecological corridors was determined by coupling two topological structures and functions. We argue that specific protection strategies and directions can be determined according to the construction objectives of local ENs.",30-05-2022,02-05-2023 20:04,10-05-2023 16:37,02-05-2023 20:04,2618,,11,14,,Remote Sens.,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Lu_etal_2022_Remote Sens..pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L5VYIZQE,journalArticle,2022,"Yang, Jingyi; Wu, Feng","Impacts of Temporal Changes in Land Use/Cover on the Remaining Historical Forests in Guiyang, China",Forests,,1999-4907,10.3390/f13020146,https://www.mdpi.com/1999-4907/13/2/146,"The remaining historical forests are crucial for maintaining biodiversity in urban areas. However, the integrity and stability of historical forests are affected by land-use/cover change. A better understanding of these impacts can help prioritize protection and restoration. In this study, we estimated the loss of area and levels of threats and analyzed the importance of critical areas for historical forests in the built-up area of a rapidly urbanizing city—Guiyang, China. We used the threat indicator, morphological spatial pattern analysis, and probability of connectivity based on InVEST, GuidosToolbox, and Conefor software. The results based on remote sensing image classification showed that 1988.46 ha of historical forestlands was transformed into other land-use/cover types. The mean value of the threat index of all the historical forest patches increased by 33% compared to the baseline year. The area of cores and bridges, considered as key nodes and links for the connectivity of forest networks, decreased by 193.32 and 353.61 ha, respectively. Most of the critical areas with high importance values for connectivity were located in the central part of the city and were severely threatened by the surrounding areas. We recommend that effective measures be implemented to control the further loss of historical forests and to increase the connectivity and buffering capacity of the remaining forests by creating tree belts and corridors in key locations.",19-01-2022,02-05-2023 20:04,08-05-2023 15:17,02-05-2023 20:04,146,,2,13,,Forests,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Yang_Wu_2022_Forests.pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7EACEZXY,journalArticle,2020,"Gecchele, Lisa V.; Pedersen, Amy B.; Bell, Matthew",Fine‐scale variation within urban landscapes affects marking patterns and gastrointestinal parasite diversity in red foxes,Ecology and Evolution,,"2045-7758, 2045-7758",10.1002/ece3.6970,https://onlinelibrary.wiley.com/doi/10.1002/ece3.6970,,2020-12,02-05-2023 20:04,08-05-2023 15:17,02-05-2023 20:04,13796-13809,,24,10,,Ecol. Evol.,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Gecchele_etal_2020_Ecol. Evol..pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26DBU37K,journalArticle,2012,"Kang, Wanmo; Lee, Dowon; Park, Chan-Ryul",Nest distribution of magpies Pica pica sericea as related to habitat connectivity in an urban environment,Landscape and Urban Planning,,1692046,10.1016/j.landurbplan.2011.10.014,https://linkinghub.elsevier.com/retrieve/pii/S0169204611003021,,2012-02,02-05-2023 20:04,10-05-2023 16:37,02-05-2023 20:04,212-219,,2,104,,Landscape Urban Plan.,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Kang_etal_2012_Landscape Urban Plan..pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
