Study_no,ES_no,Title,FirstAuth,Pub_year,Pub_type,Pub_name,DOI,City,Country,Study_year,Study_class,Study_order,Study_spec,Study_effect,Conn_type,Conn_metric,Conn_buffer,Conn_feat,Conn_lcclass,Conn_tool,r_metric,r_method,corr_type,mi,ri,ti,fi,pi,bi,var_sdi,var_type,R2i,ni,n_type,NOTES
1,1,Cityscape genetics: structural vs. functional connectivity of an urban lizard population,Beninde,2016,journalarticle,Molecular Ecology,10.1111/mec.13810,Trier,Germany,2012,reptilia,squamata,common wall lizard,associative,functional,resistance distance,1,resistance,resist,resistanceGA,genetic distance-Nei,genetic-microsatellite,lmm,3,na,na,na,na,na,na,na,0.1,198,individual genotype,Extracted marginal R2 values for the PA (presence/absence) models. Resistance values from SDM modelling and habitat suitability. K= 3 populations from STRUCTURE
1,2,Cityscape genetics: structural vs. functional connectivity of an urban lizard population,Beninde,2016,journalarticle,Molecular Ecology,10.1111/mec.13810,Trier,Germany,2012,reptilia,squamata,common wall lizard,associative,structural,geographic distance,1,distance,dist,circuitscape,genetic distance-Nei,genetic-microsatellite,lmm,3,na,na,na,na,na,na,na,0.04,198,individual genotype,Extracted marginal R2 values for the PA (presence/absence) models. Resistance values from SDM but without resistance layer optimization
2,3,Assessing habitat connectivity for ground-dwelling animals in an urban environment,Braaker,2014,journalarticle,Ecological Applications,10.1890/13-1088.1,Zurich,Switzerland,2009,mammalia,eulipotyphla,european hedgehog,comparative,functional,current flow,na,resistance,perm,circuitscape,occurrence,tagging-gps,spearman,na,0.75,na,na,na,na,0.2,SD,na,10,area-grid cells,"Using gps locations, from 40 male hedgehogs. Model validation compared current flow values of 10 equal-area bins to # of GPS locations, using spearman to see if bins with higher current flow also had more GPS locations."
3,4,Protecting biodiversity in urbanizing regions: The role of urban reserves for the conservation of Brazilian Atlantic Forest birds,Enedino,2018,journalarticle,Perspectives in Ecology and Conservation,10.1016/j.pecon.2017.11.001,Joao Pessoa,Brazil,2014,aves,na,na,associative,structural,geographic distance,na,distance,dist,primer 6,jaccard dissimilarity,mackinnon survey,mantel,na,0.38,na,na,0.055,na,na,na,na,9,sites - protected area,dissimilarity response (1-J)
4,5,LiDAR-derived three-dimensional ecological connectivity mapping for urban bird species,Choi,2021,journalarticle,Landscape Ecology,10.1007/s10980-020-01165-8,Cheonan,South Korea,2015,aves,na,na,associative,functional,current flow,0.05,resistance,perm,circuitscape,species richness,transect survey,spearman,na,0.55,na,na,na,na,na,na,na,18,sites - parks,With summed 3D current flow from the parks.
4,6,LiDAR-derived three-dimensional ecological connectivity mapping for urban bird species,Choi,2021,journalarticle,Landscape Ecology,10.1007/s10980-020-01165-8,Cheonan,South Korea,2015,aves,na,na,associative,functional,current flow,0.05,resistance,perm,circuitscape,abundance,transect survey,spearman,na,0.52,na,na,na,na,na,na,na,18,sites - parks,With summed 3D current flow from the parks.
4,7,LiDAR-derived three-dimensional ecological connectivity mapping for urban bird species,Choi,2021,journalarticle,Landscape Ecology,10.1007/s10980-020-01165-8,Cheonan,South Korea,2015,aves,na,na,associative,functional,current flow,0.05,resistance,perm,circuitscape,species density,transect survey,spearman,na,-0.77,na,na,na,na,na,na,na,18,sites - parks,With summed 3D current flow. Species density is in sq. meter
4,8,LiDAR-derived three-dimensional ecological connectivity mapping for urban bird species,Choi,2021,journalarticle,Landscape Ecology,10.1007/s10980-020-01165-8,Cheonan,South Korea,2015,aves,na,na,associative,functional,current flow,0.05,resistance,perm,circuitscape,species richness,transect survey,spearman,na,0.73,na,na,na,na,na,na,na,18,sites - parks,With summed 2D current flow from the parks.
4,9,LiDAR-derived three-dimensional ecological connectivity mapping for urban bird species,Choi,2021,journalarticle,Landscape Ecology,10.1007/s10980-020-01165-8,Cheonan,South Korea,2015,aves,na,na,associative,functional,current flow,0.05,resistance,perm,circuitscape,abundance,transect survey,spearman,na,0.45,na,na,na,na,na,na,na,18,sites - parks,With summed 2D current flow from the parks.
4,10,LiDAR-derived three-dimensional ecological connectivity mapping for urban bird species,Choi,2021,journalarticle,Landscape Ecology,10.1007/s10980-020-01165-8,Cheonan,South Korea,2015,aves,na,na,associative,functional,current flow,0.05,resistance,perm,circuitscape,species density,transect survey,spearman,na,-0.67,na,na,na,na,na,na,na,18,sites - parks,With summed 2D current flow. Species density is in sq. meter
5,11,Matrix configuration and patch isolation influences override the species–area relationship for urban butterfly communities,Lizée,2012,journalarticle,Landscape Ecology,10.1007/s10980-011-9651-x,Marseille,France,2008,insecta,lepidoptera,na,associative,structural,distance to natural area,1,distance,dist-green,fragstats,species richness,transect survey,pearson,na,-0.65,na,na,na,na,na,na,na,24,sites - parks,Results presented as log(). Table2
5,12,Matrix configuration and patch isolation influences override the species–area relationship for urban butterfly communities,Lizée,2012,journalarticle,Landscape Ecology,10.1007/s10980-011-9651-x,Marseille,France,2008,insecta,lepidoptera,na,associative,structural,distance to natural area,1,distance,dist-green,fragstats,abundance,transect survey,pearson,na,-0.4,na,na,na,na,na,na,na,24,sites - parks,Results presented as log(). Table2
5,13,Matrix configuration and patch isolation influences override the species–area relationship for urban butterfly communities,Lizée,2012,journalarticle,Landscape Ecology,10.1007/s10980-011-9651-x,Marseille,France,2008,insecta,lepidoptera,na,associative,structural,aggregation index of greenspace,1,adjacency,green,fragstats,species richness,transect survey,pearson,na,0.69,na,na,na,na,na,na,na,24,sites - parks,Results presented as log(). Table2
5,14,Matrix configuration and patch isolation influences override the species–area relationship for urban butterfly communities,Lizée,2012,journalarticle,Landscape Ecology,10.1007/s10980-011-9651-x,Marseille,France,2008,insecta,lepidoptera,na,associative,structural,aggregation index of greenspace,1,adjacency,green,fragstats,abundance,transect survey,pearson,na,0.5,na,na,na,na,na,na,na,24,sites - parks,Results presented as log(). Table2
