City_clean,Country,lat,long,LISA_P,LISA_CL,cv2,cv2_min,cv2_max,cv2_SD,cv1,cv1_min,cv1_max,cv1_SD,Continent,CellArea,cv,cv_min,cv_max,cv_SD,Age_mean,Age_min,Age,Age_SD
Cordoba,Argentina,-31.39589028,-64.20712883,0.0300000,"3",22.71094990000,17.79862785000,24.69459534000,3.28532429000,46.90023899000,42.59396362000,57.23442459000,6.91945235000,"4",293.10260010000,59.95724010750,53.80857468000,65.77436066000,4.91101213501,6.75000000000,"6","7",0.50000000000
Mar del Plata,Argentina,-38.00776575,-57.57362105,0.1700000,"0",42.13897228000,28.13043022000,83.63424683000,27.66449285000,42.50263977000,42.50263977000,42.50263977000,0.00000000000,"4",270.33680724000,121.59767341800,73.84062195000,161.33532715000,36.01838699160,3.75000000000,"2","7",2.21735578261
Buenos Aires,Argentina,-34.65058344,-58.53886524,0.0100000,"3",23.86854553000,10.39435768000,31.68497086000,10.07546777000,70.62077999000,46.03234482000,143.50465393000,48.58983415000,"4",282.76539612000,74.86561966000,57.21822357000,92.93015289000,15.22529556960,6.50000000000,"5","7",1.00000000000
Brisbane,Australia,-27.49018691,153.0489651,0.0100000,"3",37.79968357000,31.28825760000,40.41834641000,4.36008939000,40.86349201000,39.06547546000,42.12841415000,1.30491899000,"6",304.87699890000,80.63728141750,71.75301361000,84.41114807000,5.95291733903,7.00000000000,"7","7",0.00000000000
Sydney,Australia,-33.85123993,151.0668102,0.0100000,"3",8.18929351000,2.17284012000,13.75100136000,6.34024051000,43.16580391000,40.88557434000,45.48444366000,2.62347670000,"6",285.01460266000,50.11450386000,45.91021729000,54.07857132000,4.47563397550,7.00000000000,"7","7",0.00000000000
Perth,Australia,-31.94517038,115.8451125,0.0100000,"3",41.47203732000,37.43469238000,46.37474060000,3.69803384000,77.06383038000,50.40240479000,102.87534332000,28.15840255000,"6",291.52919006000,98.94552040000,88.24371338000,109.95426178000,9.45089745144,6.25000000000,"5","7",0.95742710776
Melbourne,Australia,-37.85556174,145.0747051,0.0100000,"3",17.25022566000,6.21299219000,33.10758591000,11.65544551000,50.03965091000,40.32619476000,77.14739227000,18.07955326000,"6",270.95199586000,62.94500923000,49.96740341000,83.35610962000,14.67795270200,6.75000000000,"6","7",0.50000000000
Victoria,Australia,,,,,,,,,,,,,,,,,,,,,,
Salzburg,Austria,47.80303436,13.03663574,0.0100000,"3",29.21493340000,25.57553864000,32.85432816000,5.14688143000,126.44993114000,29.29306602000,223.60679626000,137.40055633000,"1",230.92639922000,89.92985916000,56.78552246000,123.07419586000,46.87317047700,5.50000000000,"4","7",2.12132034356
Vienna,Austria,48.19840819,16.38397587,0.0100000,"3",19.42208846000,0.00006990000,50.00000000000,21.43096305000,27.60128486000,7.02769518000,48.66012573000,22.13437803000,"1",228.69920348000,31.16890811750,19.78685951000,40.82482910000,10.00824030850,6.75000000000,"6","7",0.50000000000
Brussels,Belgium,50.84995677,4.370280821,0.0100000,"3",18.27849199000,0.00009042000,35.05778122000,19.39031053000,34.99425101000,11.26506329000,64.89310455000,22.18143660000,"1",216.52999878000,51.19134188000,10.44470406000,82.12139893000,33.45942100640,6.75000000000,"6","7",0.50000000000
