fid,eFUA_ID,UC_num,UC_IDs,eFUA_name,Commuting,Cntry_ISO,Cntry_name,FUA_area,UC_area,FUA_p_2015,UC_p_2015,Com_p_2015,Age_mean_m,Age_mean_s,Age_min_me,Age_min_st,Age_mean,Age_stddev,Age_SD_mea,Age_SD_std
186,2285,1,1035,Cordoba,1,ARG,Argentina,1698,304,1617671.656,1365994.52,251677.1357,3.535714,1.513404,2.142857,1.641304,4.714286,1.577909,1.28128,0.795066
219,4215,5,1101;1102;1103;1105;1109,Buenos Aires,1,ARG,Argentina,5376,2070,14984068.9,14229281.04,754787.8625,2.802778,2.023414,2.033333,1.622412,3.566667,2.472291,0.736314,0.770683
227,4514,1,1141,Mar del Plata,1,ARG,Argentina,554,131,672063.362,575750.4323,96312.92971,1.916667,1.008889,1.285714,0.451754,3,2.56348,0.803305,1.116942
235,360,1,11640,Perth,1,AUS,Australia,2972,766,1676528.559,1258344.095,418184.4636,4.194444,1.390333,3.466667,0.805536,4.8,1.973153,0.705785,0.742878
240,1266,2,13020;13023,Melbourne,1,AUS,Australia,8348,1692,4474593.5,3655352.3,819241.201,2.899621,1.748609,2.136364,1.58961,3.659091,2.142038,0.83528,0.919711
245,1830,2,13042;13043,Sydney,1,AUS,Australia,3881,1416,4404986.392,3851398.176,553588.2157,4.496212,1.690638,3.818182,1.722481,5.090909,1.904757,0.710672,0.838617
251,2355,5,13074;13076;13078;13079;13082,Brisbane,1,AUS,Australia,3144,662,2150602.637,1247255.809,903346.828,4.133333,1.660698,3.1,1.609348,5.05,2.036541,1.043755,0.945467
254,199,1,2885,Salzburg,1,AUT,Austria,368,46,261062.8453,140052.171,121010.6743,5,0.547723,3.8,1.469694,6,0.894427,1.377678,1.141053
258,790,1,3027,Vienna,1,AUT,Austria,3104,392,2381082.929,1856675.543,524407.3856,5.444444,1.187549,4.571429,1.866278,6.095238,1.230747,0.917376,1.247096
361,1269,1,2135,Brussels,1,BEL,Belgium,1851,266,2269665.213,1381517.485,888147.7284,5.29386,1.317718,3.789474,1.851854,6.473684,0.993051,1.347922,0.829151
411,522,1,826,Rio Branco,1,BRA,Brazil,267,72,378148.388,320509.3292,57639.05872,3.1875,2.287022,2.75,2.487469,4.25,2.772634,0.71807,1.243734
483,4809,3,1174;1176;1177,Goiânia,1,BRA,Brazil,1842,511,2248199.073,2005426.173,242772.9001,2.621795,1.598816,1.769231,1.576454,3.615385,2.020604,0.936155,0.825413
516,5465,4,1210;1211;1219;1221,Brasilia,1,BRA,Brazil,867,307,1973463.719,1815533.739,157929.9792,2.277778,1.039349,1.833333,0.897527,2.666667,1.247219,0.56763,0.483065
540,5926,3,1242;1243;1251,Curitiba,1,BRA,Brazil,1593,586,3033042.205,2638004.696,395037.5091,2.576389,1.684783,1.666667,1.649916,3.666667,2.211083,0.994514,0.892
575,6369,1,1281,Florianópolis,1,BRA,Brazil,985,165,886018.0048,641126.9341,244891.0707,3.157407,2.130917,2.666667,2.357023,4.222222,2.346524,0.761297,0.983221
592,6567,10,1300;1302;1303;1306;1308;1309;1310;1311;1317;1318,São Paulo,1,BRA,Brazil,6077,2329,21684522.82,20466943.82,1217578.992,2.253333,1.621296,1.6,1.496663,3,2.078461,0.699806,0.854559
669,7190,3,1400;1401;1402,Vila Velha,1,BRA,Brazil,911,281,1710333.441,1465636.203,244697.2383,3.488095,1.756184,2.285714,1.979487,5.571429,2.321154,1.657885,1.195821
686,7303,2,1420;1421,Salvador,1,BRA,Brazil,623,328,3252523.078,3128543.402,123979.676,5.444444,1.149342,4.166667,2.034426,6.833333,0.372678,1.276021,0.933686
710,7434,2,1448;1449,João Pessoa,1,BRA,Brazil,446,180,1124050.371,1018242.443,105807.9278,3.440476,2.302825,2.857143,2.294625,4,2.267787,0.610688,0.458687
820,28,1,160,Victoria,1,CAN,Canada,523,103,354630.7573,227670.6631,126960.0942,4.708333,2.102825,4,2.12132,5.25,2.046338,0.631881,0.658832
822,375,3,187;199;204,Vancouver,1,CAN,Canada,1601,770,2407755.768,2192046.029,215709.7393,5.076389,1.617131,3.75,2.349645,6.333333,1.433721,1.420624,1.329116
826,1276,3,361;362;365,Calgary,1,CAN,Canada,2051,512,1382751.206,1183234.55,199516.6563,3.55,1.781151,3,1.612452,4,2.280351,0.569867,0.926599
828,1572,1,403,Edmonton,1,CAN,Canada,2816,490,1232005.127,975000.7097,257004.4177,2.769231,1.671197,2,1.240347,3.538462,2.205426,0.847,0.899018
846,3485,4,1013;1017;1026;1030,Montreal,1,CAN,Canada,5027,1201,4089586.487,3345918.488,743667.9989,3.278736,1.784522,2.068966,1.529729,4.517241,2.458212,1.257464,1.091683
1342,7704,6,10675;10685;10687;10697;10738;10786,Beijing,1,CHN,China,5536,2439,21279474.48,19184584.07,2094890.402,1.575,1.049107,1.3,0.9,2,1.897367,0.357939,0.864222
1898,8989,4,11549;11569;11613;11618,Wuhan,1,CHN,China,2682,917,8534060.737,7778940.624,755120.1131,1.635417,1.186174,1.25,0.75,2.0625,1.784263,0.434999,0.675729
2204,9701,2,12055;12072,Nanjing,1,CHN,China,2419,742,6914261.048,5865535.75,1048725.298,2.291667,1.263126,2,1,2.75,1.85405,0.425722,0.600356
2350,10078,4,12381;12386;12407;12412,Hangzhou,1,CHN,China,4634,1758,9581083.877,7799827.614,1781256.263,1.9,1.462874,1.4,0.916515,2.6,2.374868,0.770674,1.14283
2359,10097,7,12400;12406;12443;12455;12465;12471;12500,Shanghai,1,CHN,China,5878,3527,26920218.16,25105991.19,1814226.974,1.277778,0.628539,1,0,1.666667,1.563472,0.318595,0.687438
2549,224,2,392;398,San José,1,CRI,Costa Rica,1801,489,2565528.864,2085160.351,480368.5133,4.016667,1.511438,2,1.549193,6,2,2.59426,1.373492
3129,56,1,3146,Turku,1,FIN,Finland,729,34,293765.5279,112491.9713,181273.5566,3,1.825742,3,1.825742,3,1.825742,0,0
3133,687,1,3244,Helsinki,1,FIN,Finland,3066,344,1409994.036,907385.5838,502608.4518,4.427083,2.39046,3.75,2.537223,5,2.598076,0.673344,1.170267
3138,824,1,1818,Rennes,1,FRA,France,1613,65,569011.4835,227572.1404,341439.343,3.198718,1.567068,2.230769,1.249852,4.461538,2.134529,1.131598,0.866913
3160,2702,2,2046;2071,Paris,1,FRA,France,6778,1662,11236407.13,9775034.136,1461372.991,4.037037,1.796499,2.805556,1.868146,5.055556,2.210385,1.19278,1.220374
3182,3911,2,2221;2228,Marseille,1,FRA,France,1599,295,1357310.645,979223.1625,378087.4823,3.5,1.644294,2.5,1.607275,4.5,2.217356,1.091947,1.131315
3246,3793,2,2531;2584,Hamburg,1,DEU,Germany,3206,549,2686299.776,1677733.044,1008566.732,4.34375,0.696931,3.291667,1.274074,5.25,1.163687,0.998681,0.960612
3258,4288,1,2641,Brunswick,1,DEU,Germany,875,76,489489.4309,180612.1732,308877.2577,4.69697,0.699272,3.636364,0.642824,5.818182,0.833196,1.178442,0.284553
3271,4736,1,2784,Munich,1,DEU,Germany,2638,349,2435209.287,1573652.443,861556.844,4.328431,1.582552,3.294118,1.636521,5.117647,1.778378,0.970787,0.769342
3278,4946,2,2849;2851,Berlin,1,DEU,Germany,3572,728,4290482.744,3390224.976,900257.7682,4.309028,0.884368,3,1.414214,5.333333,1.34371,1.193076,0.980809
5733,1600,4,2519;2521;2529;2559,Milan,1,ITA,Italy,3393,939,5121995.63,3511172.788,1610822.841,5.052083,1.643381,3.875,2.166266,6.166667,1.771691,1.354563,1.34702
5769,3881,4,2892;2895;2897;2912,Rome,1,ITA,Italy,2696,558,3501925.083,2617091.143,884833.9396,4.066667,1.795364,3.2,1.989975,4.8,1.939072,0.96216,0.952671
5808,266,1,12736,Sapporo,1,JPN,Japan,1544,387,2222113.479,1894557.363,327556.116,2.666667,1.933415,2.285714,1.979487,3.142857,2.166536,0.499411,0.715886
5854,3956,2,12858;12888,Osaka [Kyoto],1,JPN,Japan,10090,3202,17621765.59,15857216.39,1764549.199,3.115385,1.595278,2.346154,1.328455,3.923077,2.234744,0.989618,1.180022
5886,5129,5,12962;12964;12966;12989;12995,Tokyo,1,JPN,Japan,11971,5582,36471786.91,33538533,2933253.909,2.761905,1.524423,1.8,1.141428,3.857143,2.269586,1.108962,1.137547
6173,5006,8,154;159;158;161;164;167;168;170,Mexico City,1,MEX,Mexico,4831,2311,21410705.86,20286271.34,1124434.526,2.453704,1.424061,1.611111,0.950958,3.555556,2.338618,1.068493,1.01698
6237,6151,1,363,Chetumal,1,MEX,Mexico,89,31,180164.5784,162671.8784,17492.69998,6,0.816497,6,0.816497,6,0.816497,0,0
6493,133,1,13046,Dunedin,1,NZL,New Zealand,265,38,117242.5057,70726.40413,46516.10155,4.05,2.570992,3.4,2.244994,4.4,2.8,0.582843,0.714349
6974,596,1,2493,Oslo,1,NOR,Norway,4272,242,1359903.324,782172.1349,577731.1888,3.642157,2.144831,2.470588,2.145245,4.529412,2.637237,1.219909,1.433855
7252,2845,14,12817;12819;12821;12824;12829;12840;12837;12847;12854;12855;12859;12860;12861;12866,Quezon City [Manila],1,PHL,Philippines,4873,2416,24958274.42,23260860.92,1697413.5,2.621795,1.587416,1.461538,1.336781,4,2.689009,1.374374,1.47268
7334,3222,2,3216;3219,Warsaw,1,POL,Poland,4181,441,2865997.289,1845021.485,1020975.804,2.837719,1.542401,2.368421,1.306281,3.210526,1.851854,0.527298,0.862489
7342,3644,1,3289,Lublin,1,POL,Poland,1434,86,554951.8962,320313.2263,234638.6699,3.075,1.830471,2.8,1.720465,3.3,1.951922,0.332843,0.643596
7703,189,1,3268,Cape Town,1,ZAF,South Africa,1729,697,3796315.917,3511853.327,284462.5908,2.9,1.959592,2.2,1.16619,3.6,2.8,0.729381,0.895174
7733,3337,9,3665;3671;3673;3678;3693;3700;3704;3707;3721,Johannesburg,1,ZAF,South Africa,3795,1873,8182341.805,7561034.637,621307.1676,3.845238,0.964065,2.571429,1.399708,4.714286,1.277753,1.103388,1.168703
7753,4513,1,3868,Durban,1,ZAF,South Africa,1611,745,3226799.394,2867061.597,359737.7968,3.208333,1.908042,2.5,1.360147,3.9,2.426932,0.862939,0.902036
7760,94,5,12389;12431;12453;12462;12477,Seoul,1,KOR,South Korea,7053,2586,24287447.21,21941273.13,2346174.081,1.65,1.060202,1.1,0.3,2.5,2.291288,0.713281,1.083773
7763,1206,2,12488;12492,Cheonan-si,1,KOR,South Korea,805,138,884117.2793,465352.4724,418764.807,1.722222,1.257079,1.166667,0.372678,2.333333,2.134375,0.803332,1.255739
7841,3147,2,1701;1719,Madrid,1,ESP,Spain,4270,820,6131918.998,5078791.272,1053127.726,3.433333,1.572242,2.5,1.565248,4.4,2.059126,0.989277,1.01061
7862,4156,1,1911,Valencia,1,ESP,Spain,2093,332,1888705.412,1393120.294,495585.1185,3.166667,1.308094,2,0.632456,4,1.788854,1.201614,0.960619
7872,4523,2,2051;2066,Barcelona,1,ESP,Spain,1967,611,4609369.61,3955430.603,653939.0067,3.083333,1.386585,2,0.534522,4,2.267787,1.133219,1.150199
7964,481,1,2798,Malmö,1,SWE,Sweden,716,90,444899.0775,297225.7787,147673.2988,4.489583,1.407099,2.875,1.615356,6.25,1.63936,1.871282,1.176317
7972,1445,2,2973;2988,Stockholm,1,SWE,Sweden,2536,400,2011040.467,1398637.101,612403.3653,2.944444,2.020249,1.916667,1.656217,3.666667,2.494438,0.962945,1.10703
7983,1479,4,2449;2463;2475;2494,Zurich,1,CHE,Switzerland,2588,330,2051343.043,936569.4746,1114773.568,3.611111,1.984702,2.611111,1.975935,4.388889,2.452638,1.075449,1.347454
8013,1141,2,12696;12701,New Taipei [Taipei],1,TWN,Taiwan,2463,1052,9530828.725,8996261.422,534567.3039,2.37037,1.156778,1.222222,0.41574,3.888889,2.601044,1.573656,1.529189
8410,2884,1,1763,Dundee,1,GBR,United Kingdom,1207,62,297504.4021,153007.0212,144497.3809,3.515625,1.605443,2.1875,1.235857,4.9375,2.10561,1.462674,0.829885
8423,3799,3,1793;1800;1810,Birmingham,1,GBR,United Kingdom,1786,718,2958884.78,2561609.084,397275.6951,4.442708,1.517753,2.875,1.83286,5.875,1.536026,1.587231,1.044065
8436,4460,2,1838;1845,Sheffield,1,GBR,United Kingdom,1325,272,1145121.889,778066.3269,367055.5624,3.422222,1.813138,2.6,1.854724,4.4,2.274496,0.946233,0.945268
8449,5087,1,1887,Milton Keynes,1,GBR,United Kingdom,730,74,351513.1988,201467.7206,150045.4782,3.045455,1.316831,1.727273,0.616575,4.363636,2.307014,1.536263,1.426126
8456,5356,1,1920,Luton,1,GBR,United Kingdom,416,60,377131.1282,258189.2551,118941.8731,4.611111,1.633466,3,2.160247,6,1.632993,1.528087,1.24653
8457,5373,1,1923,Bedford,1,GBR,United Kingdom,656,30,281657.601,104538.3652,177119.2358,3.166667,1.205148,1.571429,0.494872,4.571429,2.321154,1.81261,1.683298
8486,1255,2,10;13,San Jose,1,USA,United States,4038,1790,5118911.592,4710666.875,408244.7171,3.546667,1.691495,2.04,1.799556,5.32,2.257787,1.839101,1.448347
8487,1642,6,11;12;14;16;41;45,Los Angeles,1,USA,United States,10407,5931,15655357.45,14865830.82,789526.6283,4.312016,2.243645,3.348837,2.495426,5.209302,2.247046,0.995628,0.991731
8491,2204,1,21,Tijuana,1,USA,United States,3940,1480,3177732.233,2831243.583,346488.6491,4.216667,1.938833,2.933333,2.379542,5.466667,2.061283,1.345575,1.227231
8524,4211,2,79;85,Phoenix,1,USA,United States,9707,2332,4567289.148,3669962.277,897326.8712,3.702381,2.220124,2.809524,2.195646,4.380952,2.45873,0.868799,1.009454
8531,4510,1,140,Seattle,1,USA,United States,8328,1885,3866486.799,2678205.033,1188281.766,3.933824,1.993328,2.647059,2.23452,5.058824,2.350734,1.317288,1.385339
8533,4609,1,147,Las Cruces,1,USA,United States,620,40,157558.3428,64074.67851,93483.66424,3.4,2.059126,2,1.549193,4.4,2.8,1.541348,1.42276
8560,5332,2,272;277,Denver,1,USA,United States,6917,1409,2928613.322,2320559.845,608053.4772,3.898148,2.13935,2.944444,2.067533,4.666667,2.44949,0.985484,0.977112
8610,6192,4,483;484;487;491,St. Louis,1,USA,United States,6517,1206,2469859.58,1498419.829,971439.7516,3.583333,2.180047,2.75,2.25,4.46875,2.397712,0.931096,1.095796
