ID,pd,item_type,pub_year,author,title,journal,ISBN,ISSN,DOI,URL,pdf,urban_area,country,conn_type,conn_metric,response_var,taxa,validation,data_location,excl_reason,result_sign,notes
284,YES,journalArticle,2017,"Adams, Tempe S. F.; Chase, Michael J.; Rogers, Tracey L.; Leggett, Keith E. A.",Taking the elephant out of the room and into the corridor: can urban corridors work?,Oryx,,"0030-6053, 1365-3008",10.1017/S0030605315001246,https://www.cambridge.org/core/product/identifier/S0030605315001246/type/journal_article,Y,na,na,na,na,na,na,na,na,5,na,"corridor use only, no consideration of connectivity"
369,YES,journalArticle,2023,"Aguilera, Moisés A.; González, María Gracia","Urban infrastructure expansion and artificial light pollution degrade coastal ecosystems, increasing natural-to-urban structural connectivity",Landscape and Urban Planning,,1692046,10.1016/j.landurbplan.2022.104609,https://linkinghub.elsevier.com/retrieve/pii/S0169204622002584,Y,Coquimbo-La Serena,Chile,structural,distance to nearest neighbour (e2e),na,na,none,na,8,na,"no biological data included, exclusively about estimating change over time and light effects"
5,YES,journalArticle,2017,"Albert, Cécile H.; Rayfield, Bronwyn; Dumitru, Maria; Gonzalez, Andrew",Applying network theory to prioritize multispecies habitat networks that are robust to climate and land-use change: Prioritizing a network for biodiversity,Conservation Biology,,8888892,10.1111/cobi.12943,https://onlinelibrary.wiley.com/doi/10.1111/cobi.12943,Y,Montreal,Canada,potential,na,na,multi-taxa,none,na,5,na,"frame work to design spatial prioritization networks, not estimating the effect of connectivity"
388,YES,journalArticle,2022,"Alberti, Marina; Wang, Tianzhe",Detecting patterns of vertebrate biodiversity across the multidimensional urban landscape,Ecology Letters,,"1461-023X, 1461-0248",10.1111/ele.13969,https://onlinelibrary.wiley.com/doi/abs/10.1111/ele.13969,Y,MULTIPLE,USA,structural,aggregation index,"species richness, community composition",multi-taxa,species lists,"text, table, figure, supplement",na,mixed,continental scale pattern analysis at 1x1km scale. NMDS used to analyssi community dis/simmilarity. Not sure how this is comparable with other studies
304,YES,journalArticle,2013,"Fenoglio, María Silvina; Videla, Martín; Salvo, Adriana; Valladares, Graciela",Beneficial insects in urban environments: Parasitism rates increase in large and less isolated plant patches via enhanced parasitoid species richness,Biological Conservation,,63207,10.1016/j.biocon.2013.05.002,https://linkinghub.elsevier.com/retrieve/pii/S0006320713001353,Y,Cordoba,Argentina,structural,distance to nearest neighbour,parasitism rate,arthropod,site survey,"text, table, figure",na,neg,specialist leaf miner parasitism on spontaneaous plants (eg sidewalk plants)
387,YES,journalArticle,2009,"Andersson, Erik; Bodin, Örjan",Practical tool for landscape planning? An empirical investigation of network based models of habitat fragmentation,Ecography,,"09067590, 16000587",10.1111/j.1600-0587.2008.05435.x,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1600-0587.2008.05435.x,Y,Stockholm,Sweden,potential,na,"occurrence, relative abundance",aves,survey,"text, table",10,na,"graph theoretic models, component based on coal tit, matrix based on 10 bird species"
63,YES,journalArticle,2006,"Angold, P.G.; Sadler, J.P.; Hill, M.O.; Pullin, A.; Rushton, S.; Austin, K.; Small, E.; Wood, B.; Wadsworth, R.; Sanderson, R.; Thompson, K.",Biodiversity in urban habitat patches,Science of The Total Environment,,489697,10.1016/j.scitotenv.2005.08.035,https://linkinghub.elsevier.com/retrieve/pii/S0048969705005772,Y,Birmingham,UK,structural,"distance to derelict site, distance to ",mixed,multi-taxa,"survey, database","text, figure",10,na,"Includes, plants, carabid beetles, butterflies, small mammals"
83,YES,journalArticle,2022,"App, Mario; Strohbach, Michael W.; Schneider, Anne-Kathrin; Schröder, Boris",Making the case for gardens: Estimating the contribution of urban gardens to habitat provision and connectivity based on hedgehogs (Erinaceus europaeus),Landscape and Urban Planning,,1692046,10.1016/j.landurbplan.2021.104347,https://linkinghub.elsevier.com/retrieve/pii/S0169204621003108,Y,Braunschweig,Germany,"potential, functional",current flow,occurrence,mammalia,citizen science,"text, figure",na,pos,"euro hedgehogs, resistance values from Braaker et al. 2014. Comparing different scenarios of including public/private green space into maps"
260,YES,journalArticle,2017,"Aronson, Myla F. J.; Patel, Manisha V.; O’Neill, Karen M.; Ehrenfeld, Joan G.",Urban riparian systems function as corridors for both native and invasive plant species,Biological Invasions,,"1387-3547, 1573-1464",10.1007/s10530-017-1583-1,http://link.springer.com/10.1007/s10530-017-1583-1,Y,New Jersey,USA,structural,"euclidean distance, flow distance, landscape distance",jaccard dissimilarity index,plants,site survey,"text, table",na,mixed,UNCLEAR definitions of connectivity and 'distance'. They mention many methods are from Roquette et al. 2013!
324,YES,journalArticle,2019,"Baker, Adam M.; Potter, Daniel A.",Configuration and Location of Small Urban Gardens Affect Colonization by Monarch Butterflies,Frontiers in Ecology and Evolution,,2296-701X,10.3389/fevo.2019.00474,https://www.frontiersin.org/article/10.3389/fevo.2019.00474/full,Y,Kentucky,USA,na,na,na,lepidoptera,na,na,5,na,more of a garden configuration experiment. No estimate of connectivity
381,YES,journalArticle,2021,"Balbi, Manon; Croci, Solène; Petit, Eric J.; Butet, Alain; Georges, Romain; Madec, Luc; Caudal, Jean?Pierre; Ernoult, Aude",Least?cost path analysis for urban greenways planning: A test with moths and birds across two habitats and two cities,Journal of Applied Ecology,,"0021-8901, 1365-2664",10.1111/1365-2664.13800,https://onlinelibrary.wiley.com/doi/abs/10.1111/1365-2664.13800,Y,Rennes; Lens,France,"potential, functional",least-cost path,"response time, recaptures",multi-taxa,mark recapture,"text, table, figure, supplement",na,pos,"birds and moths in france, mark-recapture to validate the LCP model. Split LCP paths into high and low categories"
211,YES,journalArticle,2018,"Balbi, Manon; Ernoult, Aude; Poli, Pedro; Madec, Luc; Guiller, Annie; Martin, Marie-Claire; Nabucet, Jean; Beaujouan, Véronique; Petit, Eric J.",Functional connectivity in replicated urban landscapes in the land snail ( <i>Cornu aspersum</i> ),Molecular Ecology,,9621083,10.1111/mec.14521,https://onlinelibrary.wiley.com/doi/10.1111/mec.14521,Y,Angers; Rennes; Lens,France,genetic,"geographic distance, resistance distance",genetic differentiation,gastropoda,genetic sample,"text, table, figure",na,pos,"first snail study, microsats, compare least-cost, circuit, and IBD models against the genetic data, replicated in 3 cities."
