City_clean,Country,quality,area_km2,lat,long,country_code,xborder_country,geog_region,urban_incity,UC_NM_SRC,H75_AREAkm2,H90_AREAkm2,H00_AREAkm2,biome_list,elevavg_m,built75_km2,built90_km2,built00_km2,built15_km2,pop75,pop90,pop00,pop15,BUCAP75,BUCAP90,BUCAP00,BUCAP15,E_GR_AV90,E_GR_AV00,E_GR_AV14,E_GR_AH90,E_GR_AM90,E_GR_AL90,E_GR_AT90,E_GR_AH00,E_GR_AM00,E_GR_AL00,E_GR_AT00,E_GR_AH14,E_GR_AM14,E_GR_AL14,E_GR_AT14,SDG_LUE9015,SDG_A2G14,SDG_OS15MX
Marseille,France,1,255,43.30069617,5.407161707,FRA,France,Europe,Marseille,GISCO OSM,238,243,250,"Mediterranean Forests, Woodlands, and Scrub",89.26444279,141.3316345,147.9372864,156.3828735,160.2313232,738159.1305,811833.4733,849555.3903,909727.3216,191.4649954,182.2261477,184.076136,176.1311543,NAN,0.38778437900000001,0.38529865299999999,0,0,0,0,42.888460969999997,165.9715136,44.70329544,253.56327,45.123748970000001,159.9176645,48.52185653,253.56327,0.70118865900000005,0.091106264,37.159999999999997
St. Louis,United States,1,899,38.64866335,-90.29516847,USA,United States,Northern America,St. Louis,GISCO OSM,580,775,861,"Temperate Grasslands, Savannas, and Shrublands",159.021037,514.083252,618.8909302,637.1502686,654.2601318,686372.1581,949852.7734,1171841.557,1100883.938,748.9861672,651.5651136,543.7170793,594.304367,0.450198824,0.50576138199999998,0.51750448599999999,426.54263509999998,460.5853286,9.360950125,896.4889138,627.59645039999998,268.8924634,0,896.4889138,613.48833400000001,279.0997756,3.900804188,896.4889138,0.376628668,0.711100337,68.239999999999995
Malmo,Sweden,1,90,55.59550083,13.00774691,SWE,Sweden,Europe,Malmö,GISCO OSM,54,79,86,Temperate Broadleaf and Mixed Forests,9.364025537,42.79799652,54.51372147,57.6969986,60.65742874,153940.4128,195628.6061,227914.28,297225.7787,278.0166413,278.6592541,253.1521877,204.0786267,0.35984444199999999,0.41007943899999999,0.41767101400000001,17.099200209999999,52.43443436,20.05365599,89.58729056,25.186086150000001,54.9141824,9.487022012,89.58729056,26.720118339999999,48.19088255,14.67628966,89.58729056,0.25531029900000002,0.276508184,32.6
Cape Town,South Africa,1,697,-33.94764796,18.57842297,ZAF,South Africa,Africa,Cape Town,GISCO OSM,385,568,652,"Mediterranean Forests, Woodlands, and Scrub",48.37129891,308.0888977,346.3020325,377.8912048,388.1391602,978215.1551,1767886.18,2460810.838,3511853.327,314.9500354,195.8848009,153.5636949,110.5225999,0.34871058599999999,0.36211131000000002,0.35281071600000002,39.111186140000001,629.699115,26.61061294,695.3170075,105.9663596,571.0490792,18.40547525,695.4209141,98.956360410000002,568.2578475,28.2067062,695.4209141,0.16617041599999999,0.059940824,44.31
Brunswick,Germany,1,76,52.26976525,10.52497596,DEU,Germany,Europe,Brunswick,GISCO OSM,63,70,70,Temperate Broadleaf and Mixed Forests,77.53737842,37.70056915,43.94293594,45.32912827,46.99978638,173666.9039,173539.9892,182810.4601,180612.1732,217.0855143,253.2150437,247.9569728,260.2249092,0.43211201500000002,0.46837585399999998,0.50871440599999995,37.48605491,38.71333979,0,76.1993947,50.153800580000002,26.04559412,0,76.1993947,57.171601269999996,19.02779343,0,76.1993947,1.6836370940000001,0.586776235,75.23
Rennes,France,1,65,48.11255158,-1.663433216,FRA,France,Europe,Rennes,GISCO OSM,44,55,57,Temperate Broadleaf and Mixed Forests,43.0698595,35.34213638,43.10589981,45.33050537,47.6254921,228592.0798,230850.0479,228832.6906,227572.1404,154.607878,186.7268394,198.0945347,209.2764607,0.22490028000000001,0.45043338399999999,0.48163339399999999,0,50.58540148,14.03292594,64.61832741,29.623353300000002,34.99497411,0,64.61832741,38.810188150000002,25.80813926,0,64.61832741,-6.9720874630000003,0.3620317,59.71
Stockholm,Sweden,1,361,59.33157275,18.00055029,SWE,Sweden,Europe,Stockholm,GISCO OSM,218,282,295,Temperate Broadleaf and Mixed Forests,29.87306928,122.7277832,138.1298065,148.2939911,157.8506622,712248.1029,885134.7448,1018323.937,1305076.21,172.3104389,156.0551174,145.6255576,120.9512985,0.42471468099999998,0.47577009100000001,0.49851333599999997,178.9270277,172.87398,10.30260431,362.103612,275.7024045,81.77463723,4.626570352,362.103612,273.47365020000001,80.82223701,7.807724856,362.103612,0.34371234699999997,0.558579004,75.75
Chicago,United States,1,3830,41.79396274,-87.82253727,USA,United States,Northern America,Chicago; Aurora; Naperville; Gary; Evanston,GISCO OSM,2751,2973,3355,"Temperate Grasslands, Savannas, and Shrublands",203.6429394,1919.431763,2396.254883,2681.442383,2810.234863,5813214.267,6435984.403,6908818.583,6779775.294,330.1842448,372.3214248,388.1188007,414.5026556,0.41725922900000001,0.46344966500000001,0.47685509100000001,1842.9122930000001,1819.932601,161.0170984,3823.861992,2261.608397,1454.546165,107.7074298,3823.861992,2311.2124060000001,1386.8187,125.8308855,3823.861992,3.0623290010000002,0.427061357,60.34
Salvador,Brazil,1,308,-12.92433867,-38.42545334,BRA,Brazil,Latin America and the Caribbean,Salvador; Lauro de Freitas,GISCO OSM,261,298,306,Tropical and Subtropical Moist Broadleaf Forests,37.76666144,84.90076447,84.90076447,101.3967514,105.2975998,1598795.729,2246675.184,2618579.062,3030495.644,53.10294677,37.78951452,38.722050779999996,34.74599939,0.340321871,0.37262288399999999,0.35440141800000002,59.87947707,204.8155736,41.99779163,306.2255614,99.729304540000001,190.7008939,16.26264385,306.6928423,83.272579669999999,197.4837445,25.93651812,306.6928423,0.71943096299999998,0.143773132,65.81
Zurich,Switzerland,1,257,47.35646431,8.561740229,CHE,Switzerland,Europe,Zurich,GISCO OSM,161,188,214,Temperate Broadleaf and Mixed Forests,453.4172519,104.9615173,110.1788177,113.9977036,117.769516,514717.623,561517.7862,615822.8966,732493.41,203.9205822,196.216078,185.1144285,160.7789427,0.439936612,0.51863862299999997,0.51671625600000004,127.69678949999999,96.21575599,32.96301814,256.8755637,176.5811554,55.42560575,24.86880252,256.8755637,174.34771230000001,52.95554852,29.57230282,256.8755637,0.25064735799999999,0.621388235,67.84
Beijing,China,1,2115,39.89899941,116.3498742,CHN,China,Asia,Beijing; Chaoyang; Daxing; Dongcheng; Fengtai; Fangshan; Haidian; Mentougou; Shijingshan; Tongzhou; Xicheng,GISCO OSM,861,1480,1702,Temperate Broadleaf and Mixed Forests,51.88195267,835.4084473,1245.804321,1320.619141,1382.28772,3387578.996,7074952.724,10640695.34,17982667.65,246.6092889,176.0865931,124.1102295,76.86777884,0.36823255399999999,0.36416527100000001,0.33401809999999998,632.61122699999999,1307.687512,172.3687766,2112.667515,828.79355780000003,1199.421679,84.45227838,2112.667515,429.3910788,1643.428018,39.84841869,2112.667515,0.111442136,0.058242797,34.64
Turku,Finland,1,34,60.45004137,22.2436126,FIN,Finland,Europe,Turku,GISCO OSM,19,22,22,Temperate Broadleaf and Mixed Forests,18.81002437,8.74901104,8.855430603,8.936944008,9.343930244,82865.7233,93547.92102,101959.0203,112491.9713,105.5805789,94.66197117,87.65231344,83.06308564,0.30881278499999998,0.34378382200000002,0.38297073300000001,9.1222954400000003,22.91997842,1.770254122,33.81252799,19.021453220000001,14.17362773,0.617447038,33.81252799,22.9938489,10.50995556,0.308723519,33.81252799,0.291180728,0.243426014,72.53
