STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,PM_CONCENTRATION,PM concentration level,TIME_SEASON,Time of the day and season,TERRITORIAL_LEVEL,Territorial level,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.CFE.EDS:DSD_FUA_ENV@DF_GREEN_AREA(1.0),Green areas - FUAs,I,DE037F,Saarbrücken,A,Annual,GREEN_AREA,Green area in FUAs' urban centres,PT_LAR,Percentage of land area,_Z,Not applicable,_Z,Not applicable,FUA,FUA,2021,,56.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_ENV@DF_GREEN_AREA(1.0),Green areas - FUAs,I,DE091F,Kassel,A,Annual,GREEN_AREA,Green area in FUAs' urban centres,M2_PS,Square metres per person,_Z,Not applicable,_Z,Not applicable,FUA,FUA,2021,,206,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_ENV@DF_GREEN_AREA(1.0),Green areas - FUAs,I,IE002F,Cork,A,Annual,GREEN_AREA,Green area in FUAs' urban centres,PT_LAR,Percentage of land area,_Z,Not applicable,_Z,Not applicable,FUA,FUA,2021,,53.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_ENV@DF_GREEN_AREA(1.0),Green areas - FUAs,I,NL043F,Veenendaal,A,Annual,GREEN_AREA,Green area in FUAs' urban centres,M2_PS,Square metres per person,_Z,Not applicable,_Z,Not applicable,FUA,FUA,2021,,124,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_ENV@DF_GREEN_AREA(1.0),Green areas - FUAs,I,MEX88F,Teziutlan,A,Annual,GREEN_AREA,Green area in FUAs' urban centres,PT_LAR,Percentage of land area,_Z,Not applicable,_Z,Not applicable,FUA,FUA,2021,,58.4,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_ENV@DF_GREEN_AREA(1.0),Green areas - FUAs,I,TR001F,Ankara,A,Annual,GREEN_AREA,Green area in FUAs' urban centres,M2_PS,Square metres per person,_Z,Not applicable,_Z,Not applicable,FUA,FUA,2021,,43,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_ENV@DF_GREEN_AREA(1.0),Green areas - FUAs,I,UK550F,Dundee City,A,Annual,GREEN_AREA,Green area in FUAs' urban centres,PT_LAR,Percentage of land area,_Z,Not applicable,_Z,Not applicable,FUA,FUA,2021,,49.3,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_ENV@DF_GREEN_AREA(1.0),Green areas - FUAs,I,EL007F,Ioannina,A,Annual,GREEN_AREA,Green area in FUAs' urban centres,M2_PS,Square metres per person,_Z,Not applicable,_Z,Not applicable,FUA,FUA,2021,,85,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_ENV@DF_GREEN_AREA(1.0),Green areas - FUAs,I,JPN50F,Hitachi,A,Annual,GREEN_AREA,Green area in FUAs' urban centres,M2_PS,Square metres per person,_Z,Not applicable,_Z,Not applicable,FUA,FUA,2021,,117,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_ENV@DF_GREEN_AREA(1.0),Green areas - FUAs,I,CH006F,Luzern,A,Annual,GREEN_AREA,Green area in FUAs' urban centres,PT_LAR,Percentage of land area,_Z,Not applicable,_Z,Not applicable,FUA,FUA,2021,,62.5,,A,Normal value,0,Units,1,One
