site,patcharea_ha,ENN_m,prop_green,prop_urban,samples,Hitsd,transects,SR,abundance,taxa_n
Rosario (SE),0.8,"1,178.30",5.6,94.4,6,72,1,29,89,14
Maya 1 (L),1.5,200.2,16.8,83.2,6,72,1,42,111,11
Bahía (W),2.1,63.2,32.6,67.4,6,72,1,38,59,15
Maya 2 (LR),1.7,22.1,44.1,55.9,6,72,1,26,43,14
Ulises (AV),2.3,540.9,45.5,54.5,6,72,1,25,40,11
Abraham (IC),4.9,230.8,13.6,86.4,6,72,1,21,31,8
Domos (GD),6.6,931.8,50.2,49.8,18,216,3,58,112,19
Campestre (CC),10,93.7,18.9,81.1,18,216,3,63,140,20
Eulogio (DQ),15.6,311.8,17,83,18,216,3,71,198,18
Payo (SPO),38.5,201.8,12.2,87.8,24,288,4,78,226,21
Aeropuerto (A),121.3,"1,309.80",21.4,78.6,36,432,6,156,363,26
