site,Area_ha,Age_yr,disty_m,distz_m,Long-tailedweasel,spottedskunk,badger,mountainlion,bobcat,coyote,grayfox,stripedskunk,raccoon,Opossum,cat
Florida,102,59,2100,233,0,0,0,0,0,1,1,0,0,0,0
Torrey Pines Extenstion,74,20,91,91,0,0,0,0,1,1,1,1,1,1,1
Balboa Terrace,56,43,121,117,0,0,0,0,0,1,1,1,1,1,1
Alta La Jolla,34,23,121,93,0,0,0,0,0,1,1,1,1,1,1
Kate Sessions,31,25,121,93,0,0,0,0,0,1,1,1,1,1,1
Zena,15,45,2865,467,0,0,0,0,0,1,1,1,0,1,1
Canon,12,67,1219,1167,0,0,0,0,0,0,1,1,1,1,1
Laurel,10,88,1554,350,0,0,0,0,0,1,1,1,1,1,1
32nd Street South,10,65,304,233,0,0,0,0,0,1,0,0,0,0,1
Pottery,10,23,45,70,0,0,0,0,0,1,1,1,1,1,0
Washington,9,83,365,187,0,0,0,0,0,1,1,1,1,1,1
Syracuse,9,27,40,70,0,0,0,0,0,1,1,1,0,1,1
Baja,8,40,670,70,0,0,0,0,0,1,1,1,1,1,1
Raffee,8,28,61,163,0,0,0,0,0,1,1,1,1,1,1
Solana,8,20,550,187,0,0,0,0,0,1,1,0,1,1,0
Acuna,7,31,110,47,0,0,0,0,0,1,1,1,0,1,1
Juan,7,32,228,70,0,0,0,0,0,1,1,1,1,1,1
Chollas,6,45,1005,467,0,0,0,0,0,1,1,1,1,1,1
Mil Cumbres,6,20,550,23,0,0,0,0,1,1,1,1,0,1,1
Chateau,6,29,110,47,0,0,0,0,0,1,1,0,0,1,1
Oak Crest,6,15,400,140,0,0,0,0,0,1,0,0,0,1,1
54th,4,29,609,187,0,0,0,0,0,1,1,1,1,1,1
60th,4,46,335,350,0,0,0,0,0,1,0,0,0,1,0
Spruce,4,95,1767,93,0,0,0,0,0,1,1,1,1,1,1
Titus,3,86,280,163,0,0,0,0,0,1,1,1,1,1,1
Montanosa,3,11,91,93,0,0,0,0,0,1,0,0,0,1,1
El Mac,2,41,883,163,0,0,0,0,0,1,1,1,1,0,1
Poinsettia,2,59,350,350,0,0,0,0,0,0,1,0,1,1,1
Talbot,2,64,1219,933,0,0,0,0,0,0,1,1,1,1,1
