patchid,SR_obs,SR_pred,1984area,MAC,2018area,age_change,patchage_change,centrality
2,33,58.21498,258.64,101.96,86.62,1993,25,0.13
3,8,41.004,0.8,0.8,0.8,2017,1,0.14
4,20,45.59482,4.68,1.86,1.09,1988,30,0.13
5,24,45.73618,22.34,2.98,1.65,1984,34,0.13
6,25,42.93768,4.42,1.16,1.16,1998,20,0.13
7,14,42.07038,1.03,1.03,1.03,2017,1,0.14
8,26,50.81597,25.99,8.74,8.74,1991,27,0.13
9,13,37.41456,1.25,0.68,0.4,1999,19,0.16
10,18,42.99528,6.11,0.87,0.23,1989,29,0.13
11,29,46.48587,130.02,97.42,95.06,1985,33,0.23
12,19,50.95513,11.48,11.48,11.48,2017,1,0.13
13,29,42.22912,22.95,22.95,22.95,2017,1,0.22
14,28,56.33508,66.49,66.49,66.49,2017,1,0.14
15,22,43.05382,36.71,36.71,36.71,2017,1,0.23
16,36,56.65749,211.78,156.94,149.57,1989,29,0.15
17,39,52.45703,170.28,170.28,170.28,2017,1,0.19
18,14,45.47998,29.6,10.31,9.57,1995,23,0.17
19,28,49.93375,37.21,8.5,11.57,1999,19,0.13
20,11,40.18506,0,1.02,0.44,1996,22,0.13
21,24,38.40947,8.3,0.46,0.46,1994,24,0.14
22,8,42.33699,2.78,2.78,2.78,2017,1,0.16
23,39,58.28337,836.5,836.5,836.5,2017,1,0.18
24,26,43.63472,3.09,1.72,1.08,1990,28,0.14
25,42,58.51921,138.54,138.54,138.54,2017,1,0.14
26,17,48.28105,12.29,7.71,8.35,1997,21,0.14
27,9,31.87264,0,0.25,0.25,2002,16,0.18
28,12,32.98708,0,0.84,0.33,1989,29,0.19
29,20,59.21391,150.56,119.82,119.82,2001,17,0.13
30,15,36.73703,20.7,1.23,1.23,1985,33,0.18
31,19,38.48001,6.63,1.96,1.93,2003,15,0.18
32,19,51.16472,148.86,77.67,67.82,1992,26,0.18
33,27,55.19836,775.05,775.05,775.05,2017,1,0.21
34,13,40.27006,6.02,1.1,0.38,1984,34,0.15
35,21,38.51818,0,0.71,0.71,2008,10,0.15
36,22,38.66741,0,3.66,3.06,2012,6,0.2
37,36,53.43186,818.46,452.02,440.87,1985,33,0.21
38,17,38.01141,2.05,0.43,0.3,1998,20,0.17
39,23,43.22551,6.41,9.11,9.11,2000,18,0.18
40,10,41.9364,0.86,0.86,0.86,2017,1,0.13
41,12,31.82717,0.07,0.06,0.06,2017,1,0.15
42,21,42.06945,0,0.65,0.65,2001,17,0.13
43,24,43.5498,0,1.05,1.05,1987,31,0.13
