id,loca,Area ,ENN,amount_impv
1,52°33’38’’ / 13°23’53’’,4.55,200,16
2,52°31’34’’ / 13°35’31’’,1.48,250,20
3,52°31’28’’ / 13°35’18’’,1.48,250,38
4,52°31’48’’ / 13°29’52’’,1.15,350,92
5,52°31’16’’ / 13°29’23’’,0.78,100,59.5
6,52°31’28’’ / 13°27’32’’,1.41,300,30
7,52°29’55’’ / 13°28’08’’,1.53,150,29
8,52°30’04’’ / 13°28’14’’,1.53,150,31
9,52°30’27’’ / 13°24’25’’,3.2,450,82
10,52°30’30’’ / 13°24’25’’,3.2,450,89
11,52°30’31’’ / 13°23’55’’,0.63,200,76
12,52°28’39’’ / 13°24’04’’,283,0,90
13,52°28’08’’ / 13°24’35’’,283,0,0
14,52°26’08’’ / 13°31’19’’,70,0,6
15,52°26’36’’ / 13°30’53’’,70,0,10
16,52°26’23’’ / 13°31’35’’,70,0,29
17,52°26’23’’ / 13°31’17’’,70,0,48
18,52°26’41’’ / 13°22’00’’,9,0,1
19,52°26’36’’ / 13°22’18’’,9,0,24
20,52°26’41’’ / 13°19’58’’,0.55,350,93
21,52°24’34’’ / 13°18’34’’,95,0,33
22,52°24’19’’ / 13°18’30’’,95,0,5
23,52°24’24’’ / 13°19’24’’,95,0,5
24,52°29’25’’ / 13°16’02’’ ,2.3,150,12
