zone,house,trap,TotalRichness,TotalAbundance,DetritRichness,DetritAbund,HerbivRichness,HerbivAbund,PollinRichness,PollinAbun,PredatRichness,PredatAbund,ParasRichness,ParasAbund,LocalPlantCover,logAge,logDepth,logHeight,logArea,logGreenCovLandsc,logPlantRichness
vp,C1,TA1,27,97,5,15,12,55,1,2,2,15,7,10,0.272697607,1.380211242,1.176091259,0.602059991,1.698970004,1.992179148,0.954242509
vp,C1,TA2,17,55,2,6,9,29,1,1,5,15,2,6,0.272697607,1.380211242,1.176091259,0.602059991,1.698970004,1.992179148,0.954242509
vp,C1,TA3,17,48,0,0,11,31,3,3,4,14,1,2,0.272697607,1.380211242,1.176091259,0.602059991,1.698970004,1.992179148,0.954242509
vp,C2,TA1,37,106,4,4,12,73,3,3,5,8,11,16,0.121637545,1.806179974,0.84509804,0.498310554,1.653212514,1.988664174,0.954242509
vp,C2,TA2,37,116,4,4,17,67,3,5,6,25,9,15,0.121637545,1.806179974,0.84509804,0.498310554,1.653212514,1.988664174,0.954242509
vp,C2,TA3,28,71,2,4,13,42,2,2,4,14,8,10,0.121637545,1.806179974,0.84509804,0.498310554,1.653212514,1.988664174,0.954242509
vp,C3,TA1,44,183,2,3,17,66,0,0,8,34,16,79,0.147369244,1.322219295,0.84509804,0.511883361,2.021189299,1.989591741,1
vp,C3,TA2,48,293,8,98,17,52,2,3,8,54,15,95,0.147369244,1.322219295,0.84509804,0.511883361,2.021189299,1.989591741,1
vp,C3,TA3,35,261,9,50,16,68,7,7,9,28,3,119,0.147369244,1.322219295,0.84509804,0.511883361,2.021189299,1.989591741,1
vp,C4,TA1,24,73,6,23,8,12,0,0,5,31,3,3,0.27771977,1.77815125,1,0.511883361,1.505149978,1.97383324,0.954242509
vp,C4,TA2,22,40,4,9,6,10,0,0,5,9,5,8,0.27771977,1.77815125,1,0.511883361,1.505149978,1.97383324,0.954242509
vp,C4,TA3,31,102,9,26,10,43,4,4,6,23,4,4,0.27771977,1.77815125,1,0.511883361,1.505149978,1.97383324,0.954242509
