patchID,dist_city,mean_ENN,area,forestedarea,shape,forestshp,saproxSR,nonsapSR,SR
1,1456,102,0.9,0.6,0.744,0.403,0,3,3
2,2145,71,37.2,4.1,0.804,0.35,0,5,5
3,2487,230,18.9,6.2,0.72,0.31,0,6,6
4,3497,23,16.1,2.5,0.569,0.804,0,4,4
5,4518,260,165.1,120,0.75,0.32,5,0,5
6,6545,270,240.6,165.5,0.387,0.189,6,3,9
7,7536,160,1997.8,293.9,0.507,0.115,1,2,3
8,8687,310,84,22.9,0.376,0.089,0,3,3
9,8900,250,284.1,149.2,0.403,0.208,2,1,3
10,9705,278,3.5,2.1,0.679,0.041,2,1,3
11,11904,190,668.5,373,0.342,0.086,5,2,7
12,13220,134,973.3,240.4,0.409,0.087,4,2,6
13,14313,159,381.9,14.5,0.474,0.216,3,1,4
14,14997,96,284,17.3,0.639,0.218,1,7,8
15,15293,14,80,5.7,0.662,0.069,3,3,6
16,20429,124,216,19.8,0.765,0.1,2,3,5
