Site,areakm2,urbanization,restoration,management,site.type,isolation,flowerdensity,veganzahl,And.flav,Bom.lap,Bom.luc,Bom.pas,Bom.ter,Col.sim,Das.hir,Hal.rub,Hal.sub,Hal.tum,Hyl.dil,Hyl.hya,Las.cal,Las.lat,Las.leu,Las.mal,Las.mor,Las.pau,Las.vil
Fl01,0.06986,-1.17493,no,irregular,wasteland,0,3,17,1,0,0,1,2,0,0,0,0,1,1,0,2,1,0,0,4,1,0
Fl02,0.002002,2.17448,no,irregular,wasteland,2,3,6,12,1,0,2,2,0,2,0,0,0,0,0,1,1,0,3,4,2,1
Fl03,0.003565,0.37934,yes,extensive,wasteland,3,4,48,0,0,0,0,1,1,2,0,1,1,0,2,5,2,0,11,1,7,3
Fl04,0.004177,1.9086,yes,extensive,residual,8,4,43,4,0,0,0,1,0,2,0,0,0,0,0,1,2,0,0,3,2,0
Fl06,0.03048,3.18189,yes,irregular,residual,8,4,69,8,1,0,1,0,0,6,0,1,0,2,0,3,2,0,0,18,7,1
Fl07,0.02707,2.18646,no,extensive,designed,12,2,24,0,1,0,0,1,0,2,1,0,0,0,0,1,2,1,0,8,5,0
Fl13,0.01729,1.54846,no,irregular,wasteland,3,2,11,5,0,0,2,3,0,6,1,1,1,0,0,3,5,1,1,21,22,0
Fl19,0.00807,-2.16006,no,extensive,wasteland,5,2,11,2,2,1,0,3,0,1,0,0,2,0,0,1,3,1,0,2,25,0
Fl20,0.03364,-0.365468,no,extensive,designed,3,4,17,3,1,0,0,3,0,1,0,1,0,0,0,2,1,1,0,0,4,0
Fl21,0.002603,-3.23983,no,extensive,residual,4,1,10,0,0,1,3,0,0,2,2,0,1,1,0,0,2,0,0,1,10,0
Fl22,0.002467,-0.844173,yes,irregular,wasteland,1,1,51,1,1,0,0,1,0,10,0,0,0,1,0,1,1,2,0,1,2,0
Fl23,0.005777,-1.54967,yes,irregular,wasteland,2,3,59,4,0,0,2,3,0,10,1,0,0,1,0,2,0,4,0,4,9,1
Fl24,0.006477,2.25018,yes,extensive,wasteland,3,3,50,1,0,0,0,1,1,5,0,0,2,0,0,1,2,1,0,20,12,0
Fl25,0.002733,3.03856,yes,extensive,designed,6,4,62,6,0,0,2,1,0,2,1,0,1,0,6,2,3,1,0,16,75,2
Fl26,0.001953,2.26501,no,irregular,wasteland,5,1,11,2,2,0,0,0,0,3,0,1,1,0,0,4,3,0,0,1,21,0
Fl27,0.00442,1.67606,no,irregular,wasteland,6,1,11,0,0,0,0,0,1,5,1,1,0,0,1,3,0,0,0,14,24,0
Fl28,0.003927,1.21234,yes,extensive,designed,11,4,48,8,0,0,0,0,2,3,2,1,0,0,1,6,3,1,0,26,9,0
Fl29,0.002555,2.02536,yes,extensive,designed,11,3,54,0,0,0,0,1,2,1,1,2,2,0,0,1,4,0,0,29,4,0
Fl30,0.006022,1.83354,no,extensive,wasteland,4,1,19,1,2,0,0,2,0,3,6,0,1,1,0,6,6,1,0,4,28,0
Fl31,0.07239,-1.61827,no,extensive,wasteland,2,3,11,0,1,1,1,0,0,6,1,0,0,0,0,2,3,1,0,7,2,0
Fl32,0.009888,0.0983854,no,irregular,wasteland,3,4,15,5,2,0,0,4,0,12,3,4,1,0,0,1,3,1,0,5,27,0
Fl33,0.002903,-2.04823,no,extensive,wasteland,1,1,15,0,3,0,0,2,0,3,0,0,0,0,0,3,0,1,0,0,13,0
Fl34,0.003016,-1.26472,no,extensive,residual,6,1,8,0,3,0,0,1,0,0,2,0,0,2,0,0,4,0,0,7,8,0
Fl35,0.00117,-3.39524,no,extensive,residual,2,4,18,0,2,1,0,2,0,1,0,0,0,0,0,1,0,3,0,2,16,1
Fl36,0.0007754,-1.61868,no,extensive,residual,4,1,8,0,2,0,1,1,2,5,0,0,0,0,0,5,1,1,0,6,5,2
Fl37,0.002489,-3.23122,no,extensive,residual,0,3,16,0,0,0,0,3,0,11,1,1,0,0,0,1,2,0,4,4,3,1
Fl38,0.001079,-1.82945,no,extensive,wasteland,3,2,16,0,0,0,0,0,1,0,0,0,1,1,1,1,2,0,0,5,13,0
Fl39,0.003871,-0.238887,yes,extensive,wasteland,5,1,50,0,0,0,0,4,1,3,1,0,0,0,0,3,2,0,0,8,1,0
Fl40,0.003411,-1.83767,no,extensive,residual,5,4,14,0,1,0,1,2,0,31,4,0,1,1,0,2,1,0,0,0,0,0
Fl41,0.001558,0.637849,no,extensive,designed,3,4,13,3,0,0,0,2,2,3,0,0,0,0,1,0,2,0,0,2,2,0
