Name,Type,size_ha,n,propurb,propnatu,correlationlength,proptree,med_income,SR,shannondiv
Alberts Farm,Manicured,66.94,3,29.16,11.79,606.03,2.56,115,13.37184796,1.1546875
Beaulieu Bird Sanctuary,Natural,16.15,3,10.35,12.4,56.08,2.01,461,13.01304741,1.0875
Bezhuidenhout Park,Manicured,52.38,3,37.29,15.55,113.63,2.63,57,10.00036001,0.997916667
Cumberland Bird Sanctuary,Natural,13.01,3,22.5,9.46,117.63,2.61,461,9.258014039,0.983854167
Dee Dee Memorial Park,Natural,19.2,3,21.72,19.1,58.34,3.37,230,10.05603596,1.00625
Delta Park,Manicured,105.89,4,20.96,10.97,85.55,3.18,230,10.34060191,1.076041667
Dorothy Nyembe Park,Manicured,27.77,3,66.93,12.9,442.84,1.7,28,13.21100633,1.132291667
Edison Crescent Park,Manicured,11.73,3,26.88,18.94,214.91,2.41,461,10.13645677,1.038020833
Ferndale Bird Sanctuary,Natural,19.4,3,29.56,10.95,102.68,2.55,230,10.39627786,0.992708333
Glen Austin Pan,Natural,12.33,3,17.07,15.34,75.16,2.29,28,12.11604603,1.065104167
Golden Harvest Park,Manicured,103.8,4,28.26,9.56,114.54,2.03,230,12.24595657,1.096875
Hamerkop Bird Sanctuary,Natural,15.39,3,27.39,21.81,192.26,2.82,115,9.511648912,0.952083333
Harvey Linksfield Nature Reserve,Natural,51.37,3,24.98,17.33,92.95,2.18,115,8.614647531,0.969270833
Innisfree Park,Manicured,23.57,3,53.2,10.22,57.27,2.11,28,12.01706656,1.069791667
James and Ethyl Grey Park,Manicured,45.78,3,26.39,12.7,52.91,2.37,115,11.16955491,0.975520833
Kloofendal Nature Reserve,Natural,126.28,4,27.42,14.82,121.35,2.84,230,11.96139061,1.176041667
Len Rutter Park,Manicured,37.67,3,29.37,17.16,195.36,2.28,230,9.159034576,0.991145833
Melville Koppies Nature Reserve,Natural,51.71,2,20.96,15.6,192.38,2.63,115,13.10584065,1.1265625
Mofolo Regional Park,Manicured,11.02,3,63,11.98,1011.66,1.95,28,13.79251068,1.174479167
Pioneer Park,Manicured,13.82,3,49.87,18.89,37.99,2.12,57,11.13243761,0.988541667
Rietfontein Ridge Nature Reserve,Natural,22.6,3,24.48,19.42,158.76,2.31,461,7.377404246,0.916666667
River Park,Manicured,9.79,3,37.8,17.56,88.68,1.67,28,10.60660922,1.059375
Ruimsig Butterfly Reserve,Natural,13.1,3,10.67,26.95,80.79,2.39,461,11.49742438,1.106770833
The Wilds Nature Reserve,Natural,16.64,3,34.25,18.73,41.13,2.33,57,12.60475712,1.096875
Thokoza Park,Manicured,23.1,3,63.95,11.55,864.7,2.06,28,7.600108038,0.903645833
Witkoppen Park,Manicured,12.05,2,30.93,9.97,193,1.85,461,14.99882288,1.2078125
Zoo Lake,Manicured,44.89,3,21.9,17.01,45.44,2.9,230,9.752911352,0.877083333
