siteid,park,sr,sr_insectiv,sr_omniv,agreen,conif_prop,propgreen200m,sr_woodypl,sr_grass,sr_insects,ab_insects,sr_phyt,ab_phyt,sr_zoop,ab_zoop,sr_polli,ab_polli
1,Baiwangshan,29,12,14,67.687,0.26,0.657,6.767,16.133,26.467,130.533,18.2,58.467,3.767,18.467,2.9,10.567
2,Beierhuan,5,1,3,4.012,0.154,0.178,10,10,7.333,33.583,7.167,45.917,1.833,4.5,2.083,25.833
3,Diaosu,7,1,4,13.795,0.097,0.231,3.727,11.727,14.909,54.364,8.182,43.818,2.455,3.545,2.182,30.909
4,Dongdan,9,3,5,4.586,0.43,0.124,8.1,11.8,15,64,9.5,42.6,2.5,5.9,1.3,9.1
5,Fengtai,6,1,3,5.388,0.104,0.194,8,9,9,54.875,10.75,40.875,2.625,12.625,1.25,5
6,Guanyuan,7,2,4,1.943,0.067,0.228,8.5,13.75,15.5,68.75,4.25,25.75,1.25,2.75,1.5,12.75
7,Jingshan,9,2,6,15.252,0.739,0.188,6,9.533,16,56.583,9.909,31.25,2.091,3.583,2.273,11.917
8,Linglong,6,2,3,7.863,0.194,0.125,5.667,8,9.8,31.8,5.8,18.4,1.4,2,2.2,10.8
9,Longtan,10,1,7,23.495,0.122,0.259,7.071,11.857,12.286,55.429,7.857,40.786,1.857,2.786,1.429,18.929
10,Nanguan,7,2,4,2.658,0.147,0.241,11.2,8.4,13.8,77.2,6,19.6,1.6,18.6,1.2,19
11,Qingnianhu,10,1,8,12.4,0.254,0.28,8.7,15.8,17.7,78.5,10.8,38.8,3,5.3,1.2,4.5
12,Rendinghu,8,1,6,7.522,0.122,0.201,4.2,12,13,90,7.5,47.75,1.5,2,2.25,33
13,Shuncheng,4,0,3,2.809,0.23,0.094,8.75,6.75,6,43,5.5,53.05,1.5,3,1,45.7
14,Side,8,1,6,17.59,0.23,0.38,4.625,10.875,18,174.5,11.75,149.875,3.125,6.375,1.875,11.25
15,Taoranting,11,1,8,36.526,0.338,0.199,6.276,13.897,13.926,63.926,8,33.741,2.481,4.222,2.259,8.852
16,Tuanjiehu,7,1,4,8.574,0.305,0.192,9.556,10,15.556,72.111,7.444,28.111,3.222,8.333,2.111,14.333
17,Wanfangting,5,1,2,10.347,0.126,0.138,5.857,6.571,14,98,7,51.571,2.714,5.857,2.571,18.143
18,Xinfadi,10,2,6,27.253,0.055,0.117,4.375,12.313,17.313,69.313,12.5,60.438,2.625,30.188,2.375,20.625
19,Xinglong,7,1,5,42.469,0.079,0.267,4.385,12.077,15,69.038,12.038,55.577,2.846,16.846,1.769,15.346
20,Xuanwu,8,2,5,6.383,0.111,0.157,8.625,11.125,15.25,52.25,8,18.125,3.25,4.25,2.5,6.5
21,Yuandadu,17,3,11,74.068,0.133,0.189,5.621,16.536,19,89.034,15.759,38.966,3.345,36.655,2.552,11.655
22,Yuanmingyuan,30,9,18,174.104,0.147,0.265,4.674,18.87,28,105.043,18.587,42.652,4.37,40.652,3.761,8.457
23,Yuyuantan,10,3,6,55.492,0.086,0.372,5.531,15.781,16.938,76.438,11.656,23.844,2.031,41.063,2,4.75
24,Zhenhai,12,3,7,20.425,0.012,0.377,3.682,15.227,17.318,90.045,12.455,83.864,2.864,35.773,2.545,6.727
25,Zhongshan,12,2,8,17.752,0.996,0.17,5.882,12.588,17,100.083,11,62.917,2.75,4.25,2.417,15.25
26,Zizhuyuan,7,2,5,29.022,0.208,0.156,7.28,10.44,14.3,101.23,12.038,55.692,2.538,12.346,1.808,30.577
