colonyID,ENN,cost_dist,fst,lci,uci
J15-10 and L15-25,13.18,"18,646",0.167,0.108,0.221
J15-10 and L15-4,11.12,"17,573",0.248,0.146,0.363
J15-10 and L15-9,10.5,"16,874",0.231,0.126,0.344
J15-10 and M15-14,18.71,"26,317",0.13,0.057,0.203
L15-25 and L15-4,2.04,"2,885",0.263,0.13,0.404
L15-25 and L15-9,3.1,"5,985",0.275,0.148,0.376
L15-25 and M15-14,5.36,"7,705",0.145,0.1,0.183
L15-4 and L15-9,2.16,"4,405",0.36,0.181,0.542
L15-4 and M15-14,7.5,"10,561",0.244,0.156,0.325
L15-9 and M15-14,8.43,"12,201",0.291,0.206,0.375
