parkid,area_ha,prop_forest5km,prop_field5km,dist_naturalarea,dist_ENLN,elongation,sr
Botanical Garden,37.5,52.51,20.94,0,0,1.5,16
Hiraoka,43.4,53.29,7.89,0,0,1.1,14
Tanagawa PS,8.9,52.45,29.12,0.8,0.1,2,11
Yamadaike,42.7,24.41,25.2,1.5,0.9,1.2,16
Expoõ Memorial,41.9,23.18,12.43,2.5,2.5,1.7,16
Hattori,41.2,10.62,6.18,6.3,3,1.1,12
Tsurumi,29.6,2.66,8.29,6.3,4.5,1.3,12
Oizumi,38.2,3.13,27.18,9,3,1.6,12
Sirokita,2.84,4.29,7.59,9.8,3.3,1.5,8
Osakajo,38,0.84,0.52,11,2,1.3,9
Saishoyama,1.57,2.57,0.87,11,1,1.2,6
Sanadayama,1.31,1.7,0.86,11.3,1.5,2.3,7
Bandaiike,1.17,2.44,2.6,11.3,1.3,2,6
Momogaike,0.81,1.58,1.14,11.3,1.5,1.7,5
Nagaike,2.2,2.07,2.34,11.3,0.5,9.5,4
OIPHES,0.06,1.72,0.82,11.5,2.3,1.3,3
Gojo,0.15,0.66,0.67,12,2.5,1.1,3
Ikutama,5.79,2.02,0.76,12.5,1.8,2,8
Tennoji,2.5,1.02,0.63,12.5,3,2.7,6
Ogimachi,1.65,4.13,3.41,12.8,2,1.2,6
Sumiyoshi taisha,4.7,1.28,2.37,13,2,1.2,6
Sumiyoshi,2.67,0.98,1.55,13.3,2.3,1.2,5
Suminoe,7.89,0.98,1.55,14,3,1.6,6
Utsubo,5.83,0.62,0.75,15,2.3,4.5,5
Chishima,7.23,0.35,0.82,15.5,4.5,1.2,7
Sakaiko PS,7,4.11,7.88,17.5,1.8,1.9,8
WBS,3.81,3.66,7.57,22,10.5,1.5,7
Nanko PS,13.3,5.17,5.2,22,8.2,1.1,4
