Pond Ref,Date,Grid reference,Latitude,Longitude,Altitude (m),Pond Area (m²),ASPT,% shaded by trees,% cover emergent plants,% cover of all floating leaved,% cover of all submerged plants,Banks grazed?,Vegetation mown,Inflow,Habitat,Fish present?,Wild birds?,List of fish,Wetlands within 250m?,Wetlands within 500m?,Amphibians present?,Nature of pond base,pH,Conductivity (?S/cm),DO (mg/l),Pond Primary Use,Road Length within 500m (m),Number of Aquatic Plant Species ,Number of Macroinvertebrte Families ,ASPT Scores,TRS Scores,Macroinvertebrate Families,Aquatic Plant Species
BEES Urban Nature Reserve Pond 1,30-05-2013,SE153332095,53.784944,-1.768954,146,34.49,4.2,5,50,10,0,No,No,No,Woodland,No,No,Unknown,Yes,Yes ,No,Clay/Silt (3),7.06,9.39,9.57,Biodiversity,8528,6,9,4.222222222,7.566666667,"Asellidae, Corixidae, Gammaridae, Gerridae, Glossiphoniidae, Hydrobiidae, Limnephiladae, Lymnaeidae, Planorbidae","Caltha palustris, Juncus effuses, Lemna Minor, Menyanthes trifoliate, Nymphaea alba, Ranunculus lingua"
BEES Urban Nature Reserve Pond 2,30-05-2013,SE153332095,53.784923,-1.769142,146,35.3,4.1,0,75,5,0,No,No,No,Woodland,No,No,Unknown,Yes,Yes ,Yes,Clay/Silt (3),7.09,7.23,10.09,Biodiversity,8569,4,11,4.090909091,6.15,"Asellidae, Chironomidae, Corixidae, Gammaridae, Gerridae, Glossiphonidae, Hydrophilidae, Limnephiladae, Lymnaeidae, Planorbidae, Sphaeriidae","Caltha Palustris, Epilobium hirsutum, Menyanthes trifoliate, Ranunculus lingua "
Boar’s Well Urban Nature Reserve,31-05-2013,SE1647534470,53.805508,-1.751739,111,74.1,3.5,25,15,0,55,No,No,Yes,Scrubland,Yes,Yes,Pike,Yes,Yes ,No,"Clay/Silt (1), Sand, Gravel, Cobbles (2)",7.7,128,9.84,Biodiversity,5858,2,11,3.545454545,7.3,"Asellidae, Chironomidae, Gammaridae, Hydrobiidae, Limnephiladae, Lymnaeidae, Oligochaeta, Physidae, Planorbidae, Sphaeriidae, Hydrachnidae","Ranunculus lingua, Pondweed (Unknown species)"
Reevy Mill Dam,08-06-2013,SE1388529869,53.764943,-1.79077,256,140.7,4.2,10,25,0,25,No,Yes,No,Grassland,Yes,Yes,"Stickleback, Carp",No,Yes ,No,Clay/Silt (3),6.95,61.8,8.79,Biodiversity,8677,4,13,4.153846154,9.5,"Asellidae, Chironomidae, Coenagriidae, Corixidae, Dytiscidae, Gammaridae, Glossiphonidae, Hydrophilidae, Limnephiladae, Oligochaeta, Physidae, Planariidae, Sphaeriidae","Iris pseudacorus, Juncus effusus, Lemna minor, Lemna trisulca "
Brackenhill Urban Landscape Area,23-06-2013,SE1381131696,53.781414,-1.791817,182,100.3,3.1,5,15,0,0,No,No,Yes,Scrubland,No,Yes,Unknown,No,No,Yes,Clay/Silt (3),7.64,71.6,10.42,Biodiversity,6898,2,7,3.142857143,0,"Asellidae, Coenagriidae, Hydrobiidae, Lymnaeidae, Glossiphoniidae, Oligochaeta, Sphaeriidae","Iris pseudacorus, Juncus effusus"
Lister Park,17-06-2013,SE1511035292,53.814028,-1.772767,129,756,2.6,5,0,0,0,No,Yes,Yes,Grassland,Yes,Yes,"Trout, Carp",No,Yes ,No,Concrete (3),6.62,23.1,8.79,Amenity,5481,0,7,2.571428571,0,"Asellidae, Chironomidae, Glossiphonidae, Hydrobiidae, Lymnaeidae, Oligochaeta, Sphaeriidae",N/A
Toad Holes Beck Pond 1,22-06-2013,SE1692028592,53.753311,-1.744836,137,330,3.6,15,25,0,0,No,No,Yes,Woodland,No,Yes,Unknown,Yes,Yes ,Yes,"Sand, Gravel, Cobbles (3)",8.16,221,9.92,Biodiversity,3471,2,9,3.555555556,5.3,"Asellidae, Chironomidae, Corixidae, Dytiscidae, Hydrophilidae, Notonectidae, Oligochaeta Planorbidae, Sphaeriidae","Menyanthes trifoliate, Ranunculus lingua "
Toad Holes Beck Pond 2,22-06-2013,SE1687428425,53.751833,-1.745627,132,238,4.2,5,45,2,0,No,No,Yes,Woodland,No,Yes,Unknown,Yes,Yes ,Yes,Clay/Silt (3),7.43,43.8,10.92,Biodiversity,4326,2,9,4.222222222,6.7,"Asellidae, Coenagridae, Corixidae, Chironomidae, Dytiscidae, Gammaridae, Hydrophilidae, Notonectidae, Oligochaeta","Nymphaea alba, Ranunculus lingua "
Peel Park,24-06-2013,SE1692534845,53.809567,-1.744358,149,248,3.2,10,0,0,0,No,Yes,Yes,Grassland,Yes,Yes,Stickleback,No,Yes ,No,Concrete (3),7.2,19.3,9.64,Amenity,6551,0,9,3.222222222,0,"Asellidae, Chironomidae, Corixidae, Gammaridae, Glossiphoniidae, Hydrobiidae, Lymnaeidae, Oligochaeta, Sphaeriidae ",N/A
Raw Nook,22-06-2013,SE1670028646,53.753964,-1.748167,144,123,4,5,50,10,0,Yes,No,Yes,Woodland,Yes,Yes,"Pike, Stickleback",Yes,Yes ,Yes,Clay/Silt (3),8.13,81.8,11.09,Biodiversity,2856,4,8,4,6,"Chironomidae, Corixidae, Glossiphoniidae, Libellulidae, Lymnaeidae, Notonectidae, Planorbidae, Sphaeriidae ","Iris pseudacorus, Juncus effuses, Menyanthes trifoliate, Nymphaea alba"
