id,elev,tempmean,precip_mm,conn_forest_perim,course_age,area_ha,remhab_ha,Plant spp.b,Plant spp. ha-1,Native spp.,Ant spp.,Bird spp.
BlueMtns 1,332,22.1,1207,65,108,39,11,90,225,64,16,29
BlueMtns 2,893,16.2,1304,20,100,39,6,83,208,58,21,29
BlueMtns 3,947,16.2,1511,75,111,35,5,92,230,68,19,28
Coastal 1,6,22.2,1107,80,75,48,25,64,160,48,18,33
Coastal 2,17,22.2,1107,85,85,59,31,44,110,37,20,28
Coastal 3,5,22.1,1332,70,92,37,3,43,108,23,15,36
Cumb 1,77,23.5,854,20,63,82,11,65,163,30,22,38
Cumb 2,44,24.5,880,10,93,53,0,28,70,16,16,39
Suburb 1,130,22.7,1332,85,66,62,29,90,225,68,21,39
Suburb 2,57,22.2,1328,75,90,32,8,77,193,45,18,32
Suburb 3,12,22.2,1453,45,85,92,6,69,173,45,12,52
Suburb 4,88,23,1011,20,60,36,2,58,145,35,17,24
Suburb 5,2,23,965,80,42,49,0,52,130,25,18,49
Suburb 6,7,22.7,1089,10,83,37,0,44,110,27,12,30
Suburb 7,35,22.8,961,25,43,39,0,30,75,16,18,26
