WI,MG,BR,area_Ha,devl_pix,devl_pix1km,devl_pix5km,road_kmsum,
12,15,22,1759,14,21,439,11,
16,18,93,936,2,9,1230,21,
45,66,133,5923,79,576,4491,89,
44,48,107,1745,7,48,3243,32,
13,13,21,1413,1,19,169,17,
28,31,49,453,41,482,6057,17,
31,63,47,1362,112,500,1603,53,
36,44,123,522,284,1289,"12,096",26,
50,63,80,1225,15,269,5241,16,
7,7,65,2013,0,2,75,7,
5,5,8,56,0,145,2879,0,
6,15,24,15,11,465,6831,0,
4,8,21,384,1,18,294,11,
53,82,125,730,50,157,2971,16,
7,0,12,781,3,182,1907,8,
25,42,113,906,4,153,1020,20,
29,36,125,1297,1,327,5028,19,
21,39,113,152,97,1009,9686,11,
9,23,18,2168,16,46,286,25,
12,2,61,456,0,10,194,0,
