Greenspace,Code,area_ha,dist_urb,FC_ha,SR
Milano Parco Nord,MI1,596.5,7168,80117,38
Milano Trenno,MI2,61,6895,46.71,18
Milano Bosco in città,MI3,49.8,8800,38628,32
Milano Sempione,MI4,51.2,1503,26912,19
Milano Monte stella,MI5,38.6,5256,15858,19
Milano Montanelli,MI6,19.4,1424,10.54,12
Parco Ravizza,MI7,7.8,1812,3284,6
Milano Cave,MI8,119.1,7032,37042,34
Parco Solari,MI9,5.6,1951,2122,12
Milano Forlanini,MI10,59.7,5572,31834,22
Giardini Via Pallavicino,MI11,6.2,2396,2352,10
Milano Lambro,MI12,71.7,5774,38539,26
Parco Trotter di Turro,MI13,13.1,4306,6967,8
