id,q_sr,t_sr,sr,frag_sr,n_transects,area_ha,isolation,mean_elev,pl_density,hab_hetero
1,3.7,7.5,22,25.9,8,105.3,1.9,419,114.5,2
2,2.7,6.1,8,9.8,2,4.7,11.5,369,21.9,0.7
3,3.8,7.6,20,22,11,94,559.3,472,26.8,2.2
4,2.8,4.8,8,8,4,4.8,11.5,371,19.3,1.6
5,4.2,7.5,24,28,17,256.5,5.3,553,18.7,1.5
6,1.7,3.1,8,12.7,3,8.8,0.5,382,10.5,1.2
7,4.7,7.5,11,13.7,2,4.2,1.4,474,37.3,1.3
8,3.3,7.5,17,24.6,4,10.5,1170,387,17.5,0.02
9,2.6,5.8,18,23.8,8,19.2,24.6,384,16.1,1.6
10,1.2,2,6,7,4,42.6,17.6,399,7.4,0.8
11,2.7,4.5,12,14,16,151.9,17,486,22.2,2.8
12,3.3,5.9,25,29.9,15,258.2,1878,478,26.7,2.6
13,2,3.2,21,25,23,368.7,14.6,385,9.9,2
14,3.4,5.7,16,23,17,255.5,1985.6,461,42.5,2.6
15,4.1,6.9,21,27.9,25,710.6,881,471,33.6,2.3
16,3.5,5.8,19,27.9,14,103.7,20.2,488,35.8,1.9
17,4.2,8.3,33,37,111,8764.8,2.7,487,21.8,3.4
18,4.1,7.2,26,30,46,1725.2,1326.9,508,27.8,2.6
19,2.4,6,6,8.4,1,2.2,10.7,352,21.6,0.9
20,3.3,6.4,13,15.9,7,80,16.7,441,22.3,1.4
21,4.4,8.2,15,16,6,12.1,0.5,475,51.9,0.9
22,3.7,6.3,23,30,25,441.7,2039.8,467,22.1,2.9
