id,SR,H,SRsp,Hsp,FDsp,Coversp,SRpl,Hpl,FDpl,Coverpl,Zone,EC,pHKCl,Cnratio,sub_depth,Age,RoofHeigh,surfarea_log,SVF,PROX200,SDH200,HLI,VisitYear,Vegday,Roofname,roofclust
ID101_z1,14,0.896929,9,1.669977,5.343128,2.125,5,0.497137,0.025368,22.125,2,0.07,6.87,13.21,7,7,6.08722,6.434547,0.78923,158.0446,10.63478,0.836767,2015,86,ID101,ID101
ID102_z2,13,2.296098,9,2.099293,6.186341,8.5,4,1.148565,0.054821,9.25,1,0.04,6.73,18.28,5,7,3.81,3.218876,0.31695,183.6335,11.12226,0.847335,2015,86,ID102,ID102
ID103_z1,5,1.501283,0,0,NA,0,5,1.501283,0.085445,5.25,2,0.03,7.07,7.8,3,5,8.98091,6.802395,0.945127,NA,9.272356,0.838668,2015,39,ID103,C3
ID103_z2,12,2.400691,2,0.693147,4.954919,1,10,2.246163,0.221213,11.5,1,0.05,7.18,9.05,3,5,8.98091,6.802395,0.945127,NA,9.272356,0.838668,2015,39,ID103,C3
ID105_z1,8,1.741224,2,0.693147,3.301473,0.666667,6,1.517464,0.07864,7,2,0.08,7.13,20.31,5,6,14.71291,4.49981,0.809165,27.4382,11.12225,0.844162,2015,87,ID105,C13
ID111_z1,10,1.581516,5,1.464816,7.282974,1.8,5,1.445673,0.083252,57.9,2,0.13,6.2,13.49,3,19,3.10193,5.703782,0.9012,709.4413,7.846537,0.83444,2016,57,ID111,ID111
ID112_z1,13,0.964588,8,1.967545,5.618547,5.75,5,0.27691,0.009593,31.75,2,0.05,6.54,21.87,7,7,3.91,5.940171,0.806643,810.9167,8.952594,0.821818,2016,57,ID112,C23
ID112_z2,14,0.803611,10,0.541479,1.534707,100,4,1.329661,0.112354,6,1,0.07,5.64,18.51,7,7,3.91,5.940171,0.806643,810.9167,8.952594,0.821818,2016,57,ID112,C23
ID113_z1,5,1.114852,0,0,NA,0,5,1.114852,0.04407,73.16667,2,0.6,6.94,16.44,2,13,3.04,3.988984,0.383671,56.876,NA,0.686912,2016,36,ID113,ID113
ID115_z1,8,0.832726,7,1.483299,3.03839,13.5,1,0,0,50,2,0.13,6.42,12.53,7,9,2.91989,5.703782,0.64942,222.7505,5.274816,0.652634,2016,30,ID115,ID115
ID115_z2,27,1.867686,26,1.85042,2.709399,68.8,1,0,0,0.25,1,0.13,6.46,18.73,7,9,2.91989,5.703782,0.64942,222.7505,5.274816,0.652634,2016,30,ID115,ID115
ID115_z3,17,2.048092,17,2.048092,3.970841,62,0,0,NA,0,3,0.26,6.55,12.66,7,9,2.91989,5.703782,0.64942,222.7505,5.274816,0.652634,2016,30,ID115,ID115
ID116_z1,9,0.980347,4,1.153742,2.137265,7,5,0.496852,0.022787,45,2,0.28,6.59,24.24,8,0,NA,2.70805,NA,533.2327,6.16397,NA,2016,30,ID116,ID116
ID117_z1,23,1.646894,18,2.664947,6.407833,6.714286,5,1.289151,0.052504,86.57143,2,0.458571,6.452857,15.41,5,2,4.55,5.298317,0.688066,225.8092,5.659974,0.526825,2016,17,ID117,ID117
ID118_z1,25,1.420038,21,2.859547,9.067202,10.3,4,0.737038,0.02023,65.9,2,0.73,5.91,12.77,4,7,3.81,4.867534,0.679154,169.8642,5.353899,NA,2016,22,ID118,ID118
ID119_z1,12,1.550082,6,1.791759,4.729884,6,6,0.900368,0.053586,26,2,0.07,6.12,13.2,5,2,3.47,2.639057,0.603061,108.9309,8.594289,0.83849,2016,35,ID119,ID119
ID120_z1,17,2.688668,9,2.098147,4.127838,6.5,8,1.955084,0.349137,9.5,2,0.14,5.86,21.6,5,1,10.59176,4.007333,0.491262,2.4752,8.946489,0.815083,2016,35,ID120,ID120
ID121_z1,16,1.370991,11,2.142625,4.473374,3.785714,5,0.957528,0.036746,37.71429,2,0.27,6.29,12.3,5,1,NA,7.824046,NA,679.5597,8.761379,0.846398,2016,23,ID121,ID121
ID121_z2,13,1.19726,8,1.991509,3.180182,4.333333,5,0.850207,0.03337,54.5,1,0.28,5.9,13.39,5,1,NA,7.824046,NA,679.5597,8.761379,0.846398,2016,23,ID121,ID121
ID122_z1,7,0.826336,3,1.098612,1.922036,1.5,4,0.519377,0.017461,18.75,2,0.06,6.55,12.7,6,3,19.48627,7.338888,0.779959,252.7782,10.67315,0.842751,2016,31,ID122,ID122
ID123_z1,10,1.185638,4,1.386294,11.84058,0.8,6,1.092996,0.193668,45.3,2,0.09,6.42,20.13,8,15,2.71039,6.327937,0.828733,8.8723,6.09373,0.844998,2016,72,ID123,C15
ID124_z1,6,0.377075,1,0,0,0.5,5,0.310761,0.01317,37.25,2,0.14,6.49,14.13,6,4,3.34668,6.338594,0.842767,66.1271,6.702478,0.844571,2016,31,ID124,ID124
ID124_z2,4,0.900557,0,0,NA,0,4,0.900557,0.035041,10.25,1,0.11,5.98,12.83,6,4,3.34668,6.338594,0.842767,66.1271,6.702478,0.844571,2016,31,ID124,ID124
ID125_z1,10,1.309813,5,1.414279,4.648786,1.833333,5,1.127581,0.09047,43.08333,2,0.08,5.44,13.51,8,3,4.94886,7.075809,0.770349,166.5167,9.718668,0.765824,2016,31,ID125,ID125
ID126_z1,11,0.949699,7,1.906155,5.176978,4,4,0.649416,0.048972,63.25,2,0.14,6.44,13.03,7,4,1.3546,6.214608,0.531672,59.9308,6.340603,0.844839,2016,31,ID126,ID126
ID129_z1,18,2.104648,8,1.139352,1.54613,19.25,10,1.625247,0.122036,31.75,2,0.13,6.25,12.25,5,8,3.57953,4.867534,0.839135,320.9446,4.31747,0.843071,2016,37,ID129,C20
ID129_z2,35,2.189319,26,1.853316,2.353063,67.5,9,1.83461,0.269971,8,1,0.17,6.86,15.28,5,8,3.57953,4.867534,0.839135,320.9446,4.31747,0.843071,2016,37,ID129,C20
ID130_z1,23,2.298585,22,2.24023,2.577145,28,1,0,0,0.666667,2,0.13,6.69,12.58,5,8,3.07123,4.941642,0.960282,331.7993,4.214768,0.841766,2016,37,ID130,C20
ID130_z3,13,2.426015,11,2.397895,3.889316,11,2,0.500402,0.160802,5,3,0.12,6.38,15.48,5,8,3.07123,4.941642,0.960282,331.7993,4.214768,0.841766,2016,37,ID130,C20
ID131_z1,37,3.044297,28,2.833024,4.012672,24.83333,9,1.625467,0.152834,14.66667,2,0.23,6.39,15.54,7,8,3.60598,3.688879,0.728563,301.5305,4.42734,0.763876,2016,37,ID131,C20
ID133_z1,4,0.623848,2,0.693147,2.230631,1,2,0.304636,0.01264,11,2,0.04,6.45,24.61,7,7,4.91877,3.367296,0.909513,0,9.008218,0.831905,2016,57,ID133,C23
ID134_z1,8,0.594422,2,0.693147,7.590205,0.666667,6,0.546414,0.025646,82.16667,2,0.43,6.5,23.39,4,0,NA,3.332205,NA,624.664,5.779368,0.50529,2016,56,ID134,ID134
ID135_z1,5,0.554819,1,0,0,1,4,0.481098,0.016258,62.16667,2,0.24,6.12,27.07,4,0,NA,3.332205,NA,419.9135,6.361676,0.842322,2016,56,ID135,ID135
ID136_z3,8,1.271951,5,1.609438,4.720216,5,3,0.717398,0.037375,28.5,3,0.06,6.26,32.85,5,7,6.97243,3.091042,0.783912,9.6997,5.94785,0.845408,2016,56,ID136,C5
ID137.1_z1,3,0.887694,0,0,NA,0,3,0.887694,0.043772,9,2,0.05,6.14,22.59,5,2,9.28085,6.84588,0.908066,154.0347,4.25,0.814505,2016,58,ID137.1,ID137
ID137.2_z1,12,1.49625,9,2.163956,6.426248,10,3,1.060857,0.054953,90,2,0.05,6.14,22.59,5,2,9.28085,6.84588,0.908066,154.0347,4.25,0.814505,2016,58,ID137.2,ID137
ID137.2_z2,9,1.276747,4,1.351784,3.157431,3.5,5,1.034356,0.050368,56,1,0.07,6.51,23.14,5,2,9.28085,6.84588,0.908066,154.0347,4.25,0.814505,2016,58,ID137.2,ID137
ID138_z1,2,0.070054,0,0,NA,0,2,0.070054,0.001986,50.66667,2,0.1,6.67,18.37,2,13,8.62008,5.402677,0.929217,180.1954,5.659179,0.555194,2016,58,ID138,C2
ID139_z1,29,2.739709,22,2.89362,6.43665,16.75,7,1.459132,0.09356,23.25,2,0.3,6.43,22.04,2,1,NA,2.890372,NA,406.835,6.248465,0.846508,2016,58,ID139,ID139
ID140_z1,3,0.224451,0,0,NA,0,3,0.224451,0.010986,84,2,0.12,6.37,11.26,4,10,2.43,2.197225,0.621143,322.6698,5.377356,0.548955,2016,66,ID140,ID140
ID141a_z1,2,0.142506,1,0,0,1,1,0,0,30,2,0.06,6.47,16.59,4,13,2.97,5.010635,0.853703,141.9431,5.42,0.771296,2016,58,ID141a,ID141
ID141b_z1,2,0.142506,0,0,NA,0,2,0.142506,0.009692,31,2,0.06,6.47,16.59,4,13,2.97,5.010635,0.853703,141.9431,5.42,0.771296,2016,58,ID141b,ID141
ID141c_z1,2,0.142506,0,0,NA,0,2,0.142506,0.009692,31,2,0.06,6.47,16.59,4,13,2.97,5.010635,0.853703,141.9431,5.42,0.771296,2016,58,ID141c,ID141
ID142_z1,12,2.001224,9,1.668408,2.674284,30.25,3,0.765423,0.047785,9.25,2,0.09,6.43,15.7,5,10,15.0136,4.094345,0.774394,8.2466,6.067468,0.838664,2016,56,ID142,C5
ID142_z3,8,0.710676,6,1.791759,3.654676,6,2,0.114665,0.004991,41,3,0.06,6.53,14.52,5,10,15.0136,4.094345,0.774394,8.2466,6.067468,0.838664,2016,56,ID142,C5
ID143_z1,16,2.058069,12,1.704321,1.938061,16.66667,4,1.300051,0.06865,35.16667,2,0.07,5.47,13.51,5,10,12.06629,4.718499,0.814641,8.977,6.057486,0.844761,2016,56,ID143,C5
ID147_z1,4,0.749963,0,0,NA,0,4,0.749963,0.03368,10.33333,2,0.1,5.39,22.31,3,3,3.32,5.030438,0.985513,61.1467,3.944879,0.835389,2016,72,ID147,ID147
ID152_z1,6,1.152254,0,0,NA,0,6,1.152254,0.095963,58.125,2,0.26,6.4,13.64,2,14,3.13495,6.620073,0.777627,84.5665,5.051883,0.656005,2016,66,ID152,ID152
ID152_z2,4,1.006923,0,0,NA,0,4,1.006923,0.190996,113.5,1,0.22,6.73,13.84,2,14,3.13495,6.620073,0.777627,84.5665,5.051883,0.656005,2016,66,ID152,ID152
ID156_z1,14,1.680912,10,2.302585,6.61206,10,4,0.53051,0.022583,23,2,0.18,5.98,20.47,5,2,8.46843,3.295837,0.553654,19.5808,3.907952,0.226991,2016,65,ID156,C16
